clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Kabul, the capital of",Kabul,Afghanistan,20524," Bangui, the capital of",Bangui,Central African Republic,8761
" Tirana, the capital of",Tirana,Albania,26805," Port of Spain, the capital of",Port of Spain,Trinidad and Tobago,2087
" Algiers, the capital of",Algiers,Algeria,1744," Ankara, the capital of",Ankara,Turkey,18683
" Andorra la Vella, the capital of",Andorra la Vella,Andorra,1783," Kuala Lumpur, the capital of",Kuala Lumpur,Malaysia,26396
" Luanda, the capital of",Luanda,Angola,4431," Cairo, the capital of",Cairo,Egypt,11297
" Saint John's, the capital of",Saint John's,Antigua and Barbuda,4589," Washington D.C., the capital of",Washington D.C.,United States,3737
" Buenos Aires, the capital of",Buenos Aires,Argentina,17308," Sofia, the capital of",Sofia,Bulgaria,23158
" Yerevan, the capital of",Yerevan,Armenia,24616," Bissau, the capital of",Bissau,Guinea-Bissau,3248
" Canberra, the capital of",Canberra,Australia,7432," Lilongwe, the capital of",Lilongwe,Malawi,5148
" Vienna, the capital of",Vienna,Austria,19987," Rome, the capital of",Rome,Italy,11596
" Baku, the capital of",Baku,Azerbaijan,1098," Quito, the capital of",Quito,Ecuador,1181
" Nassau, the capital of",Nassau,Bahamas,20825," Tbilisi, the capital of",Tbilisi,Georgia,13956
" Manama, the capital of",Manama,Bahrain,1133," Moroni, the capital of",Moroni,Comoros,1892
" Dhaka, the capital of",Dhaka,Bangladesh,29463," Managua, the capital of",Managua,Nicaragua,12689
" Bridgetown, the capital of",Bridgetown,Barbados,25991," Managua, the capital of",Managua,Nicaragua,12689
" Minsk, the capital of",Minsk,Belarus,5351," Doha, the capital of",Doha,Qatar,1954
" Brussels, the capital of",Brussels,Belgium,25897," Libreville, the capital of",Libreville,Gabon,11617
" Belmopan, the capital of",Belmopan,Belize,5351," Bishkek, the capital of",Bishkek,Kyrgyzstan,1292
" Porto Novo, the capital of",Porto Novo,Benin,4889," Mbabana, the capital of",Mbabana,Eswatini,1181
" Thimphu, the capital of",Thimphu,Bhutan,19579," Washington D.C., the capital of",Washington D.C.,United States,3737
" La Paz, the capital of",La Paz,Bolivia,11591," Lusaka, the capital of",Lusaka,Zambia,1822
" Sarajevo, the capital of",Sarajevo,Bosnia and Herzegovina,14309," Nouakchott, the capital of",Nouakchott,Mauritania,15496
" Gaborone, the capital of",Gaborone,Botswana,17942," Yerevan, the capital of",Yerevan,Armenia,24616
" Brasilia, the capital of",Brasilia,Brazil,14018," Cape Town, the capital of",Cape Town,South Africa,4426
" Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,2664," Ouagadougou, the capital of",Ouagadougou,Burkina Faso,7583
" Sofia, the capital of",Sofia,Bulgaria,23158," Bogota, the capital of",Bogota,Colombia,24706
" Ouagadougou, the capital of",Ouagadougou,Burkina Faso,7583," Nuku'alofa, the capital of",Nuku'alofa,Tonga,1088
" Gitega, the capital of",Gitega,Burundi,7583," Port Vila, the capital of",Port Vila,Vanuatu,8415
" Phnom Penh, the capital of",Phnom Penh,Cambodia,11365," Saint George's, the capital of",Saint George's,Grenada,19115
" Yaounde, the capital of",Yaounde,Cameroon,6255," Windhoek, the capital of",Windhoek,Namibia,17676
" Ottawa, the capital of",Ottawa,Canada,6850," Moroni, the capital of",Moroni,Comoros,1892
" Praia, the capital of",Praia,Cape Verde,19585," Belgrade, the capital of",Belgrade,Serbia,3834
" Bangui, the capital of",Bangui,Central African Republic,8761," Riga, the capital of",Riga,Latvia,8170
" N'Djamena, the capital of",N'Djamena,Chad,1457," Tegucigalpa, the capital of",Tegucigalpa,Honduras,1150
" Santiago, the capital of",Santiago,Chile,18174," Budapest, the capital of",Budapest,Hungary,15939
" Beijing, the capital of",Beijing,China,5845," Vienna, the capital of",Vienna,Austria,19987
" Bogota, the capital of",Bogota,Colombia,24706," Tunis, the capital of",Tunis,Tunisia,23524
" Moroni, the capital of",Moroni,Comoros,1892," Athens, the capital of",Athens,Greece,21206
" Kinshasa, the capital of",Kinshasa,Democratic Republic of the Congo,13589," Monrovia, the capital of",Monrovia,Liberia,9360
" Brazzaville, the capital of",Brazzaville,Congo,6969," Ashgabat, the capital of",Ashgabat,Turkmenistan,17679
" San Jose, the capital of",San Jose,Costa Rica,20079," Luxembourg, the capital of",Luxembourg,Luxembourg,29324
" Yamoussoukro, the capital of",Yamoussoukro,Côte d'Ivoire,1102," Tegucigalpa, the capital of",Tegucigalpa,Honduras,1150
" Zagreb, the capital of",Zagreb,Croatia,11240," Montevideo, the capital of",Montevideo,Uruguay,1268
" Havana, the capital of",Havana,Cuba,22703," Abuja, the capital of",Abuja,Nigeria,22840
" Nicosia, the capital of",Nicosia,Cyprus,12848," Bissau, the capital of",Bissau,Guinea-Bissau,3248
" Prague, the capital of",Prague,Czech Republic,20625," Manama, the capital of",Manama,Bahrain,1133
" Copenhagen, the capital of",Copenhagen,Denmark,27254," Porto Novo, the capital of",Porto Novo,Benin,4889
" Djibouti, the capital of",Djibouti,Djibouti,1152," Mogadishu, the capital of",Mogadishu,Somalia,7836
" Roseau, the capital of",Roseau,Dominica,15235," Abuja, the capital of",Abuja,Nigeria,22840
" Santo Domingo, the capital of",Santo Domingo,Dominican Republic,15235," Sana'a, the capital of",Sana'a,Yemen,1395
" Dili, the capital of",Dili,East Timor,6459," Bangui, the capital of",Bangui,Central African Republic,8761
" Quito, the capital of",Quito,Ecuador,1181," Ottawa, the capital of",Ottawa,Canada,6850
" Cairo, the capital of",Cairo,Egypt,11297," Lisbon, the capital of",Lisbon,Portugal,16928
" San Salvador, the capital of",San Salvador,El Salvador,2512," Prague, the capital of",Prague,Czech Republic,20625
" Malabo, the capital of",Malabo,Equatorial Guinea,9159," Yerevan, the capital of",Yerevan,Armenia,24616
" Asmara, the capital of",Asmara,Eritrea,1181," Tbilisi, the capital of",Tbilisi,Georgia,13956
" Tallinn, the capital of",Tallinn,Estonia,4746," Kampala, the capital of",Kampala,Uganda,1268
" Mbabana, the capital of",Mbabana,Eswatini,1181," Phnom Penh, the capital of",Phnom Penh,Cambodia,11365
" Addis Ababa, the capital of",Addis Ababa,Ethiopia,12250," Bratislava, the capital of",Bratislava,Slovakia,28115
" Palikir, the capital of",Palikir,Micronesia,9758," Kigali, the capital of",Kigali,Rwanda,1167
" Suva, the capital of",Suva,Fiji,1169," Manila, the capital of",Manila,Philippines,22705
" Helsinki, the capital of",Helsinki,Finland,19954," Reykjavik, the capital of",Reykjavik,Iceland,1083
" Paris, the capital of",Paris,France,5611," Budapest, the capital of",Budapest,Hungary,15939
" Libreville, the capital of",Libreville,Gabon,11617," Maseru, the capital of",Maseru,Lesotho,5341
" Banjul, the capital of",Banjul,Gambia,1188," Monrovia, the capital of",Monrovia,Liberia,9360
" Tbilisi, the capital of",Tbilisi,Georgia,13956," Bissau, the capital of",Bissau,Guinea-Bissau,3248
" Berlin, the capital of",Berlin,Germany,8061," Vienna, the capital of",Vienna,Austria,19987
" Accra, the capital of",Accra,Ghana,16294," Islamabad, the capital of",Islamabad,Pakistan,16469
