clean,corrupted,label,corrupted_label
"Gregg Edelman, a famous","Mia Freedman, a famous",12360,23672
"Patrick Manson, a famous","Roger Bowen, a famous",28378,12360
"M. S. Viswanathan, a famous","Robert d'Escourt Atkinson, a famous",40550,46382
"Noon Meem Rashid, a famous","Kazuo Ishiguro, a famous",40360,81747
"John Cygan, a famous","John Munch, a famous",12360,45259
"David Yost, a famous","Jeff Bova, a famous",12360,40550
"Raoul Trujillo, a famous","Andrew Ross Sorkin, a famous",12360,23672
"Johann von Rist, a famous","Johannes Nucius, a famous",40360,40550
"Li Yining, a famous","Max Volmer, a famous",46215,8590
"Kurt Furgler, a famous","Werner Heisenberg, a famous",37038,83323
"David Tree, a famous","Charles Kaiser, a famous",12360,23672
"Robert David Hall, a famous","Richard Brauer, a famous",12360,21651
"Jeff Bova, a famous","Philip Ahn, a famous",40550,12360
"Murli Deora, a famous","Michael William Balfe, a famous",37038,40550
"Hugh Bonneville, a famous","Rob Gifford, a famous",12360,23672
"Giovanni Battista Vitali, a famous","Viktor Uspaskich, a famous",40550,37038
"Jeffrey Carlson, a famous","Wilhelm Magnus, a famous",12360,21651
"George Buza, a famous","David Rivett, a famous",12360,8590
"Niyi Osundare, a famous","J. Anthony Lukas, a famous",40360,23672
"William Hardy Wilson, a famous","John Rentoul, a famous",11726,23672
"Krister Henriksson, a famous","Arthur Creech Jones, a famous",12360,37038
"Ethan Wayne, a famous","Herb Greene, a famous",12360,29867
"Sairam Shankar, a famous","Paruyr Sevak, a famous",12360,40360
"Akshaye Khanna, a famous","Edward Burtynsky, a famous",12360,29867
"James Broughton, a famous","Dino Saluzzi, a famous",40360,40550
"Ross Garnaut, a famous","Karle Warren, a famous",46215,12360
"Cyril Wong, a famous","Trevor Wright, a famous",40360,12360
"Ellar Coltrane, a famous","Paruyr Sevak, a famous",12360,40360
"John Gawsworth, a famous","Karle Warren, a famous",40360,12360
"Daeg Faerch, a famous","Bob Shacochis, a famous",12360,81747
"Douglas Fowley, a famous","Walter Hines Page, a famous",12360,23672
"Chandan Mitra, a famous","James Fenimore Cooper, a famous",23672,81747
"John Vivyan, a famous","Henry Jackman, a famous",12360,40550
"Raj Kapoor, a famous","Herb Greene, a famous",12360,29867
"Ernst Jaakson, a famous","Adelaide Crapsey, a famous",69050,40360
"Gregory Chamitoff, a famous","Annie Proulx, a famous",47733,81747
"Eduardo Fajardo, a famous","Johannes Nucius, a famous",12360,40550
"Carl Hatch, a famous","Roger Bowen, a famous",37038,12360
"Johnathon Schaech, a famous","Jacobo Ficher, a famous",12360,40550
"Poojappura Ravi, a famous","Klemens von Metternich, a famous",12360,69050
"Jon Rose, a famous","George Osborne, a famous",40550,37038
"Gian-Carlo Wick, a famous","Helen Lederer, a famous",83323,51912
"Leo Fong, a famous","Richard Brauer, a famous",12360,21651
"William John Gruffydd, a famous","Daeg Faerch, a famous",40360,12360
"Troy Donahue, a famous","Martha Nussbaum, a famous",12360,55475
"Gustave Le Gray, a famous","Ernst von Possart, a famous",29867,12360
"Avi Wigderson, a famous","Ian Hanomansing, a famous",21651,23672
"Dino Saluzzi, a famous","Brian McNamara, a famous",40550,12360
"Klemens von Metternich, a famous","Poojappura Ravi, a famous",69050,12360
"Peter Arnett, a famous","Karle Warren, a famous",23672,12360
"David Wagoner, a famous","Jack Buetel, a famous",40360,12360
"Jon Jerde, a famous","Louis Racine, a famous",11726,40360
"Johnny Yune, a famous","Simon Dallow, a famous",51912,23672
"Gordon Scott, a famous","Nikki Giovanni, a famous",12360,40360
"Malcolm Keen, a famous","Joel Barlow, a famous",12360,40360
"Carl Barron, a famous","William Hardy Wilson, a famous",51912,11726
"Thomas Hailes Lacy, a famous","Harlan Carey Brewster, a famous",12360,37038
"Arthur Creech Jones, a famous","David Wagoner, a famous",37038,40360
"Peter Abelard, a famous","John Munch, a famous",55475,45259
"Gu Seung-hyeon, a famous","J. B. Priestley, a famous",12360,81747
"Ronan Hardiman, a famous","James Broughton, a famous",40550,40360
"Kazuo Ishiguro, a famous","Noon Meem Rashid, a famous",81747,40360
"Mary Renault, a famous","Michael Penn, a famous",81747,12360
