clean,corrupted,clean_idx,corrupted_idx
The author that no senators liked has,No author that no senators liked has,2252,3038
The author that no senators liked has,No author that no senators liked has,2252,3038
No pilot that no consultants met has,The pilot that the consultants met has,3038,2252
The pilot that the consultants met has,No pilot that no consultants met has,2252,3038
No doctor that no guards hated has,The doctor that no guards hated has,3038,2252
The doctor that no guards hated has,No doctor that no guards hated has,2252,3038
The farmer that no clerks discussed has,No farmer that no clerks discussed has,2252,3038
The farmer that no clerks discussed has,No farmer that no clerks discussed has,2252,3038
No manager that no architects loved has,The manager that the architects loved has,3038,2252
No manager that no architects loved has,The manager that the architects loved has,3038,2252
No customer that no athletes liked has,The customer that no athletes liked has,3038,2252
The customer that no athletes liked has,No customer that no athletes liked has,2252,3038
The officer that the actors met has,No officer that no actors met has,2252,3038
No officer that no actors met has,The officer that the actors met has,3038,2252
The teacher that no ministers hated has,No teacher that no ministers hated has,2252,3038
The teacher that no ministers hated has,No teacher that no ministers hated has,2252,3038
The senator that the taxi drivers admired has,No senator that no taxi drivers admired has,2252,3038
The senator that the taxi drivers admired has,No senator that no taxi drivers admired has,2252,3038
No consultant that no secretaries loved has,The consultant that no secretaries loved has,3038,2252
The consultant that no secretaries loved has,No consultant that no secretaries loved has,2252,3038
The guard that the executives liked has,No guard that no executives liked has,2252,3038
No guard that no executives liked has,The guard that the executives liked has,3038,2252
The clerk that the authors met has,No clerk that no authors met has,2252,3038
The clerk that the authors met has,No clerk that no authors met has,2252,3038
No architect that no pilots hated has,The architect that the pilots hated has,3038,2252
No architect that no pilots hated has,The architect that the pilots hated has,3038,2252
No athlete that no doctors helped has,The athlete that the doctors helped has,3038,2252
No athlete that no doctors helped has,The athlete that the doctors helped has,3038,2252
No actor that no farmers loved has,The actor that the farmers loved has,3038,2252
The actor that the farmers loved has,No actor that no farmers loved has,2252,3038
The minister that no managers liked has,No minister that no managers liked has,2252,3038
No minister that no managers liked has,The minister that no managers liked has,3038,2252
No taxi driver that no customers met has,The taxi driver that the customers met has,3038,2252
No taxi driver that no customers met has,The taxi driver that the customers met has,3038,2252
The secretary that no officers hated has,No secretary that no officers hated has,2252,3038
The secretary that no officers hated has,No secretary that no officers hated has,2252,3038
The executive that no teachers discussed has,No executive that no teachers discussed has,2252,3038
The executive that no teachers discussed has,No executive that no teachers discussed has,2252,3038
No authors that no officer loved have,The authors that the officer loved have,3038,2252
No authors that no officer loved have,The authors that the officer loved have,3038,2252
The pilots that no teacher liked have,No pilots that no teacher liked have,2252,3038
No pilots that no teacher liked have,The pilots that no teacher liked have,3038,2252
The doctors that the senator met have,No doctors that no senator met have,2252,3038
No doctors that no senator met have,The doctors that the senator met have,3038,2252
The farmers that no consultant hated have,No farmers that no consultant hated have,2252,3038
The farmers that no consultant hated have,No farmers that no consultant hated have,2252,3038
The managers that no guard respected have,No managers that no guard respected have,2252,3038
The managers that no guard respected have,No managers that no guard respected have,2252,3038
No customers that no clerk loved have,The customers that no clerk loved have,3038,2252
No customers that no clerk loved have,The customers that no clerk loved have,3038,2252
No officers that no architect liked have,The officers that no architect liked have,3038,2252
The officers that no architect liked have,No officers that no architect liked have,2252,3038
The teachers that no athlete met have,No teachers that no athlete met have,2252,3038
The teachers that no athlete met have,No teachers that no athlete met have,2252,3038
No senators that no actor hated have,The senators that no actor hated have,3038,2252
The senators that no actor hated have,No senators that no actor hated have,2252,3038
No consultants that no minister impressed have,The consultants that no minister impressed have,3038,2252
The consultants that no minister impressed have,No consultants that no minister impressed have,2252,3038
No guards that no taxi driver loved have,The guards that the taxi driver loved have,3038,2252
No guards that no taxi driver loved have,The guards that the taxi driver loved have,3038,2252
No clerks that no secretary liked have,The clerks that no secretary liked have,3038,2252
The clerks that no secretary liked have,No clerks that no secretary liked have,2252,3038
The architects that no executive met have,No architects that no executive met have,2252,3038
The architects that no executive met have,No architects that no executive met have,2252,3038
No athletes that no pilot hated have,The athletes that the pilot hated have,3038,2252
No athletes that no pilot hated have,The athletes that the pilot hated have,3038,2252
No journalists that no doctor contacted have,The journalists that no doctor contacted have,3038,2252
The journalists that no doctor contacted have,No journalists that no doctor contacted have,2252,3038
The ministers that the farmer loved have,No ministers that no farmer loved have,2252,3038
No ministers that no farmer loved have,The ministers that the farmer loved have,3038,2252
The taxi drivers that no manager liked have,No taxi drivers that no manager liked have,2252,3038
The taxi drivers that no manager liked have,No taxi drivers that no manager liked have,2252,3038
No secretaries that no customer met have,The secretaries that no customer met have,3038,2252
The secretaries that no customer met have,No secretaries that no customer met have,2252,3038
No executives that no officer hated have,The executives that the officer hated have,3038,2252
No executives that no officer hated have,The executives that the officer hated have,3038,2252
