clean,corrupted,clean_idx,corrupted_idx
The author that the senators liked has,No author that no senators liked has,1620,2455
No author that no senators liked has,The author that the senators liked has,2455,1620
No pilot that no consultants met has,The pilot that no consultants met has,2455,1620
No pilot that no consultants met has,The pilot that no consultants met has,2455,1620
The doctor that no guards hated has,No doctor that no guards hated has,1620,2455
The doctor that no guards hated has,No doctor that no guards hated has,1620,2455
The farmer that no clerks discussed has,No farmer that no clerks discussed has,1620,2455
The farmer that no clerks discussed has,No farmer that no clerks discussed has,1620,2455
No manager that no architects loved has,The manager that no architects loved has,2455,1620
The manager that no architects loved has,No manager that no architects loved has,1620,2455
No customer that no athletes liked has,The customer that no athletes liked has,2455,1620
The customer that no athletes liked has,No customer that no athletes liked has,1620,2455
No officer that no actors met has,The officer that the actors met has,2455,1620
The officer that the actors met has,No officer that no actors met has,1620,2455
The teacher that the ministers hated has,No teacher that no ministers hated has,1620,2455
No teacher that no ministers hated has,The teacher that the ministers hated has,2455,1620
No senator that no taxi drivers admired has,The senator that the taxi drivers admired has,2455,1620
No senator that no taxi drivers admired has,The senator that the taxi drivers admired has,2455,1620
The consultant that no secretaries loved has,No consultant that no secretaries loved has,1620,2455
The consultant that no secretaries loved has,No consultant that no secretaries loved has,1620,2455
No guard that no executives liked has,The guard that no executives liked has,2455,1620
The guard that no executives liked has,No guard that no executives liked has,1620,2455
No clerk that no authors met has,The clerk that the authors met has,2455,1620
No clerk that no authors met has,The clerk that the authors met has,2455,1620
The architect that no pilots hated has,No architect that no pilots hated has,1620,2455
No architect that no pilots hated has,The architect that no pilots hated has,2455,1620
The athlete that the doctors helped has,No athlete that no doctors helped has,1620,2455
The athlete that the doctors helped has,No athlete that no doctors helped has,1620,2455
The actor that no farmers loved has,No actor that no farmers loved has,1620,2455
The actor that no farmers loved has,No actor that no farmers loved has,1620,2455
The minister that no managers liked has,No minister that no managers liked has,1620,2455
The minister that no managers liked has,No minister that no managers liked has,1620,2455
The taxi driver that the customers met has,No taxi driver that no customers met has,1620,2455
No taxi driver that no customers met has,The taxi driver that the customers met has,2455,1620
No secretary that no officers hated has,The secretary that no officers hated has,2455,1620
No secretary that no officers hated has,The secretary that no officers hated has,2455,1620
The executive that no teachers discussed has,No executive that no teachers discussed has,1620,2455
The executive that no teachers discussed has,No executive that no teachers discussed has,1620,2455
The authors that the officer loved have,No authors that no officer loved have,1620,2455
The authors that the officer loved have,No authors that no officer loved have,1620,2455
The pilots that the teacher liked have,No pilots that no teacher liked have,1620,2455
No pilots that no teacher liked have,The pilots that the teacher liked have,2455,1620
No doctors that no senator met have,The doctors that no senator met have,2455,1620
The doctors that no senator met have,No doctors that no senator met have,1620,2455
The farmers that no consultant hated have,No farmers that no consultant hated have,1620,2455
The farmers that no consultant hated have,No farmers that no consultant hated have,1620,2455
No managers that no guard respected have,The managers that the guard respected have,2455,1620
The managers that the guard respected have,No managers that no guard respected have,1620,2455
No customers that no clerk loved have,The customers that no clerk loved have,2455,1620
The customers that no clerk loved have,No customers that no clerk loved have,1620,2455
The officers that the architect liked have,No officers that no architect liked have,1620,2455
The officers that the architect liked have,No officers that no architect liked have,1620,2455
No teachers that no athlete met have,The teachers that the athlete met have,2455,1620
The teachers that the athlete met have,No teachers that no athlete met have,1620,2455
The senators that no actor hated have,No senators that no actor hated have,1620,2455
No senators that no actor hated have,The senators that no actor hated have,2455,1620
The consultants that no minister impressed have,No consultants that no minister impressed have,1620,2455
No consultants that no minister impressed have,The consultants that no minister impressed have,2455,1620
The guards that the taxi driver loved have,No guards that no taxi driver loved have,1620,2455
No guards that no taxi driver loved have,The guards that the taxi driver loved have,2455,1620
No clerks that no secretary liked have,The clerks that the secretary liked have,2455,1620
No clerks that no secretary liked have,The clerks that the secretary liked have,2455,1620
The architects that the executive met have,No architects that no executive met have,1620,2455
No architects that no executive met have,The architects that the executive met have,2455,1620
The athletes that the pilot hated have,No athletes that no pilot hated have,1620,2455
No athletes that no pilot hated have,The athletes that the pilot hated have,2455,1620
No journalists that no doctor contacted have,The journalists that no doctor contacted have,2455,1620
The journalists that no doctor contacted have,No journalists that no doctor contacted have,1620,2455
No ministers that no farmer loved have,The ministers that no farmer loved have,2455,1620
The ministers that no farmer loved have,No ministers that no farmer loved have,1620,2455
The taxi drivers that no manager liked have,No taxi drivers that no manager liked have,1620,2455
No taxi drivers that no manager liked have,The taxi drivers that no manager liked have,2455,1620
The secretaries that the customer met have,No secretaries that no customer met have,1620,2455
No secretaries that no customer met have,The secretaries that the customer met have,2455,1620
No executives that no officer hated have,The executives that no officer hated have,2455,1620
No executives that no officer hated have,The executives that no officer hated have,2455,1620
