clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" diamonds, and other",diamonds,gem,"['gem', 'gems']","[19269, 43258]"," folk, and other",folk,music,['music'],[4731]
" rubies, and other",rubies,gem,"['gem', 'gems']","[19269, 43258]"," wrenches, and other",wrenches,tool,['tools'],[7526]
" emeralds, and other",emeralds,gem,"['gem', 'gems']","[19269, 43258]"," grasshoppers, and other",grasshoppers,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" sapphires, and other",sapphires,gem,"['gem', 'gems']","[19269, 43258]"," sycamores, and other",sycamores,tree,['trees'],[12690]
" pearls, and other",pearls,gem,"['gem', 'gems']","[19269, 43258]"," nurses, and other",nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" gemstones, and other",gemstones,gem,"['gem', 'gems']","[19269, 43258]"," vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[16689, 19287]"
" amethysts, and other",amethysts,gem,"['gem', 'gems']","[19269, 43258]"," cockroaches, and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" opals, and other",opals,gem,"['gem', 'gems']","[19269, 43258]"," eagles, and other",eagles,bird,"['birds', 'bird']","[20229, 12224]"
" topazs, and other",topazs,gem,"['gem', 'gems']","[19269, 43258]"," angelfish, and other",angelfish,fish,"['fish', 'fishes']","[7795, 95461]"
" garnets, and other",garnets,gem,"['gem', 'gems']","[19269, 43258]"," sparrows, and other",sparrows,bird,"['birds', 'bird']","[20229, 12224]"
" jades, and other",jades,gem,"['gem', 'gems']","[19269, 43258]"," t-shirts, and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" quartzs, and other",quartzs,gem,"['gem', 'gems']","[19269, 43258]"," cruises, and other",cruises,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
" turquoises, and other",turquoises,gem,"['gem', 'gems']","[19269, 43258]"," banjoes, and other",banjoes,instrument,"['musical', 'instruments']","[18273, 24198]"
" hours, and other",hours,time,"['time', 'units']","[892, 8316]"," Canada, and other",Canada,country,"['countries', 'country']","[5961, 3224]"
" secs, and other",secs,time,"['time', 'units']","[892, 8316]"," keyboards, and other",keyboards,instrument,"['musical', 'instruments']","[18273, 24198]"
" minutes, and other",minutes,time,"['time', 'units']","[892, 8316]"," Afghanistan, and other",Afghanistan,country,"['countries', 'country']","[5961, 3224]"
" years, and other",years,time,"['time', 'units']","[892, 8316]"," swimming, and other",swimming,sport,['sports'],[10034]
" days, and other",days,time,"['time', 'units']","[892, 8316]"," rabbits, and other",rabbits,animal,['animals'],[10099]
" months, and other",months,time,"['time', 'units']","[892, 8316]"," majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
" decades, and other",decades,time,"['time', 'units']","[892, 8316]"," Greece, and other",Greece,country,"['countries', 'country']","[5961, 3224]"
" centuries, and other",centuries,time,"['time', 'units']","[892, 8316]"," commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
" weeks, and other",weeks,time,"['time', 'units']","[892, 8316]"," lamps, and other",lamps,furniture,['furniture'],[14891]
" milliseconds, and other",milliseconds,time,"['time', 'units']","[892, 8316]"," apples, and other",apples,fruit,"['fruits', 'fruit']","[26390, 14098]"
" millenniums, and other",millenniums,time,"['time', 'units']","[892, 8316]"," blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[26390, 14098]"
" nanoseconds, and other",nanoseconds,time,"['time', 'units']","[892, 8316]"," bluegrass, and other",bluegrass,music,['music'],[4731]
" eons, and other",eons,time,"['time', 'units']","[892, 8316]"," physical therapists, and other",physical therapists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" uncles, and other",uncles,relative,"['relatives', 'family']","[29658, 3070]"," gymnastics, and other",gymnastics,sport,['sports'],[10034]
" aunts, and other",aunts,relative,"['relatives', 'family']","[29658, 3070]"," goldfish, and other",goldfish,fish,"['fish', 'fishes']","[7795, 95461]"
" cousins, and other",cousins,relative,"['relatives', 'family']","[29658, 3070]"," Portugal, and other",Portugal,country,"['countries', 'country']","[5961, 3224]"
" mothers, and other",mothers,relative,"['relatives', 'family']","[29658, 3070]"," America, and other",America,country,"['countries', 'country']","[5961, 3224]"
