clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The cowgirl was fired because,The cowboy was fired because,1398,1168,0
The widow went home because,The widower went home because,1398,1168,0
"The craftswoman is a nice person, isn't","The craftsman is a nice person, isn't",1398,1168,0
The englishman went home because,The englishwoman went home because,1168,1398,1
The businessman went home because,The businesswoman went home because,1168,1398,1
The hunter drove because,The huntress drove because,1168,1398,1
The masseur yelled that,The masseuse yelled that,1168,1398,1
The alderwoman was fired because,The alderman was fired because,1398,1168,0
The klanswoman stayed up because,The klansman stayed up because,1398,1168,0
The woman slept because,The man slept because,1398,1168,0
"The brother-in-law is a great friend, isn't","The sister-in-law is a great friend, isn't",1168,1398,1
The busboy ran because,The busgirl ran because,1168,1398,1
The brother stayed up because,The sister stayed up because,1168,1398,1
The assemblywoman drove because,The assemblyman drove because,1398,1168,0
The mom ate because,The dad ate because,1398,1168,0
The muscleman ate because,The musclewoman ate because,1168,1398,1
The brother cried because,The sister cried because,1168,1398,1
The fisherwoman laughed because,The fisherman laughed because,1398,1168,0
The businessman drove because,The businesswoman drove because,1168,1398,1
The he whispered that,The she whispered that,1168,1398,1
The godmother stayed up because,The godfather stayed up because,1398,1168,0
The coastguardsman went home because,The coastguardswoman went home because,1168,1398,1
The strongwoman laughed because,The strongman laughed because,1398,1168,0
"The girl is a great friend, isn't","The boy is a great friend, isn't",1398,1168,0
The mother-in-law was promoted because,The father-in-law was promoted because,1398,1168,0
The salesboy drove because,The salesgirl drove because,1168,1398,1
The madman went home because,The madwoman went home because,1168,1398,1
"The boatman is a nice person, isn't","The boatwoman is a nice person, isn't",1168,1398,1
The lord yelled that,The lady yelled that,1168,1398,1
The actress laughed because,The actor laughed because,1398,1168,0
The adulteress was fired because,The adulterer was fired because,1398,1168,0
The assemblywoman wished that,The assemblyman wished that,1398,1168,0
The ex-husband ate because,The ex-wife ate because,1168,1398,1
The father-in-law yelled that,The mother-in-law yelled that,1168,1398,1
"The fireman is a nice person, isn't","The firewoman is a nice person, isn't",1168,1398,1
The actor stayed up because,The actress stayed up because,1168,1398,1
The dad ate because,The mom ate because,1168,1398,1
The irishman yelled because,The irishwoman yelled because,1168,1398,1
The mailwoman said that,The mailman said that,1398,1168,0
The frenchwoman laughed because,The frenchman laughed because,1398,1168,0
The craftswoman went home because,The craftsman went home because,1398,1168,0
"The frenchman is a nice person, isn't","The frenchwoman is a nice person, isn't",1168,1398,1
The muscleman laughed because,The musclewoman laughed because,1168,1398,1
The gentleman ate because,The lady ate because,1168,1398,1
The bellboy drove because,The bellgirl drove because,1168,1398,1
The irishwoman yelled because,The irishman yelled because,1398,1168,0
The craftswoman was promoted because,The craftsman was promoted because,1398,1168,0
The masseuse said that,The masseur said that,1398,1168,0
The ferrywoman slept because,The ferryman slept because,1398,1168,0
The ex-girlfriend stayed up because,The ex-boyfriend stayed up because,1398,1168,0
The groom went home because,The bride went home because,1168,1398,1
The women yelled that,The men yelled that,1398,1168,0
The bellboy yelled that,The bellgirl yelled that,1168,1398,1
The waitress said that,The waiter said that,1398,1168,0
The deliveryman drove because,The deliverywoman drove because,1168,1398,1
The frenchwoman whispered that,The frenchman whispered that,1398,1168,0
The businesswoman ran because,The businessman ran because,1398,1168,0
The lady was fired because,The lord was fired because,1398,1168,0
The great-aunt slept because,The great-uncle slept because,1398,1168,0
The klansman slept because,The klanswoman slept because,1168,1398,1
The grandfather stayed up because,The grandmother stayed up because,1168,1398,1
The guy drove because,The gal drove because,1168,1398,1
The sorceress slept because,The sorcerer slept because,1398,1168,0
The masseuse cried because,The masseur cried because,1398,1168,0
The deliverywoman was promoted because,The deliveryman was promoted because,1398,1168,0
The klansman yelled that,The klanswoman yelled that,1168,1398,1
The clergyman wished that,The clergywoman wished that,1168,1398,1
The assemblywoman ran because,The assemblyman ran because,1398,1168,0
The lady yelled because,The gentleman yelled because,1398,1168,0
The boyfriend ran because,The girlfriend ran because,1168,1398,1
The englishman wished that,The englishwoman wished that,1168,1398,1
The gentleman whispered that,The lady whispered that,1168,1398,1
"The men is a great friend, isn't","The women is a great friend, isn't",1168,1398,1
The gentleman wished that,The lady wished that,1168,1398,1
"The assemblyman is a nice person, isn't","The assemblywoman is a nice person, isn't",1168,1398,1
The mailwoman was promoted because,The mailman was promoted because,1398,1168,0
"The businessman is a great friend, isn't","The businesswoman is a great friend, isn't",1168,1398,1
The handywoman ate because,The handyman ate because,1398,1168,0
The cowboy cried because,The cowgirl cried because,1168,1398,1
The gentleman said that,The lady said that,1168,1398,1
The son stayed up because,The daughter stayed up because,1168,1398,1
"The schoolgirl is a great friend, isn't","The schoolboy is a great friend, isn't",1398,1168,0
The boatwoman laughed because,The boatman laughed because,1398,1168,0
"The clanswoman is a nice person, isn't","The clansman is a nice person, isn't",1398,1168,0
The girl ran because,The boy ran because,1398,1168,0
The policewoman slept because,The policeman slept because,1398,1168,0
"The ferrywoman is a great friend, isn't","The ferryman is a great friend, isn't",1398,1168,0
The draftsman was fired because,The draftswoman was fired because,1168,1398,1
The male said that,The female said that,1168,1398,1
The wife slept because,The husband slept because,1398,1168,0
The mother yelled that,The father yelled that,1398,1168,0
The clanswoman was promoted because,The clansman was promoted because,1398,1168,0
The bride ran because,The groom ran because,1398,1168,0
The clanswoman laughed because,The clansman laughed because,1398,1168,0
