clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the desk, you see a blue necklace, a silver cup, and a red pencil. What color is the necklace? A: blue Q: On the desk, I see a gold cup, a green textbook, and a red notebook. What color is the textbook? A:",green,6176,"Q: On the desk, you see a blue necklace, a silver cup, and a red pencil. What color is the necklace? A: blue Q: On the desk, I see a black textbook, a yellow ball, and a purple jug. What color is the jug? A:",purple,24932
"Q: On the desk, I see a pink mug and a blue notebook. What color is the mug? A: pink Q: On the floor, there is a red jug, a pink notebook, a grey bowl, and a purple bottle. What color is the notebook? A:",pink,18217,"Q: On the desk, I see a pink mug and a blue notebook. What color is the mug? A: pink Q: On the floor, there is a blue envelope, a turquoise notebook, a purple mug, and a green bowl. What color is the mug? A:",purple,24932
"Q: On the floor, you see a purple ball, an orange textbook, and a grey mug. What color is the textbook? A: orange Q: On the table, there is a grey jug, a pink ball, and a silver envelope. What color is the ball? A:",pink,18217,"Q: On the floor, you see a purple ball, an orange textbook, and a grey mug. What color is the textbook? A: orange Q: On the table, there is a turquoise bowl, a pink envelope, and a brown puzzle. What color is the puzzle? A:",brown,13876
"Q: On the desk, you see a brown bracelet and a green cup. What color is the bracelet? A: brown Q: On the floor, I see a turquoise mug, a blue necklace, and a teal puzzle. What color is the puzzle? A:",teal,94607,"Q: On the desk, you see a brown bracelet and a green cup. What color is the bracelet? A: brown Q: On the floor, I see a silver bowl, a green leash, and a gold bottle. What color is the bowl? A:",silver,14961
"Q: On the table, there is a black ball, an orange bowl, and a purple jug. What color is the bowl? A: orange Q: On the table, you see a red bracelet, a pink ball, a blue leash, and a grey plate. What color is the leash? A:",blue,6303,"Q: On the table, there is a black ball, an orange bowl, and a purple jug. What color is the bowl? A: orange Q: On the table, you see a turquoise pencil, a black lighter, a pink notebook, and a gold bracelet. What color is the lighter? A:",black,3691
"Q: On the table, there is a brown necklace, a teal leash, and a grey ball. What color is the ball? A: grey Q: On the floor, I see a grey pen, a teal jug, and a purple textbook. What color is the pen? A:",grey,19780,"Q: On the table, there is a brown necklace, a teal leash, and a grey ball. What color is the ball? A: grey Q: On the floor, I see a teal cup, a blue plate, and an orange lighter. What color is the plate? A:",blue,6303
"Q: On the table, you see a black necklace, a turquoise pencil, and a green leash. What color is the leash? A: green Q: On the desk, you see a black pencil, a brown cup, a green jug, and a blue pen. What color is the pen? A:",blue,6303,"Q: On the table, you see a black necklace, a turquoise pencil, and a green leash. What color is the leash? A: green Q: On the desk, you see a gold bracelet, a teal pen, a purple lighter, and a red plate. What color is the bracelet? A:",gold,6623
"Q: On the floor, you see a turquoise puzzle, a green necklace, a yellow pen, and a red cup. What color is the puzzle? A: turquoise Q: On the desk, you see an orange pen, a green lighter, a turquoise bracelet, and a brown puzzle. What color is the pen? A:",orange,18575,"Q: On the floor, you see a turquoise puzzle, a green necklace, a yellow pen, and a red cup. What color is the puzzle? A: turquoise Q: On the desk, you see a teal lighter, a pink jug, a yellow plate, and a turquoise bottle. What color is the plate? A:",yellow,13753
"Q: On the desk, I see a green cup and a yellow mug. What color is the mug? A: yellow Q: On the desk, you see an orange notebook, a silver leash, and a brown pen. What color is the leash? A:",silver,14961,"Q: On the desk, I see a green cup and a yellow mug. What color is the mug? A: yellow Q: On the desk, you see a black puzzle, a teal envelope, and a red jug. What color is the jug? A:",red,2518
"Q: On the floor, I see a grey mug, a black lighter, and a gold cup. What color is the mug? A: grey Q: On the table, there is a brown leash, a green bracelet, a grey necklace, and a silver bottle. What color is the bottle? A:",silver,14961,"Q: On the floor, I see a grey mug, a black lighter, and a gold cup. What color is the mug? A: grey Q: On the table, there is a teal bracelet, a red leash, a gold bowl, and a pink mug. What color is the leash? A:",red,2518
