clean,corrupted,clean_idx,corrupted_idx
No author that no senators liked has,The author that the senators liked has,3364,2447
The author that the senators liked has,No author that no senators liked has,2447,3364
The pilot that the consultants met has,No pilot that no consultants met has,2447,3364
The pilot that the consultants met has,No pilot that no consultants met has,2447,3364
No doctor that no guards hated has,The doctor that no guards hated has,3364,2447
The doctor that no guards hated has,No doctor that no guards hated has,2447,3364
No farmer that no clerks discussed has,The farmer that no clerks discussed has,3364,2447
The farmer that no clerks discussed has,No farmer that no clerks discussed has,2447,3364
The manager that the architects loved has,No manager that no architects loved has,2447,3364
No manager that no architects loved has,The manager that the architects loved has,3364,2447
No customer that no athletes liked has,The customer that no athletes liked has,3364,2447
The customer that no athletes liked has,No customer that no athletes liked has,2447,3364
The officer that no actors met has,No officer that no actors met has,2447,3364
No officer that no actors met has,The officer that no actors met has,3364,2447
No teacher that no ministers hated has,The teacher that no ministers hated has,3364,2447
The teacher that no ministers hated has,No teacher that no ministers hated has,2447,3364
The senator that no taxi drivers admired has,No senator that no taxi drivers admired has,2447,3364
The senator that no taxi drivers admired has,No senator that no taxi drivers admired has,2447,3364
The consultant that the secretaries loved has,No consultant that no secretaries loved has,2447,3364
The consultant that the secretaries loved has,No consultant that no secretaries loved has,2447,3364
The guard that no executives liked has,No guard that no executives liked has,2447,3364
The guard that no executives liked has,No guard that no executives liked has,2447,3364
No clerk that no authors met has,The clerk that no authors met has,3364,2447
No clerk that no authors met has,The clerk that no authors met has,3364,2447
The architect that the pilots hated has,No architect that no pilots hated has,2447,3364
No architect that no pilots hated has,The architect that the pilots hated has,3364,2447
No athlete that no doctors helped has,The athlete that the doctors helped has,3364,2447
No athlete that no doctors helped has,The athlete that the doctors helped has,3364,2447
The actor that the farmers loved has,No actor that no farmers loved has,2447,3364
The actor that the farmers loved has,No actor that no farmers loved has,2447,3364
The minister that no managers liked has,No minister that no managers liked has,2447,3364
No minister that no managers liked has,The minister that no managers liked has,3364,2447
The taxi driver that no customers met has,No taxi driver that no customers met has,2447,3364
No taxi driver that no customers met has,The taxi driver that no customers met has,3364,2447
The secretary that the officers hated has,No secretary that no officers hated has,2447,3364
No secretary that no officers hated has,The secretary that the officers hated has,3364,2447
No executive that no teachers discussed has,The executive that no teachers discussed has,3364,2447
No executive that no teachers discussed has,The executive that no teachers discussed has,3364,2447
No authors that no officer loved have,The authors that no officer loved have,3364,2447
No authors that no officer loved have,The authors that no officer loved have,3364,2447
No pilots that no teacher liked have,The pilots that the teacher liked have,3364,2447
No pilots that no teacher liked have,The pilots that the teacher liked have,3364,2447
No doctors that no senator met have,The doctors that no senator met have,3364,2447
The doctors that no senator met have,No doctors that no senator met have,2447,3364
The farmers that the consultant hated have,No farmers that no consultant hated have,2447,3364
The farmers that the consultant hated have,No farmers that no consultant hated have,2447,3364
No managers that no guard respected have,The managers that no guard respected have,3364,2447
The managers that no guard respected have,No managers that no guard respected have,2447,3364
No customers that no clerk loved have,The customers that no clerk loved have,3364,2447
No customers that no clerk loved have,The customers that no clerk loved have,3364,2447
The officers that no architect liked have,No officers that no architect liked have,2447,3364
The officers that no architect liked have,No officers that no architect liked have,2447,3364
The teachers that no athlete met have,No teachers that no athlete met have,2447,3364
No teachers that no athlete met have,The teachers that no athlete met have,3364,2447
The senators that the actor hated have,No senators that no actor hated have,2447,3364
The senators that the actor hated have,No senators that no actor hated have,2447,3364
No consultants that no minister impressed have,The consultants that the minister impressed have,3364,2447
No consultants that no minister impressed have,The consultants that the minister impressed have,3364,2447
The guards that the taxi driver loved have,No guards that no taxi driver loved have,2447,3364
No guards that no taxi driver loved have,The guards that the taxi driver loved have,3364,2447
No clerks that no secretary liked have,The clerks that the secretary liked have,3364,2447
The clerks that the secretary liked have,No clerks that no secretary liked have,2447,3364
No architects that no executive met have,The architects that the executive met have,3364,2447
The architects that the executive met have,No architects that no executive met have,2447,3364
The athletes that the pilot hated have,No athletes that no pilot hated have,2447,3364
The athletes that the pilot hated have,No athletes that no pilot hated have,2447,3364
No journalists that no doctor contacted have,The journalists that no doctor contacted have,3364,2447
No journalists that no doctor contacted have,The journalists that no doctor contacted have,3364,2447
The ministers that the farmer loved have,No ministers that no farmer loved have,2447,3364
The ministers that the farmer loved have,No ministers that no farmer loved have,2447,3364
The taxi drivers that the manager liked have,No taxi drivers that no manager liked have,2447,3364
No taxi drivers that no manager liked have,The taxi drivers that the manager liked have,3364,2447
The secretaries that no customer met have,No secretaries that no customer met have,2447,3364
No secretaries that no customer met have,The secretaries that no customer met have,3364,2447
No executives that no officer hated have,The executives that the officer hated have,3364,2447
The executives that the officer hated have,No executives that no officer hated have,2447,3364
