,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
667,"Then, Jeffrey and Allison had a lot of fun at the garden. Jeffrey gave a kiss to","Then, Jeffrey and Allison had a lot of fun at the garden. Bryan gave a kiss to","Then, Jeffrey and Allison had a lot of fun at the garden. Allison gave a kiss to",45664,30274
930,"Then, Jamie and Emily were thinking about going to the school. Emily wanted to give a basketball to","Then, Jamie and Emily were thinking about going to the school. Christine wanted to give a basketball to","Then, Jamie and Emily were thinking about going to the school. Jamie wanted to give a basketball to",27283,24504
192,"Then, Nicole and Aaron were working at the restaurant. Nicole decided to give a basketball to","Then, Nicole and Aaron were working at the restaurant. Laura decided to give a basketball to","Then, Nicole and Aaron were working at the restaurant. Aaron decided to give a basketball to",22234,37930
56,"Then, Jessica and Andrea had a lot of fun at the house. Andrea gave a ring to","Then, Jessica and Andrea had a lot of fun at the house. Joseph gave a ring to","Then, Jessica and Andrea had a lot of fun at the house. Jessica gave a ring to",29489,35944
343,"When Eric and Brian got a snack at the restaurant, Eric decided to give it to","When Eric and Brian got a snack at the restaurant, Richard decided to give it to","When Eric and Brian got a snack at the restaurant, Brian decided to give it to",14468,12284
924,"Then, Aaron and Christine had a lot of fun at the school. Aaron gave a drink to","Then, Aaron and Christine had a lot of fun at the school. Charles gave a drink to","Then, Aaron and Christine had a lot of fun at the school. Christine gave a drink to",36449,22234
546,"Then, Sara and David were working at the restaurant. David decided to give a computer to","Then, Sara and David were working at the restaurant. Jennifer decided to give a computer to","Then, Sara and David were working at the restaurant. Sara decided to give a computer to",31336,5119
871,"Then, Allison and Bryan had a lot of fun at the school. Bryan gave a computer to","Then, Allison and Bryan had a lot of fun at the school. Laura gave a computer to","Then, Allison and Bryan had a lot of fun at the school. Allison gave a computer to",45664,30397
931,"Then, Jason and Thomas were thinking about going to the station. Jason wanted to give a bone to","Then, Jason and Thomas were thinking about going to the station. Kelly wanted to give a bone to","Then, Jason and Thomas were thinking about going to the station. Thomas wanted to give a bone to",7195,16553
549,"When Lindsay and Charles got a kiss at the house, Lindsay decided to give it to","When Lindsay and Charles got a kiss at the house, John decided to give it to","When Lindsay and Charles got a kiss at the house, Charles decided to give it to",8444,44056
739,"Then, Andrew and Daniel had a long argument, and afterwards Andrew said to","Then, Andrew and Daniel had a long argument, and afterwards Kenneth said to","Then, Andrew and Daniel had a long argument, and afterwards Daniel said to",10213,11116
455,"Then, Kenneth and Kevin went to the school. Kenneth gave a ring to","Then, Kenneth and Kevin went to the school. Robert gave a ring to","Then, Kenneth and Kevin went to the school. Kevin gave a ring to",15273,31270
710,"Then, Melissa and Nicholas had a lot of fun at the office. Nicholas gave a kiss to","Then, Melissa and Nicholas had a lot of fun at the office. Christine gave a kiss to","Then, Melissa and Nicholas had a lot of fun at the office. Melissa gave a kiss to",38994,26876
969,"When Amanda and Michelle got a kiss at the house, Amanda decided to give it to","When Amanda and Michelle got a kiss at the house, Elizabeth decided to give it to","When Amanda and Michelle got a kiss at the house, Michelle decided to give it to",28331,33811
35,"When Emily and Patrick got a drink at the house, Patrick decided to give it to","When Emily and Patrick got a drink at the house, Eric decided to give it to","When Emily and Patrick got a drink at the house, Emily decided to give it to",24504,15435
568,"Then, David and Patrick were working at the store. Patrick decided to give a ring to","Then, David and Patrick were working at the store. Ryan decided to give a ring to","Then, David and Patrick were working at the store. David decided to give a ring to",5119,15435
773,"Then, Samuel and Michelle had a lot of fun at the house. Samuel gave a basketball to","Then, Samuel and Michelle had a lot of fun at the house. Andrea gave a basketball to","Then, Samuel and Michelle had a lot of fun at the house. Michelle gave a basketball to",28331,20628
361,"Then, Allison and Travis had a long argument, and afterwards Travis said to","Then, Allison and Travis had a long argument, and afterwards Brandon said to","Then, Allison and Travis had a long argument, and afterwards Allison said to",45664,35382
547,"When Joseph and Michelle got a computer at the store, Joseph decided to give it to","When Joseph and Michelle got a computer at the store, Anthony decided to give it to","When Joseph and Michelle got a computer at the store, Michelle decided to give it to",28331,10092
104,"Then, Amy and Nathan were working at the station. Amy decided to give a basketball to","Then, Amy and Nathan were working at the station. Christina decided to give a basketball to","Then, Amy and Nathan were working at the station. Nathan decided to give a basketball to",23662,22138
427,"Then, Melissa and Lindsay had a lot of fun at the store. Melissa gave a basketball to","Then, Melissa and Lindsay had a lot of fun at the store. Sara gave a basketball to","Then, Melissa and Lindsay had a lot of fun at the store. Lindsay gave a basketball to",44056,38994
967,"Then, Ashley and Nicholas were working at the restaurant. Ashley decided to give a computer to","Then, Ashley and Nicholas were working at the restaurant. Scott decided to give a computer to","Then, Ashley and Nicholas were working at the restaurant. Nicholas decided to give a computer to",26876,33747
775,"Then, Christine and Joshua were working at the garden. Christine decided to give a snack to","Then, Christine and Joshua were working at the garden. Amanda decided to give a snack to","Then, Christine and Joshua were working at the garden. Joshua decided to give a snack to",29092,36449
681,"Then, Adam and Richard had a lot of fun at the station. Richard gave a kiss to","Then, Adam and Richard had a lot of fun at the station. Nicole gave a kiss to","Then, Adam and Richard had a lot of fun at the station. Adam gave a kiss to",13187,7727
357,"Then, Justin and Emily were thinking about going to the station. Justin wanted to give a necklace to","Then, Justin and Emily were thinking about going to the station. Amanda wanted to give a necklace to","Then, Justin and Emily were thinking about going to the station. Emily wanted to give a necklace to",24504,20839
359,"Then, Jesse and Heather had a long argument, and afterwards Jesse said to","Then, Jesse and Heather had a long argument, and afterwards Nicholas said to","Then, Jesse and Heather had a long argument, and afterwards Heather said to",37083,31472
620,"After Anthony and Amy went to the restaurant, Amy gave a necklace to","After Anthony and Amy went to the restaurant, Matthew gave a necklace to","After Anthony and Amy went to the restaurant, Anthony gave a necklace to",16358,22138
188,"After Mary and Christine went to the store, Mary gave a ring to","After Mary and Christine went to the store, Jeffrey gave a ring to","After Mary and Christine went to the store, Christine gave a ring to",36449,6393
242,"Then, Alexander and Scott had a lot of fun at the restaurant. Alexander gave a computer to","Then, Alexander and Scott had a lot of fun at the restaurant. Megan gave a computer to","Then, Alexander and Scott had a lot of fun at the restaurant. Scott gave a computer to",7493,13651
254,"After Lindsay and Jacob went to the restaurant, Lindsay gave a computer to","After Lindsay and Jacob went to the restaurant, Matthew gave a computer to","After Lindsay and Jacob went to the restaurant, Jacob gave a computer to",14737,44056
