clean,corrupted,clean_idx,corrupted_idx
No author that liked no senators has,The author that liked the senators has,3038,2252
The author that liked the senators has,No author that liked no senators has,2252,3038
The pilot that met the consultants has,No pilot that met no consultants has,2252,3038
The pilot that met the consultants has,No pilot that met no consultants has,2252,3038
The doctor that hated the guards has,No doctor that hated no guards has,2252,3038
No doctor that hated no guards has,The doctor that hated the guards has,3038,2252
The farmer that discussed the clerks has,No farmer that discussed no clerks has,2252,3038
The farmer that discussed the clerks has,No farmer that discussed no clerks has,2252,3038
The manager that loved the architects has,No manager that loved no architects has,2252,3038
No manager that loved no architects has,The manager that loved the architects has,3038,2252
The customer that liked no athletes has,No customer that liked no athletes has,2252,3038
The customer that liked no athletes has,No customer that liked no athletes has,2252,3038
The officer that met no actors has,No officer that met no actors has,2252,3038
The officer that met no actors has,No officer that met no actors has,2252,3038
No teacher that hated no ministers has,The teacher that hated no ministers has,3038,2252
The teacher that hated no ministers has,No teacher that hated no ministers has,2252,3038
No senator that admired no taxi drivers has,The senator that admired the taxi drivers has,3038,2252
The senator that admired the taxi drivers has,No senator that admired no taxi drivers has,2252,3038
The consultant that loved no secretaries has,No consultant that loved no secretaries has,2252,3038
No consultant that loved no secretaries has,The consultant that loved no secretaries has,3038,2252
The guard that liked the executives has,No guard that liked no executives has,2252,3038
No guard that liked no executives has,The guard that liked the executives has,3038,2252
No clerk that met no authors has,The clerk that met the authors has,3038,2252
The clerk that met the authors has,No clerk that met no authors has,2252,3038
The architect that hated the pilots has,No architect that hated no pilots has,2252,3038
The architect that hated the pilots has,No architect that hated no pilots has,2252,3038
No athlete that helped no doctors has,The athlete that helped the doctors has,3038,2252
No athlete that helped no doctors has,The athlete that helped the doctors has,3038,2252
No actor that loved no farmers has,The actor that loved no farmers has,3038,2252
The actor that loved no farmers has,No actor that loved no farmers has,2252,3038
The minister that liked no managers has,No minister that liked no managers has,2252,3038
No minister that liked no managers has,The minister that liked no managers has,3038,2252
No taxi driver that met no customers has,The taxi driver that met the customers has,3038,2252
The taxi driver that met the customers has,No taxi driver that met no customers has,2252,3038
The secretary that hated no officers has,No secretary that hated no officers has,2252,3038
No secretary that hated no officers has,The secretary that hated no officers has,3038,2252
The executive that discussed the teachers has,No executive that discussed no teachers has,2252,3038
The executive that discussed the teachers has,No executive that discussed no teachers has,2252,3038
The authors that loved no officer have,No authors that loved no officer have,2252,3038
The authors that loved no officer have,No authors that loved no officer have,2252,3038
The pilots that liked the teacher have,No pilots that liked no teacher have,2252,3038
No pilots that liked no teacher have,The pilots that liked the teacher have,3038,2252
The doctors that met the senator have,No doctors that met no senator have,2252,3038
The doctors that met the senator have,No doctors that met no senator have,2252,3038
No farmers that hated no consultant have,The farmers that hated no consultant have,3038,2252
The farmers that hated no consultant have,No farmers that hated no consultant have,2252,3038
No managers that respected no guard have,The managers that respected the guard have,3038,2252
The managers that respected the guard have,No managers that respected no guard have,2252,3038
The customers that loved no clerk have,No customers that loved no clerk have,2252,3038
No customers that loved no clerk have,The customers that loved no clerk have,3038,2252
The officers that liked the architect have,No officers that liked no architect have,2252,3038
The officers that liked the architect have,No officers that liked no architect have,2252,3038
The teachers that met no athlete have,No teachers that met no athlete have,2252,3038
The teachers that met no athlete have,No teachers that met no athlete have,2252,3038
No senators that hated no actor have,The senators that hated no actor have,3038,2252
No senators that hated no actor have,The senators that hated no actor have,3038,2252
No consultants that impressed no minister have,The consultants that impressed the minister have,3038,2252
No consultants that impressed no minister have,The consultants that impressed the minister have,3038,2252
The guards that loved the taxi driver have,No guards that loved no taxi driver have,2252,3038
The guards that loved the taxi driver have,No guards that loved no taxi driver have,2252,3038
The clerks that liked the secretary have,No clerks that liked no secretary have,2252,3038
The clerks that liked the secretary have,No clerks that liked no secretary have,2252,3038
No architects that met no executive have,The architects that met the executive have,3038,2252
No architects that met no executive have,The architects that met the executive have,3038,2252
The athletes that hated no pilot have,No athletes that hated no pilot have,2252,3038
The athletes that hated no pilot have,No athletes that hated no pilot have,2252,3038
The journalists that contacted no doctor have,No journalists that contacted no doctor have,2252,3038
The journalists that contacted no doctor have,No journalists that contacted no doctor have,2252,3038
The ministers that loved the farmer have,No ministers that loved no farmer have,2252,3038
The ministers that loved the farmer have,No ministers that loved no farmer have,2252,3038
No taxi drivers that liked no manager have,The taxi drivers that liked the manager have,3038,2252
No taxi drivers that liked no manager have,The taxi drivers that liked the manager have,3038,2252
No secretaries that met no customer have,The secretaries that met the customer have,3038,2252
The secretaries that met the customer have,No secretaries that met no customer have,2252,3038
The executives that hated no officer have,No executives that hated no officer have,2252,3038
The executives that hated no officer have,No executives that hated no officer have,2252,3038
