clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The englishman whispered that,The englishwoman whispered that,568,1364,1
The boatwoman laughed because,The boatman laughed because,1364,568,0
The son was promoted because,The daughter was promoted because,568,1364,1
The englishman was fired because,The englishwoman was fired because,568,1364,1
The godfather stayed up because,The godmother stayed up because,568,1364,1
The grandfather whispered that,The grandmother whispered that,568,1364,1
"The choirgirl is a nice person, isn't","The choirboy is a nice person, isn't",1364,568,0
The mailman yelled because,The mailwoman yelled because,568,1364,1
The repairwoman ran because,The repairman ran because,1364,568,0
The stepfather was promoted because,The stepmother was promoted because,568,1364,1
The girlfriend ate because,The boyfriend ate because,1364,568,0
The goddaughter drove because,The godson drove because,1364,568,0
The frenchwoman wished that,The frenchman wished that,1364,568,0
The weatherman wished that,The weatherwoman wished that,568,1364,1
The irishman laughed because,The irishwoman laughed because,568,1364,1
The frenchwoman stayed up because,The frenchman stayed up because,1364,568,0
The ladies laughed because,The gentlemen laughed because,1364,568,0
The kinsman cried because,The kinswoman cried because,568,1364,1
The repairwoman wished that,The repairman wished that,1364,568,0
The clansman yelled because,The clanswoman yelled because,568,1364,1
The repairwoman was promoted because,The repairman was promoted because,1364,568,0
"The abbot is a nice person, isn't","The abbess is a nice person, isn't",568,1364,1
The waitress stayed up because,The waiter stayed up because,1364,568,0
The infantrywoman cried because,The infantryman cried because,1364,568,0
The muscleman whispered that,The musclewoman whispered that,568,1364,1
"The wingman is a great friend, isn't","The wingwoman is a great friend, isn't",568,1364,1
The dad was fired because,The mom was fired because,568,1364,1
The uncle drove because,The aunt drove because,568,1364,1
The she slept because,The he slept because,1364,568,0
The son-in-law slept because,The daughter-in-law slept because,568,1364,1
The heroine was fired because,The hero was fired because,1364,568,0
The granddaughter laughed because,The grandson laughed because,1364,568,0
The wife said that,The husband said that,1364,568,0
The king ran because,The queen ran because,568,1364,1
The barmaid went home because,The barman went home because,1364,568,0
The clanswoman whispered that,The clansman whispered that,1364,568,0
The father-in-law stayed up because,The mother-in-law stayed up because,568,1364,1
The father-in-law went home because,The mother-in-law went home because,568,1364,1
The bellgirl cried because,The bellboy cried because,1364,568,0
"The stepfather is a nice person, isn't","The stepmother is a nice person, isn't",568,1364,1
"The goddaughter is a nice person, isn't","The godson is a nice person, isn't",1364,568,0
The ladies wished that,The gentlemen wished that,1364,568,0
"The repairwoman is a nice person, isn't","The repairman is a nice person, isn't",1364,568,0
The groom was fired because,The bride was fired because,568,1364,1
The infantryman stayed up because,The infantrywoman stayed up because,568,1364,1
The girl went home because,The boy went home because,1364,568,0
The layman yelled that,The laywoman yelled that,568,1364,1
The mailwoman whispered that,The mailman whispered that,1364,568,0
The infantrywoman drove because,The infantryman drove because,1364,568,0
"The irishman is a great friend, isn't","The irishwoman is a great friend, isn't",568,1364,1
The lord drove because,The lady drove because,568,1364,1
The women yelled that,The men yelled that,1364,568,0
The son-in-law was fired because,The daughter-in-law was fired because,568,1364,1
The boatman cried because,The boatwoman cried because,568,1364,1
The sister-in-law was fired because,The brother-in-law was fired because,1364,568,0
The infantryman was fired because,The infantrywoman was fired because,568,1364,1
The actor ate because,The actress ate because,568,1364,1
The infantrywoman yelled because,The infantryman yelled because,1364,568,0
"The fireman is a nice person, isn't","The firewoman is a nice person, isn't",568,1364,1
The handywoman laughed because,The handyman laughed because,1364,568,0
The bellboy wished that,The bellgirl wished that,568,1364,1
"The wife is a great friend, isn't","The husband is a great friend, isn't",1364,568,0
"The grandson is a great friend, isn't","The granddaughter is a great friend, isn't",568,1364,1
The sister-in-law cried because,The brother-in-law cried because,1364,568,0
The boy went home because,The girl went home because,568,1364,1
"The women is a great friend, isn't","The men is a great friend, isn't",1364,568,0
The mother was promoted because,The father was promoted because,1364,568,0
The masseur ate because,The masseuse ate because,568,1364,1
The klansman went home because,The klanswoman went home because,568,1364,1
The dad drove because,The mom drove because,568,1364,1
The handyman yelled that,The handywoman yelled that,568,1364,1
The ladies whispered that,The gentlemen whispered that,1364,568,0
The artillerywoman slept because,The artilleryman slept because,1364,568,0
The englishwoman laughed because,The englishman laughed because,1364,568,0
The brother stayed up because,The sister stayed up because,568,1364,1
The he ran because,The she ran because,568,1364,1
The goddaughter was promoted because,The godson was promoted because,1364,568,0
The son stayed up because,The daughter stayed up because,568,1364,1
The granddaughter drove because,The grandson drove because,1364,568,0
The son-in-law drove because,The daughter-in-law drove because,568,1364,1
The king whispered that,The queen whispered that,568,1364,1
The artillerywoman yelled because,The artilleryman yelled because,1364,568,0
The muscleman yelled that,The musclewoman yelled that,568,1364,1
The madman was promoted because,The madwoman was promoted because,568,1364,1
The irishman was fired because,The irishwoman was fired because,568,1364,1
The milkwoman ate because,The milkman ate because,1364,568,0
The guy ran because,The gal ran because,568,1364,1
The irishman went home because,The irishwoman went home because,568,1364,1
The he said that,The she said that,568,1364,1
The abbot stayed up because,The abbess stayed up because,568,1364,1
The schoolgirl laughed because,The schoolboy laughed because,1364,568,0
The lord was fired because,The lady was fired because,568,1364,1
The busboy was fired because,The busgirl was fired because,568,1364,1
The parisienne cried because,The parisian cried because,1364,568,0
The ex-girlfriend stayed up because,The ex-boyfriend stayed up because,1364,568,0
The lady went home because,The lord went home because,1364,568,0
The men stayed up because,The women stayed up because,568,1364,1
The abbess wished that,The abbot wished that,1364,568,0
The kinsman drove because,The kinswoman drove because,568,1364,1
The he slept because,The she slept because,568,1364,1
The girlfriend yelled because,The boyfriend yelled because,1364,568,0
The male was fired because,The female was fired because,568,1364,1
The alderman went home because,The alderwoman went home because,568,1364,1
The guy stayed up because,The gal stayed up because,568,1364,1
"The schoolgirl is a great friend, isn't","The schoolboy is a great friend, isn't",1364,568,0
The boyfriend stayed up because,The girlfriend stayed up because,568,1364,1
The clanswoman wished that,The clansman wished that,1364,568,0
The grandson wished that,The granddaughter wished that,568,1364,1
The hero slept because,The heroine slept because,568,1364,1
The daughter cried because,The son cried because,1364,568,0
The abbot was fired because,The abbess was fired because,568,1364,1
The irishman yelled because,The irishwoman yelled because,568,1364,1
"The laywoman is a great friend, isn't","The layman is a great friend, isn't",1364,568,0
The deliverywoman ran because,The deliveryman ran because,1364,568,0
The stepfather went home because,The stepmother went home because,568,1364,1
The man slept because,The woman slept because,568,1364,1
The grandson ran because,The granddaughter ran because,568,1364,1
The she was promoted because,The he was promoted because,1364,568,0
The hero was fired because,The heroine was fired because,568,1364,1
The salesboy laughed because,The salesgirl laughed because,568,1364,1
The godfather whispered that,The godmother whispered that,568,1364,1
The boyfriend said that,The girlfriend said that,568,1364,1
The choirgirl drove because,The choirboy drove because,1364,568,0
The gentleman ran because,The lady ran because,568,1364,1
The sister-in-law went home because,The brother-in-law went home because,1364,568,0
The nun yelled because,The monk yelled because,1364,568,0
The layman stayed up because,The laywoman stayed up because,568,1364,1
"The alderwoman is a nice person, isn't","The alderman is a nice person, isn't",1364,568,0
The muscleman ran because,The musclewoman ran because,568,1364,1
The klansman laughed because,The klanswoman laughed because,568,1364,1
The waitress slept because,The waiter slept because,1364,568,0
The lady said that,The lord said that,1364,568,0
The weatherman laughed because,The weatherwoman laughed because,568,1364,1
"The father-in-law is a nice person, isn't","The mother-in-law is a nice person, isn't",568,1364,1
The granddaughter slept because,The grandson slept because,1364,568,0
The son ran because,The daughter ran because,568,1364,1
The schoolboy went home because,The schoolgirl went home because,568,1364,1
The goddaughter went home because,The godson went home because,1364,568,0
The adulterer yelled that,The adulteress yelled that,568,1364,1
The granddaughter was promoted because,The grandson was promoted because,1364,568,0
"The nephew is a great friend, isn't","The niece is a great friend, isn't",568,1364,1
The parisian slept because,The parisienne slept because,568,1364,1
"The aunt is a great friend, isn't","The uncle is a great friend, isn't",1364,568,0
The handywoman cried because,The handyman cried because,1364,568,0
"The girl is a nice person, isn't","The boy is a nice person, isn't",1364,568,0
"The boatman is a great friend, isn't","The boatwoman is a great friend, isn't",568,1364,1
The mother was fired because,The father was fired because,1364,568,0
The fireman went home because,The firewoman went home because,568,1364,1
The wife wished that,The husband wished that,1364,568,0
The men was fired because,The women was fired because,568,1364,1
The milkwoman was fired because,The milkman was fired because,1364,568,0
"The king is a nice person, isn't","The queen is a nice person, isn't",568,1364,1
The brother-in-law wished that,The sister-in-law wished that,568,1364,1
The ex-boyfriend laughed because,The ex-girlfriend laughed because,568,1364,1
The women was fired because,The men was fired because,1364,568,0
The mother went home because,The father went home because,1364,568,0
The choirgirl went home because,The choirboy went home because,1364,568,0
The schoolgirl was fired because,The schoolboy was fired because,1364,568,0
The milkwoman slept because,The milkman slept because,1364,568,0
The lady yelled that,The gentleman yelled that,1364,568,0
The actress said that,The actor said that,1364,568,0
The grandson cried because,The granddaughter cried because,568,1364,1
The lady laughed because,The gentleman laughed because,1364,568,0
The ferryman cried because,The ferrywoman cried because,568,1364,1
The gal ran because,The guy ran because,1364,568,0
The actor laughed because,The actress laughed because,568,1364,1
The goddaughter ran because,The godson ran because,1364,568,0
The busboy yelled that,The busgirl yelled that,568,1364,1
The groom ate because,The bride ate because,568,1364,1
The grandmother yelled because,The grandfather yelled because,1364,568,0
The daughter-in-law yelled because,The son-in-law yelled because,1364,568,0
The repairman ran because,The repairwoman ran because,568,1364,1
The men went home because,The women went home because,568,1364,1
The frenchman drove because,The frenchwoman drove because,568,1364,1
The frenchwoman cried because,The frenchman cried because,1364,568,0
The masseuse went home because,The masseur went home because,1364,568,0
The milkwoman whispered that,The milkman whispered that,1364,568,0
The lady was promoted because,The lord was promoted because,1364,568,0
The gal cried because,The guy cried because,1364,568,0
The artillerywoman drove because,The artilleryman drove because,1364,568,0
"The musclewoman is a great friend, isn't","The muscleman is a great friend, isn't",1364,568,0
The clanswoman yelled because,The clansman yelled because,1364,568,0
The clergyman said that,The clergywoman said that,568,1364,1
The milkwoman stayed up because,The milkman stayed up because,1364,568,0
The artillerywoman was fired because,The artilleryman was fired because,1364,568,0
The groom went home because,The bride went home because,568,1364,1
The brother-in-law went home because,The sister-in-law went home because,568,1364,1
The ferrywoman yelled because,The ferryman yelled because,1364,568,0
The bride laughed because,The groom laughed because,1364,568,0
The strongman was promoted because,The strongwoman was promoted because,568,1364,1
"The adulterer is a nice person, isn't","The adulteress is a nice person, isn't",568,1364,1
The englishman laughed because,The englishwoman laughed because,568,1364,1
The ferryman yelled that,The ferrywoman yelled that,568,1364,1
The aunt was fired because,The uncle was fired because,1364,568,0
