clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 diamonds and rubies are two types of,diamonds,rubies,gem,"['gem', 'gems']","[16840, 23685]", quarters and dimes are two types of,quarters,dimes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 diamonds and emeralds are two types of,diamonds,emeralds,gem,"['gem', 'gems']","[16840, 23685]", roses and sunflowers are two types of,roses,sunflowers,flower,"['flowers', 'flowering']","[12734, 48573]"
 diamonds and sapphires are two types of,diamonds,sapphires,gem,"['gem', 'gems']","[16840, 23685]", chickens and woodpeckers are two types of,chickens,woodpeckers,bird,"['birds', 'bird']","[10087, 6512]"
 diamonds and pearls are two types of,diamonds,pearls,gem,"['gem', 'gems']","[16840, 23685]", spiders and gnats are two types of,spiders,gnats,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 diamonds and gemstones are two types of,diamonds,gemstones,gem,"['gem', 'gems']","[16840, 23685]", ducks and hawks are two types of,ducks,hawks,bird,"['birds', 'bird']","[10087, 6512]"
 diamonds and amethysts are two types of,diamonds,amethysts,gem,"['gem', 'gems']","[16840, 23685]", strawberries and tangerines are two types of,strawberries,tangerines,fruit,"['fruits', 'fruit']","[15921, 8234]"
 diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16840, 23685]", guitars and bass guitars are two types of,guitars,bass guitars,instrument,"['musical', 'instruments']","[10530, 12834]"
 diamonds and topazs are two types of,diamonds,topazs,gem,"['gem', 'gems']","[16840, 23685]", hotels and igloos are two types of,hotels,igloos,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 diamonds and garnets are two types of,diamonds,garnets,gem,"['gem', 'gems']","[16840, 23685]", snow and sleet are two types of,snow,sleet,weather,"['weather', 'natural']","[6193, 3288]"
 diamonds and jades are two types of,diamonds,jades,gem,"['gem', 'gems']","[16840, 23685]", beetles and gnats are two types of,beetles,gnats,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 diamonds and quartzs are two types of,diamonds,quartzs,gem,"['gem', 'gems']","[16840, 23685]", houses and tepees are two types of,houses,tepees,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
