clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" diamonds, and other",diamonds,gem,"['gem', 'gems']","[21737, 48771]"," generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"
" rubies, and other",rubies,gem,"['gem', 'gems']","[21737, 48771]"," euroes, and other",euroes,money,"['currency', 'money', 'currencies']","[18968, 3370, 63835]"
" emeralds, and other",emeralds,gem,"['gem', 'gems']","[21737, 48771]"," futons, and other",futons,furniture,['furniture'],[16241]
" sapphires, and other",sapphires,gem,"['gem', 'gems']","[21737, 48771]"," harmonicas, and other",harmonicas,instrument,"['musical', 'instruments']","[13340, 18159]"
" pearls, and other",pearls,gem,"['gem', 'gems']","[21737, 48771]"," willows, and other",willows,tree,['trees'],[8195]
" gemstones, and other",gemstones,gem,"['gem', 'gems']","[21737, 48771]"," burglary, and other",burglary,crime,"['crimes', 'crime']","[25552, 12476]"
" amethysts, and other",amethysts,gem,"['gem', 'gems']","[21737, 48771]"," underwears, and other",underwears,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" opals, and other",opals,gem,"['gem', 'gems']","[21737, 48771]"," vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[17710, 33650]"
" topazs, and other",topazs,gem,"['gem', 'gems']","[21737, 48771]"," secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[17710, 33650]"
" garnets, and other",garnets,gem,"['gem', 'gems']","[21737, 48771]"," great uncles, and other",great uncles,relative,"['relatives', 'family']","[22631, 2730]"
" jades, and other",jades,gem,"['gem', 'gems']","[21737, 48771]"," robins, and other",robins,bird,"['birds', 'bird']","[13141, 13170]"
" quartzs, and other",quartzs,gem,"['gem', 'gems']","[21737, 48771]"," elms, and other",elms,tree,['trees'],[8195]
" turquoises, and other",turquoises,gem,"['gem', 'gems']","[21737, 48771]"," great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[22631, 2730]"
" hours, and other",hours,time,"['time', 'units']","[1069, 7845]"," barges, and other",barges,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" secs, and other",secs,time,"['time', 'units']","[1069, 7845]"," sparrows, and other",sparrows,bird,"['birds', 'bird']","[13141, 13170]"
" minutes, and other",minutes,time,"['time', 'units']","[1069, 7845]"," horses, and other",horses,animal,['animals'],[8398]
" years, and other",years,time,"['time', 'units']","[1069, 7845]"," inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"
" days, and other",days,time,"['time', 'units']","[1069, 7845]"," Egypt, and other",Egypt,country,"['countries', 'country']","[5605, 3170]"
" months, and other",months,time,"['time', 'units']","[1069, 7845]"," soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"
" decades, and other",decades,time,"['time', 'units']","[1069, 7845]"," lions, and other",lions,animal,['animals'],[8398]
" centuries, and other",centuries,time,"['time', 'units']","[1069, 7845]"," wasps, and other",wasps,bug,"['insects', 'insect', 'bugs']","[31029, 35312, 30608]"
" weeks, and other",weeks,time,"['time', 'units']","[1069, 7845]"," sneakers, and other",sneakers,footwear,['footwear'],[62966]
" milliseconds, and other",milliseconds,time,"['time', 'units']","[1069, 7845]"," violins, and other",violins,instrument,"['musical', 'instruments']","[13340, 18159]"
" millenniums, and other",millenniums,time,"['time', 'units']","[1069, 7845]"," pantiess, and other",pantiess,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" nanoseconds, and other",nanoseconds,time,"['time', 'units']","[1069, 7845]"," congressmen, and other",congressmen,politician,"['elected', 'politicians']","[17710, 33650]"
" eons, and other",eons,time,"['time', 'units']","[1069, 7845]"," bookcases, and other",bookcases,furniture,['furniture'],[16241]
" uncles, and other",uncles,relative,"['relatives', 'family']","[22631, 2730]"," Germany, and other",Germany,country,"['countries', 'country']","[5605, 3170]"
" aunts, and other",aunts,relative,"['relatives', 'family']","[22631, 2730]"," squash, and other",squash,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" cousins, and other",cousins,relative,"['relatives', 'family']","[22631, 2730]"," Brazil, and other",Brazil,country,"['countries', 'country']","[5605, 3170]"
