clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", diamonds and other",diamonds,gem,"['gem', 'gems']","[16840, 23685]",", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",diamonds are a type of,quarters are a type of,0.06393873691558838
", rubies and other",rubies,gem,"['gem', 'gems']","[16840, 23685]",", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",rubies are a type of,drug smuggling is a type of,0.0009706688579171896
", emeralds and other",emeralds,gem,"['gem', 'gems']","[16840, 23685]",", rock & roll and other",rock & roll,music,['music'],[2647],emeralds are a type of,rock & roll is a type of,0.003577717114239931
", sapphires and other",sapphires,gem,"['gem', 'gems']","[16840, 23685]",", mahi mahi and other",mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]",sapphires are a type of,mahi mahi are a type of,-0.0022518225014209747
", pearls and other",pearls,gem,"['gem', 'gems']","[16840, 23685]",", herring and other",herring,fish,"['fish', 'fishes']","[5916, 49765]",pearls are a type of,herring are a type of,0.0243961364030838
", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",gemstones are a type of,vice presidents are a type of,0.15446250140666962
", amethysts and other",amethysts,gem,"['gem', 'gems']","[16840, 23685]",", daisies and other",daisies,flower,"['flowers', 'flowering']","[12734, 48573]",amethysts are a type of,daisies are a type of,-0.00014886136341374367
", opals and other",opals,gem,"['gem', 'gems']","[16840, 23685]",", eons and other",eons,time,"['time', 'units']","[640, 4991]",opals are a type of,eons are a type of,0.0008658888982608914
", topazs and other",topazs,gem,"['gem', 'gems']","[16840, 23685]",", nightstands and other",nightstands,furniture,['furniture'],[13091],topazs are a type of,nightstands are a type of,0.0008401409722864628
", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",garnets are a type of,thunderstorms are a type of,-0.0009087902726605535
", jades and other",jades,gem,"['gem', 'gems']","[16840, 23685]",", ska and other",ska,music,['music'],[2647],jades are a type of,ska is a type of,0.001463736523874104
", quartzs and other",quartzs,gem,"['gem', 'gems']","[16840, 23685]",", kine and other",kine,animal,['animals'],[4695],quartzs are a type of,kine are a type of,0.01954323798418045
", turquoises and other",turquoises,gem,"['gem', 'gems']","[16840, 23685]",", mahi mahi and other",mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]",turquoises are a type of,mahi mahi are a type of,-0.008270922116935253
", hours and other",hours,time,"['time', 'units']","[640, 4991]",", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",hours are a type of,bananas are a type of,0.0059044756926596165
", secs and other",secs,time,"['time', 'units']","[640, 4991]",", suns and other",suns,flower,"['flowers', 'flowering']","[12734, 48573]",secs are a type of,suns are a type of,0.001102257869206369
", minutes and other",minutes,time,"['time', 'units']","[640, 4991]",", heels and other",heels,footwear,['footwear'],[43463],minutes are a type of,heels are a type of,0.003306466154754162
", years and other",years,time,"['time', 'units']","[640, 4991]",", volleyball and other",volleyball,sport,['sports'],[5701],years are a type of,volleyball is a type of,0.002185473684221506
", days and other",days,time,"['time', 'units']","[640, 4991]",", kilometers and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",days are a type of,kilometers are a type of,0.007248248904943466
", months and other",months,time,"['time', 'units']","[640, 4991]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",months are a type of,chickens are a type of,0.00399814685806632
", decades and other",decades,time,"['time', 'units']","[640, 4991]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",decades are a type of,beans are a type of,0.0019321979489177465
", centuries and other",centuries,time,"['time', 'units']","[640, 4991]",", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",centuries are a type of,representatives are a type of,0.0030732890591025352
", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",", nails and other",nails,tool,['tools'],[4899],weeks are a type of,nails are a type of,0.00334036978892982
", milliseconds and other",milliseconds,time,"['time', 'units']","[640, 4991]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",milliseconds are a type of,chickens are a type of,0.00751815689727664
", millenniums and other",millenniums,time,"['time', 'units']","[640, 4991]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",millenniums are a type of,treasurers are a type of,0.023922378197312355
", nanoseconds and other",nanoseconds,time,"['time', 'units']","[640, 4991]",", cantaloupes and other",cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]",nanoseconds are a type of,cantaloupes are a type of,0.015135376714169979
", eons and other",eons,time,"['time', 'units']","[640, 4991]",", congressmen and other",congressmen,politician,"['elected', 'politicians']","[7018, 7602]",eons are a type of,congressmen are a type of,0.013411086983978748
", uncles and other",uncles,relative,"['relatives', 'family']","[12772, 1641]",", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",uncles are a type of,moths are a type of,0.2596019506454468
", aunts and other",aunts,relative,"['relatives', 'family']","[12772, 1641]",", radishes and other",radishes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",aunts are a type of,radishes are a type of,0.32097792625427246
", cousins and other",cousins,relative,"['relatives', 'family']","[12772, 1641]",", gloves and other",gloves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",cousins are a type of,gloves are a type of,0.2366303950548172
", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",", running and other",running,sport,['sports'],[5701],mothers are a type of,running is a type of,0.04160691425204277
", grandmoms and other",grandmoms,relative,"['relatives', 'family']","[12772, 1641]",", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",grandmoms are a type of,grand theft auto is a type of,0.10065240412950516
