clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the desk, you see a blue necklace, a black cup, and a red pencil. What color is the necklace? A: blue Q: On the desk, I see a grey cup, a green textbook, and a red notebook. What color is the textbook? A:",green,4077,"Q: On the desk, you see a blue necklace, a black cup, and a red pencil. What color is the necklace? A: blue Q: On the desk, I see a purple textbook, a yellow ball, and a pink jug. What color is the jug? A:",pink,11398
"Q: On the desk, I see a blue notebook and a green plate. What color is the notebook? A: blue Q: On the floor, there is a pink jug and a red notebook. What color is the notebook? A:",red,2266,"Q: On the desk, I see a blue notebook and a green plate. What color is the notebook? A: blue Q: On the floor, there is a yellow envelope and a blue lighter. What color is the envelope? A:",yellow,7872
"Q: On the desk, there is a silver textbook, a brown lighter, and a black bottle. What color is the textbook? A: silver Q: On the floor, you see a blue pen, a silver ball, a purple bracelet, and a green envelope. What color is the ball? A:",silver,8465,"Q: On the desk, there is a silver textbook, a brown lighter, and a black bottle. What color is the textbook? A: silver Q: On the floor, you see a silver necklace, a pink envelope, a gold puzzle, and a grey bowl. What color is the bowl? A:",grey,13791
"Q: On the desk, there is a green cup, a black jug, and a brown leash. What color is the leash? A: brown Q: On the desk, you see a silver lighter, a green mug, and a brown envelope. What color is the envelope? A:",brown,7586,"Q: On the desk, there is a green cup, a black jug, and a brown leash. What color is the leash? A: brown Q: On the desk, you see a black mug, a grey pencil, and a blue envelope. What color is the mug? A:",black,2042
"Q: On the desk, I see an orange ball and a silver bracelet. What color is the bracelet? A: silver Q: On the table, you see a red bracelet, a pink ball, a blue leash, and a grey plate. What color is the leash? A:",blue,4171,"Q: On the desk, I see an orange ball and a silver bracelet. What color is the bracelet? A: silver Q: On the table, you see a gold lighter, a purple pen, a pink bracelet, and a red bottle. What color is the pen? A:",purple,14032
"Q: On the table, there is a brown leash, a silver ball, and a pink bracelet. What color is the ball? A: silver Q: On the desk, there is a yellow leash, a black pen, a pink notebook, and a silver lighter. What color is the notebook? A:",pink,11398,"Q: On the table, there is a brown leash, a silver ball, and a pink bracelet. What color is the ball? A: silver Q: On the desk, there is a gold lighter, a red puzzle, a blue envelope, and a pink jug. What color is the lighter? A:",gold,3869
"Q: On the floor, I see a silver puzzle, a grey textbook, and a brown bracelet. What color is the puzzle? A: silver Q: On the table, you see a gold ball and a grey bowl. What color is the ball? A:",gold,3869,"Q: On the floor, I see a silver puzzle, a grey textbook, and a brown bracelet. What color is the puzzle? A: silver Q: On the table, you see a brown plate and an orange leash. What color is the plate? A:",brown,7586
"Q: On the floor, you see a gold puzzle, a green necklace, a yellow pen, and a red cup. What color is the puzzle? A: gold Q: On the desk, you see an orange pen, a green lighter, a gold bracelet, and a brown puzzle. What color is the pen? A:",orange,10912,"Q: On the floor, you see a gold puzzle, a green necklace, a yellow pen, and a red cup. What color is the puzzle? A: gold Q: On the desk, you see a silver lighter, a pink jug, a yellow plate, and a gold bottle. What color is the plate? A:",yellow,7872
"Q: On the desk, I see a green cup and a yellow mug. What color is the mug? A: yellow Q: On the desk, you see an orange notebook, a black leash, and a brown pen. What color is the leash? A:",black,2042,"Q: On the desk, I see a green cup and a yellow mug. What color is the mug? A: yellow Q: On the desk, you see a purple puzzle, a silver envelope, and a red jug. What color is the jug? A:",red,2266
"Q: On the floor, I see a pink mug, a purple lighter, and a grey cup. What color is the mug? A: pink Q: On the table, there is a brown bracelet, a green ball, a black mug, and a blue pencil. What color is the pencil? A:",blue,4171,"Q: On the floor, I see a pink mug, a purple lighter, and a grey cup. What color is the mug? A: pink Q: On the table, there is a pink bottle, a brown mug, a black leash, and a blue envelope. What color is the leash? A:",black,2042
"Q: On the table, you see a purple jug and a silver bracelet. What color is the bracelet? A: silver Q: On the table, I see a purple ball, a blue necklace, and a red cup. What color is the ball? A:",purple,14032,"Q: On the table, you see a purple jug and a silver bracelet. What color is the bracelet? A: silver Q: On the table, I see a blue pen, a yellow necklace, and a silver jug. What color is the jug? A:",silver,8465
"Q: On the desk, you see a green plate, an orange bracelet, a yellow envelope, and a blue bowl. What color is the bracelet? A: orange Q: On the table, you see a purple pen and a black leash. What color is the pen? A:",purple,14032,"Q: On the desk, you see a green plate, an orange bracelet, a yellow envelope, and a blue bowl. What color is the bracelet? A: orange Q: On the table, you see a black pen and an orange jug. What color is the pen? A:",black,2042
"Q: On the floor, there is a pink ball and a red bottle. What color is the ball? A: pink Q: On the floor, I see a black mug and a blue pen. What color is the pen? A:",blue,4171,"Q: On the floor, there is a pink ball and a red bottle. What color is the ball? A: pink Q: On the floor, I see a pink lighter and a black ball. What color is the ball? A:",black,2042
"Q: On the table, there is a pink cup and a gold lighter. What color is the lighter? A: gold Q: On the floor, I see a yellow cup, a silver mug, and a purple plate. What color is the plate? A:",purple,14032,"Q: On the table, there is a pink cup and a gold lighter. What color is the lighter? A: gold Q: On the floor, I see a red pen, a purple mug, and a brown leash. What color is the pen? A:",red,2266
"Q: On the table, you see a gold lighter and an orange bracelet. What color is the bracelet? A: orange Q: On the table, there is a red bottle and a brown pen. What color is the bottle? A:",red,2266,"Q: On the table, you see a gold lighter and an orange bracelet. What color is the bracelet? A: orange Q: On the table, there is a black lighter and a blue cup. What color is the cup? A:",blue,4171
"Q: On the floor, you see a blue jug, a purple puzzle, a gold bracelet, and a red envelope. What color is the puzzle? A: purple Q: On the desk, there is a pink mug, a black necklace, a yellow cup, and a grey lighter. What color is the lighter? A:",grey,13791,"Q: On the floor, you see a blue jug, a purple puzzle, a gold bracelet, and a red envelope. What color is the puzzle? A: purple Q: On the desk, there is a yellow envelope, a green cup, a silver pencil, and a grey puzzle. What color is the pencil? A:",silver,8465
"Q: On the table, there is a brown plate, a gold pen, a grey leash, and a silver ball. What color is the plate? A: brown Q: On the floor, you see a yellow bracelet and a red notebook. What color is the notebook? A:",red,2266,"Q: On the table, there is a brown plate, a gold pen, a grey leash, and a silver ball. What color is the plate? A: brown Q: On the floor, you see a black bottle and a brown jug. What color is the jug? A:",brown,7586
"Q: On the table, there is an orange bowl and a black puzzle. What color is the puzzle? A: black Q: On the desk, I see a black leash, a red lighter, a pink plate, and a green pen. What color is the lighter? A:",red,2266,"Q: On the table, there is an orange bowl and a black puzzle. What color is the puzzle? A: black Q: On the desk, I see a green leash, a brown puzzle, a black necklace, and an orange mug. What color is the leash? A:",green,4077
"Q: On the table, you see a silver plate, a brown textbook, a blue envelope, and a pink puzzle. What color is the plate? A: silver Q: On the desk, I see a red pencil and a pink necklace. What color is the pencil? A:",red,2266,"Q: On the table, you see a silver plate, a brown textbook, a blue envelope, and a pink puzzle. What color is the plate? A: silver Q: On the desk, I see a brown bottle and a purple textbook. What color is the textbook? A:",purple,14032
"Q: On the table, you see a grey mug, a blue notebook, a pink bowl, and a gold lighter. What color is the bowl? A: pink Q: On the table, I see a green envelope and an orange pen. What color is the pen? A:",orange,10912,"Q: On the table, you see a grey mug, a blue notebook, a pink bowl, and a gold lighter. What color is the bowl? A: pink Q: On the table, I see a silver mug and a gold pen. What color is the pen? A:",gold,3869
"Q: On the desk, you see a pink puzzle, a silver bracelet, and a gold lighter. What color is the puzzle? A: pink Q: On the table, you see a silver puzzle, a blue bottle, and a brown pencil. What color is the bottle? A:",blue,4171,"Q: On the desk, you see a pink puzzle, a silver bracelet, and a gold lighter. What color is the puzzle? A: pink Q: On the table, you see a black notebook, a gold mug, and a green plate. What color is the plate? A:",green,4077
