clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the desk, you see a blue envelope, a black textbook, and a red lighter. What color is the lighter? A: red Q: On the desk, there is a yellow bottle and a silver puzzle. What color is the bottle? A:",yellow,8862,"Q: On the desk, you see a blue envelope, a black textbook, and a red lighter. What color is the lighter? A: red Q: On the desk, there is a red plate and an orange notebook. What color is the notebook? A:",orange,13735
"Q: On the floor, there is a blue necklace and a purple textbook. What color is the textbook? A: purple Q: On the desk, I see a black cup, an orange necklace, and a blue pencil. What color is the cup? A:",black,2806,"Q: On the floor, there is a blue necklace and a purple textbook. What color is the textbook? A: purple Q: On the desk, I see a purple pencil, a red bowl, and a black ball. What color is the pencil? A:",purple,19445
"Q: On the table, there is a yellow puzzle, a blue cup, and a gold bowl. What color is the puzzle? A: yellow Q: On the desk, you see a black envelope, a blue notebook, and a gold ball. What color is the notebook? A:",blue,4797,"Q: On the table, there is a yellow puzzle, a blue cup, and a gold bowl. What color is the puzzle? A: yellow Q: On the desk, you see a black mug, a blue envelope, and a silver cup. What color is the mug? A:",black,2806
"Q: On the desk, I see a black puzzle, a yellow bowl, a silver jug, and a grey textbook. What color is the textbook? A: grey Q: On the desk, I see a brown cup, a yellow textbook, and a pink jug. What color is the cup? A:",brown,8516,"Q: On the desk, I see a black puzzle, a yellow bowl, a silver jug, and a grey textbook. What color is the textbook? A: grey Q: On the desk, I see a black necklace, a yellow lighter, and a grey plate. What color is the lighter? A:",yellow,8862
"Q: On the desk, you see a brown bottle and a gold textbook. What color is the bottle? A: brown Q: On the floor, I see a pink bowl, a blue cup, a green puzzle, and a red bottle. What color is the bowl? A:",pink,14863,"Q: On the desk, you see a brown bottle and a gold textbook. What color is the bottle? A: brown Q: On the floor, I see an orange envelope, a silver plate, a purple notebook, and a brown lighter. What color is the envelope? A:",orange,13735
"Q: On the table, you see a brown plate, a silver bowl, and a grey puzzle. What color is the puzzle? A: grey Q: On the desk, I see a gold ball and an orange envelope. What color is the ball? A:",gold,5328,"Q: On the table, you see a brown plate, a silver bowl, and a grey puzzle. What color is the puzzle? A: grey Q: On the desk, I see an orange envelope and a yellow bowl. What color is the bowl? A:",yellow,8862
"Q: On the floor, I see a silver bowl, a grey cup, and a brown plate. What color is the plate? A: brown Q: On the table, there is a yellow mug, a gold bowl, and a grey pencil. What color is the bowl? A:",gold,5328,"Q: On the floor, I see a silver bowl, a grey cup, and a brown plate. What color is the plate? A: brown Q: On the table, there is an orange bowl, a yellow notebook, and a blue textbook. What color is the notebook? A:",yellow,8862
"Q: On the floor, you see a yellow envelope and a red cup. What color is the cup? A: red Q: On the table, there is a brown envelope and a pink bowl. What color is the envelope? A:",brown,8516,"Q: On the floor, you see a yellow envelope and a red cup. What color is the cup? A: red Q: On the table, there is a green ball and a gold jug. What color is the ball? A:",green,4759
"Q: On the floor, you see a gold mug, a purple pen, an orange puzzle, and a silver ball. What color is the ball? A: silver Q: On the table, you see a brown cup, a purple pen, and a green notebook. What color is the notebook? A:",green,4759,"Q: On the floor, you see a gold mug, a purple pen, an orange puzzle, and a silver ball. What color is the ball? A: silver Q: On the table, you see a purple jug, a grey plate, and a green mug. What color is the plate? A:",grey,14370
"Q: On the table, I see a red lighter, a blue bowl, and a yellow puzzle. What color is the puzzle? A: yellow Q: On the desk, there is a gold envelope and a brown bottle. What color is the bottle? A:",brown,8516,"Q: On the table, I see a red lighter, a blue bowl, and a yellow puzzle. What color is the puzzle? A: yellow Q: On the desk, there is a pink necklace and a purple cup. What color is the cup? A:",purple,19445
"Q: On the table, there is a green jug and a grey lighter. What color is the jug? A: green Q: On the floor, I see a purple bottle, a pink envelope, a blue bowl, and a brown necklace. What color is the necklace? A:",brown,8516,"Q: On the table, there is a green jug and a grey lighter. What color is the jug? A: green Q: On the floor, I see a silver ball, a red bowl, a grey envelope, and a pink jug. What color is the envelope? A:",grey,14370
"Q: On the floor, you see a grey lighter and a pink bowl. What color is the bowl? A: pink Q: On the table, you see a purple pen and a silver jug. What color is the jug? A:",silver,9711,"Q: On the floor, you see a grey lighter and a pink bowl. What color is the bowl? A: pink Q: On the table, you see a green mug and a purple lighter. What color is the lighter? A:",purple,19445
