clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 diamonds and rubies are two types of,diamonds,rubies,gem,"['gem', 'gems']","[16915, 42776]", drums and violas are two types of,drums,violas,instrument,"['musical', 'instruments']","[12256, 13225]"
 diamonds and emeralds are two types of,diamonds,emeralds,gem,"['gem', 'gems']","[16915, 42776]", dance and rock & roll are two types of,dance,rock & roll,music,['music'],[3440]
 diamonds and sapphires are two types of,diamonds,sapphires,gem,"['gem', 'gems']","[16915, 42776]", pumps and moccasins are two types of,pumps,moccasins,footwear,['footwear'],[3174]
 diamonds and pearls are two types of,diamonds,pearls,gem,"['gem', 'gems']","[16915, 42776]", scientists and businesswomen are two types of,scientists,businesswomen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 diamonds and gemstones are two types of,diamonds,gemstones,gem,"['gem', 'gems']","[16915, 42776]", opera and new age are two types of,opera,new age,music,['music'],[3440]
 diamonds and amethysts are two types of,diamonds,amethysts,gem,"['gem', 'gems']","[16915, 42776]", roses and daffodils are two types of,roses,daffodils,flower,"['flowers', 'flowering']","[12405, 37958]"
 diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16915, 42776]", palms and maples are two types of,palms,maples,tree,['trees'],[7139]
 diamonds and topazs are two types of,diamonds,topazs,gem,"['gem', 'gems']","[16915, 42776]", missiles and brass knuckles are two types of,missiles,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 diamonds and garnets are two types of,diamonds,garnets,gem,"['gem', 'gems']","[16915, 42776]", quarters and yens are two types of,quarters,yens,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 diamonds and jades are two types of,diamonds,jades,gem,"['gem', 'gems']","[16915, 42776]", lamps and desks are two types of,lamps,desks,furniture,['furniture'],[17076]
 diamonds and quartzs are two types of,diamonds,quartzs,gem,"['gem', 'gems']","[16915, 42776]", roses and irides are two types of,roses,irides,flower,"['flowers', 'flowering']","[12405, 37958]"
 diamonds and turquoises are two types of,diamonds,turquoises,gem,"['gem', 'gems']","[16915, 42776]", cod and guppy are two types of,cod,guppy,fish,"['fish', 'fishes']","[6773, 49720]"
 rubies and diamonds are two types of,rubies,diamonds,gem,"['gem', 'gems']","[16915, 42776]", new age and soul are two types of,new age,soul,music,['music'],[3440]
 rubies and emeralds are two types of,rubies,emeralds,gem,"['gem', 'gems']","[16915, 42776]", irides and orchids are two types of,irides,orchids,flower,"['flowers', 'flowering']","[12405, 37958]"
 rubies and sapphires are two types of,rubies,sapphires,gem,"['gem', 'gems']","[16915, 42776]", ravens and woodpeckers are two types of,ravens,woodpeckers,bird,"['birds', 'bird']","[11260, 12621]"
 rubies and pearls are two types of,rubies,pearls,gem,"['gem', 'gems']","[16915, 42776]", canoes and rowboats are two types of,canoes,rowboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 rubies and gemstones are two types of,rubies,gemstones,gem,"['gem', 'gems']","[16915, 42776]", futons and stools are two types of,futons,stools,furniture,['furniture'],[17076]
 rubies and amethysts are two types of,rubies,amethysts,gem,"['gem', 'gems']","[16915, 42776]", donkeys and cheetahs are two types of,donkeys,cheetahs,animal,['animals'],[5074]
 rubies and opals are two types of,rubies,opals,gem,"['gem', 'gems']","[16915, 42776]", huts and dormitories are two types of,huts,dormitories,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 rubies and topazs are two types of,rubies,topazs,gem,"['gem', 'gems']","[16915, 42776]", hurricanes and thunderstorms are two types of,hurricanes,thunderstorms,weather,"['weather', 'natural']","[8588, 3626]"
 rubies and garnets are two types of,rubies,garnets,gem,"['gem', 'gems']","[16915, 42776]", cabs and vans are two types of,cabs,vans,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 rubies and jades are two types of,rubies,jades,gem,"['gem', 'gems']","[16915, 42776]", typhoons and hurricanes are two types of,typhoons,hurricanes,weather,"['weather', 'natural']","[8588, 3626]"
 rubies and quartzs are two types of,rubies,quartzs,gem,"['gem', 'gems']","[16915, 42776]", aunts and uncles are two types of,aunts,uncles,relative,"['relatives', 'family']","[17772, 2021]"
 rubies and turquoises are two types of,rubies,turquoises,gem,"['gem', 'gems']","[16915, 42776]", eons and nanoseconds are two types of,eons,nanoseconds,time,"['time', 'units']","[673, 5085]"
 emeralds and diamonds are two types of,emeralds,diamonds,gem,"['gem', 'gems']","[16915, 42776]", guppy and trout are two types of,guppy,trout,fish,"['fish', 'fishes']","[6773, 49720]"
 emeralds and rubies are two types of,emeralds,rubies,gem,"['gem', 'gems']","[16915, 42776]", raccoons and foxes are two types of,raccoons,foxes,animal,['animals'],[5074]
 emeralds and sapphires are two types of,emeralds,sapphires,gem,"['gem', 'gems']","[16915, 42776]", bluejays and woodpeckers are two types of,bluejays,woodpeckers,bird,"['birds', 'bird']","[11260, 12621]"
 emeralds and pearls are two types of,emeralds,pearls,gem,"['gem', 'gems']","[16915, 42776]", pantiess and tank tops are two types of,pantiess,tank tops,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
