clean,corrupted,clean_idx,corrupted_idx
No author that no senators liked has had,The author that no senators liked has had,667,690
No author that no senators liked has had,The author that no senators liked has had,667,690
No pilot that no consultants praised has shown,The pilot that the consultants praised has shown,667,690
No pilot that no consultants praised has shown,The pilot that the consultants praised has shown,667,690
The surgeon that the guards hated has known,No surgeon that no guards hated has known,690,667
The surgeon that the guards hated has known,No surgeon that no guards hated has known,690,667
The farmer that no clerks discussed has had,No farmer that no clerks discussed has had,690,667
No farmer that no clerks discussed has had,The farmer that no clerks discussed has had,667,690
No manager that no architects loved has completed,The manager that no architects loved has completed,667,690
The manager that no architects loved has completed,No manager that no architects loved has completed,690,667
No customer that no managers liked has spent,The customer that no managers liked has spent,667,690
No customer that no managers liked has spent,The customer that no managers liked has spent,667,690
No officer that no journalists praised has had,The officer that no journalists praised has had,667,690
The officer that no journalists praised has had,No officer that no journalists praised has had,690,667
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,667,690
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,667,690
The senator that no taxi drivers admired has passed,No senator that no taxi drivers admired has passed,690,667
No senator that no taxi drivers admired has passed,The senator that no taxi drivers admired has passed,667,690
No consultant that no secretaries loved has passed up,The consultant that no secretaries loved has passed up,667,690
No consultant that no secretaries loved has passed up,The consultant that no secretaries loved has passed up,667,690
No guard that no executives liked has seen,The guard that no executives liked has seen,667,690
No guard that no executives liked has seen,The guard that no executives liked has seen,667,690
No clerk that no authors praised has burned,The clerk that no authors praised has burned,667,690
No clerk that no authors praised has burned,The clerk that no authors praised has burned,667,690
No architect that no pilots hated has had,The architect that the pilots hated has had,667,690
The architect that the pilots hated has had,No architect that no pilots hated has had,690,667
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,690,667
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,690,667
The dancer that no farmers loved has broken,No dancer that no farmers loved has broken,690,667
The dancer that no farmers loved has broken,No dancer that no farmers loved has broken,690,667
The minister that no managers liked has missed,No minister that no managers liked has missed,690,667
No minister that no managers liked has missed,The minister that no managers liked has missed,667,690
The taxi driver that no customers praised has crashed,No taxi driver that no customers praised has crashed,690,667
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,667,690
The secretary that the officers hated has missed,No secretary that no officers hated has missed,690,667
The secretary that the officers hated has missed,No secretary that no officers hated has missed,690,667
The executive that the teachers knew has fired,No executive that no teachers knew has fired,690,667
No executive that no teachers knew has fired,The executive that the teachers knew has fired,667,690
No authors that no officer loved have read,The authors that the officer loved have read,667,690
The authors that the officer loved have read,No authors that no officer loved have read,690,667
No pilots that no teacher liked have landed,The pilots that no teacher liked have landed,667,690
No pilots that no teacher liked have landed,The pilots that no teacher liked have landed,667,690
No doctors that no senator praised have failed,The doctors that no senator praised have failed,667,690
No doctors that no senator praised have failed,The doctors that no senator praised have failed,667,690
No farmers that no consultant hated have planted,The farmers that no consultant hated have planted,667,690
No farmers that no consultant hated have planted,The farmers that no consultant hated have planted,667,690
The managers that the guard respected have had,No managers that no guard respected have had,690,667
No managers that no guard respected have had,The managers that the guard respected have had,667,690
No customers that no clerk loved have purchased,The customers that the clerk loved have purchased,667,690
The customers that the clerk loved have purchased,No customers that no clerk loved have purchased,690,667
The officers that the architect liked have arrested,No officers that no architect liked have arrested,690,667
No officers that no architect liked have arrested,The officers that the architect liked have arrested,667,690
The teachers that no athlete praised have failed,No teachers that no athlete praised have failed,690,667
The teachers that no athlete praised have failed,No teachers that no athlete praised have failed,690,667
No senators that no dancer hated have passed,The senators that the dancer hated have passed,667,690
The senators that the dancer hated have passed,No senators that no dancer hated have passed,690,667
The consultants that the minister impressed have missed,No consultants that no minister impressed have missed,690,667
The consultants that the minister impressed have missed,No consultants that no minister impressed have missed,690,667
The guards that the taxi driver loved have caught,No guards that no taxi driver loved have caught,690,667
The guards that the taxi driver loved have caught,No guards that no taxi driver loved have caught,690,667
The clerks that the secretary liked have burned,No clerks that no secretary liked have burned,690,667
No clerks that no secretary liked have burned,The clerks that the secretary liked have burned,667,690
No architects that no executive praised have passed,The architects that no executive praised have passed,667,690
No architects that no executive praised have passed,The architects that no executive praised have passed,667,690
No athletes that no pilot hated have broken,The athletes that the pilot hated have broken,667,690
No athletes that no pilot hated have broken,The athletes that the pilot hated have broken,667,690
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,690,667
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,690,667
The ministers that no farmer loved have advocated,No ministers that no farmer loved have advocated,690,667
The ministers that no farmer loved have advocated,No ministers that no farmer loved have advocated,690,667
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,667,690
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,667,690
No secretaries that no customer praised have missed,The secretaries that the customer praised have missed,667,690
The secretaries that the customer praised have missed,No secretaries that no customer praised have missed,690,667
The executives that the officer hated have refused,No executives that no officer hated have refused,690,667
The executives that the officer hated have refused,No executives that no officer hated have refused,690,667
