clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the desk, you see a blue envelope, a black bowl, and a red puzzle. What color is the envelope? A: blue Q: On the table, there is a purple plate, a gold notebook, and a grey pen. What color is the notebook? A:",gold,5782,"Q: On the desk, you see a blue envelope, a black bowl, and a red puzzle. What color is the envelope? A: blue Q: On the table, there is an orange cup, a blue jug, and a yellow envelope. What color is the jug? A:",blue,5813
"Q: On the desk, I see a black plate, an orange lighter, and a blue notebook. What color is the plate? A: black Q: On the floor, there is a red notebook, a pink puzzle, a purple cup, and a yellow jug. What color is the jug? A:",yellow,10452,"Q: On the desk, I see a black plate, an orange lighter, and a blue notebook. What color is the plate? A: black Q: On the floor, there is a gold bottle, a green bowl, a pink puzzle, and a red jug. What color is the jug? A:",red,3528
"Q: On the table, I see a black bottle, a blue plate, and a silver pen. What color is the plate? A: blue Q: On the floor, I see a yellow ball, a silver puzzle, a purple envelope, and a gold bowl. What color is the bowl? A:",gold,5782,"Q: On the table, I see a black bottle, a blue plate, and a silver pen. What color is the plate? A: blue Q: On the floor, I see a purple puzzle, a silver plate, a brown envelope, and a yellow bowl. What color is the puzzle? A:",purple,20203
"Q: On the floor, I see a grey jug and a pink ball. What color is the ball? A: pink Q: On the desk, there is a gold plate, a purple lighter, and a black envelope. What color is the envelope? A:",black,3455,"Q: On the floor, I see a grey jug and a pink ball. What color is the ball? A: pink Q: On the desk, there is a pink notebook, a blue plate, and a green ball. What color is the ball? A:",green,6112
"Q: On the table, there is a silver pen, a brown jug, and a blue notebook. What color is the pen? A: silver Q: On the desk, you see a silver jug, a grey ball, and a blue lighter. What color is the lighter? A:",blue,5813,"Q: On the table, there is a silver pen, a brown jug, and a blue notebook. What color is the pen? A: silver Q: On the desk, you see a red plate, a gold pen, and an orange cup. What color is the pen? A:",gold,5782
"Q: On the desk, you see a pink bottle, a brown bowl, a blue pen, and a silver cup. What color is the bowl? A: brown Q: On the desk, you see an orange jug and a yellow ball. What color is the jug? A:",orange,15313,"Q: On the desk, you see a pink bottle, a brown bowl, a blue pen, and a silver cup. What color is the bowl? A: brown Q: On the desk, you see a blue bowl and a gold ball. What color is the bowl? A:",blue,5813
"Q: On the desk, there is a pink plate, a blue jug, a silver notebook, and a brown pen. What color is the notebook? A: silver Q: On the table, you see a silver pen, a pink cup, a red jug, and a brown bowl. What color is the bowl? A:",brown,9828,"Q: On the desk, there is a pink plate, a blue jug, a silver notebook, and a brown pen. What color is the notebook? A: silver Q: On the table, you see a purple notebook, a gold plate, a green puzzle, and a yellow cup. What color is the plate? A:",gold,5782
"Q: On the table, you see a pink ball, an orange puzzle, and a green pen. What color is the pen? A: green Q: On the desk, I see a purple bottle, an orange cup, and a silver ball. What color is the ball? A:",silver,10514,"Q: On the table, you see a pink ball, an orange puzzle, and a green pen. What color is the pen? A: green Q: On the desk, I see a gold puzzle, a yellow bowl, and a blue plate. What color is the puzzle? A:",gold,5782
"Q: On the table, there is a purple jug, a grey bottle, a green bowl, and a brown pen. What color is the bowl? A: green Q: On the table, you see a gold bottle and a purple notebook. What color is the bottle? A:",gold,5782,"Q: On the table, there is a purple jug, a grey bottle, a green bowl, and a brown pen. What color is the bowl? A: green Q: On the table, you see a gold bowl and a brown envelope. What color is the envelope? A:",brown,9828
"Q: On the floor, I see a green notebook, a gold plate, a pink puzzle, and a red lighter. What color is the puzzle? A: pink Q: On the desk, I see a grey lighter, a silver bottle, a purple puzzle, and a red jug. What color is the jug? A:",red,3528,"Q: On the floor, I see a green notebook, a gold plate, a pink puzzle, and a red lighter. What color is the puzzle? A: pink Q: On the desk, I see a green pen, a grey ball, a purple notebook, and a blue bottle. What color is the ball? A:",grey,16311
"Q: On the desk, I see a green bowl, a purple jug, and a silver notebook. What color is the jug? A: purple Q: On the desk, there is a blue bottle and a yellow pen. What color is the pen? A:",yellow,10452,"Q: On the desk, I see a green bowl, a purple jug, and a silver notebook. What color is the jug? A: purple Q: On the desk, there is a brown ball and a purple jug. What color is the ball? A:",brown,9828
"Q: On the table, there is a yellow jug, a grey plate, and a brown pen. What color is the plate? A: grey Q: On the table, I see a purple notebook, a black envelope, an orange pen, and a blue lighter. What color is the envelope? A:",black,3455,"Q: On the table, there is a yellow jug, a grey plate, and a brown pen. What color is the plate? A: grey Q: On the table, I see a purple notebook, a green bottle, an orange lighter, and a red plate. What color is the notebook? A:",purple,20203
"Q: On the floor, you see a green ball, an orange lighter, a silver envelope, and a black bottle. What color is the envelope? A: silver Q: On the table, there is a pink pen and a gold ball. What color is the ball? A:",gold,5782,"Q: On the floor, you see a green ball, an orange lighter, a silver envelope, and a black bottle. What color is the envelope? A: silver Q: On the table, there is a purple puzzle and a grey cup. What color is the cup? A:",grey,16311
"Q: On the desk, there is a blue bowl and a red puzzle. What color is the bowl? A: blue Q: On the table, I see an orange pen and a blue ball. What color is the pen? A:",orange,15313,"Q: On the desk, there is a blue bowl and a red puzzle. What color is the bowl? A: blue Q: On the table, I see a gold ball and a brown notebook. What color is the ball? A:",gold,5782
"Q: On the table, there is a silver pen, a grey plate, and a purple envelope. What color is the plate? A: grey Q: On the desk, there is a purple bowl, a brown ball, and a blue notebook. What color is the bowl? A:",purple,20203,"Q: On the table, there is a silver pen, a grey plate, and a purple envelope. What color is the plate? A: grey Q: On the desk, there is a green pen, a pink envelope, and a silver cup. What color is the pen? A:",green,6112
"Q: On the table, I see a grey cup and a silver bowl. What color is the cup? A: grey Q: On the desk, there is a black cup, a brown jug, and a silver plate. What color is the cup? A:",black,3455,"Q: On the table, I see a grey cup and a silver bowl. What color is the cup? A: grey Q: On the desk, there is a red envelope, an orange plate, and a black bottle. What color is the plate? A:",orange,15313
"Q: On the floor, I see a red jug, a black ball, a grey bowl, and a green cup. What color is the ball? A: black Q: On the table, you see a black bowl, an orange bottle, a blue pen, and a green cup. What color is the cup? A:",green,6112,"Q: On the floor, I see a red jug, a black ball, a grey bowl, and a green cup. What color is the ball? A: black Q: On the table, you see a pink bottle, a silver cup, a brown jug, and a blue ball. What color is the bottle? A:",pink,13705
"Q: On the floor, there is a blue bottle and a gold jug. What color is the jug? A: gold Q: On the table, you see a brown ball and a black plate. What color is the ball? A:",brown,9828,"Q: On the floor, there is a blue bottle and a gold jug. What color is the jug? A: gold Q: On the table, you see a grey jug and a green lighter. What color is the jug? A:",grey,16311
"Q: On the floor, you see a red cup, a green bowl, and a purple envelope. What color is the cup? A: red Q: On the floor, you see a yellow puzzle, a brown plate, and a blue ball. What color is the ball? A:",blue,5813,"Q: On the floor, you see a red cup, a green bowl, and a purple envelope. What color is the cup? A: red Q: On the floor, you see a yellow notebook, a gold bowl, and a grey lighter. What color is the bowl? A:",gold,5782
