clean,corrupted,clean_idx,corrupted_idx
No author that no senators liked has had,The author that the senators liked has had,1089,1009
The author that the senators liked has had,No author that no senators liked has had,1009,1089
The pilot that the consultants praised has shown,No pilot that no consultants praised has shown,1009,1089
No pilot that no consultants praised has shown,The pilot that the consultants praised has shown,1089,1009
No surgeon that no guards hated has known,The surgeon that the guards hated has known,1089,1009
The surgeon that the guards hated has known,No surgeon that no guards hated has known,1009,1089
No farmer that no clerks discussed has had,The farmer that the clerks discussed has had,1089,1009
No farmer that no clerks discussed has had,The farmer that the clerks discussed has had,1089,1009
No manager that no architects loved has completed,The manager that no architects loved has completed,1089,1009
The manager that no architects loved has completed,No manager that no architects loved has completed,1009,1089
No customer that no managers liked has spent,The customer that the managers liked has spent,1089,1009
The customer that the managers liked has spent,No customer that no managers liked has spent,1009,1089
The officer that no journalists praised has had,No officer that no journalists praised has had,1009,1089
The officer that no journalists praised has had,No officer that no journalists praised has had,1009,1089
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,1089,1009
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,1089,1009
The senator that the taxi drivers admired has passed,No senator that no taxi drivers admired has passed,1009,1089
No senator that no taxi drivers admired has passed,The senator that the taxi drivers admired has passed,1089,1009
No consultant that no secretaries loved has passed up,The consultant that the secretaries loved has passed up,1089,1009
No consultant that no secretaries loved has passed up,The consultant that the secretaries loved has passed up,1089,1009
The guard that the executives liked has seen,No guard that no executives liked has seen,1009,1089
The guard that the executives liked has seen,No guard that no executives liked has seen,1009,1089
The clerk that no authors praised has burned,No clerk that no authors praised has burned,1009,1089
No clerk that no authors praised has burned,The clerk that no authors praised has burned,1089,1009
The architect that no pilots hated has had,No architect that no pilots hated has had,1009,1089
The architect that no pilots hated has had,No architect that no pilots hated has had,1009,1089
No athlete that no doctors helped has broken,The athlete that no doctors helped has broken,1089,1009
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,1009,1089
The dancer that no farmers loved has broken,No dancer that no farmers loved has broken,1009,1089
No dancer that no farmers loved has broken,The dancer that no farmers loved has broken,1089,1009
The minister that no managers liked has missed,No minister that no managers liked has missed,1009,1089
No minister that no managers liked has missed,The minister that no managers liked has missed,1089,1009
The taxi driver that no customers praised has crashed,No taxi driver that no customers praised has crashed,1009,1089
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,1089,1009
No secretary that no officers hated has missed,The secretary that no officers hated has missed,1089,1009
No secretary that no officers hated has missed,The secretary that no officers hated has missed,1089,1009
No executive that no teachers knew has fired,The executive that the teachers knew has fired,1089,1009
No executive that no teachers knew has fired,The executive that the teachers knew has fired,1089,1009
The authors that the officer loved have read,No authors that no officer loved have read,1009,1089
No authors that no officer loved have read,The authors that the officer loved have read,1089,1009
No pilots that no teacher liked have landed,The pilots that no teacher liked have landed,1089,1009
The pilots that no teacher liked have landed,No pilots that no teacher liked have landed,1009,1089
The doctors that no senator praised have failed,No doctors that no senator praised have failed,1009,1089
No doctors that no senator praised have failed,The doctors that no senator praised have failed,1089,1009
The farmers that the consultant hated have planted,No farmers that no consultant hated have planted,1009,1089
No farmers that no consultant hated have planted,The farmers that the consultant hated have planted,1089,1009
The managers that no guard respected have had,No managers that no guard respected have had,1009,1089
No managers that no guard respected have had,The managers that no guard respected have had,1089,1009
No customers that no clerk loved have purchased,The customers that the clerk loved have purchased,1089,1009
No customers that no clerk loved have purchased,The customers that the clerk loved have purchased,1089,1009
The officers that no architect liked have arrested,No officers that no architect liked have arrested,1009,1089
The officers that no architect liked have arrested,No officers that no architect liked have arrested,1009,1089
No teachers that no athlete praised have failed,The teachers that the athlete praised have failed,1089,1009
The teachers that the athlete praised have failed,No teachers that no athlete praised have failed,1009,1089
The senators that the dancer hated have passed,No senators that no dancer hated have passed,1009,1089
No senators that no dancer hated have passed,The senators that the dancer hated have passed,1089,1009
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,1089,1009
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,1089,1009
No guards that no taxi driver loved have caught,The guards that the taxi driver loved have caught,1089,1009
No guards that no taxi driver loved have caught,The guards that the taxi driver loved have caught,1089,1009
No clerks that no secretary liked have burned,The clerks that the secretary liked have burned,1089,1009
The clerks that the secretary liked have burned,No clerks that no secretary liked have burned,1009,1089
The architects that the executive praised have passed,No architects that no executive praised have passed,1009,1089
The architects that the executive praised have passed,No architects that no executive praised have passed,1009,1089
No athletes that no pilot hated have broken,The athletes that no pilot hated have broken,1089,1009
No athletes that no pilot hated have broken,The athletes that no pilot hated have broken,1089,1009
No journalists that no surgeon contacted have broken,The journalists that the surgeon contacted have broken,1089,1009
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,1009,1089
The ministers that the farmer loved have advocated,No ministers that no farmer loved have advocated,1009,1089
The ministers that the farmer loved have advocated,No ministers that no farmer loved have advocated,1009,1089
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,1089,1009
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,1089,1009
No secretaries that no customer praised have missed,The secretaries that the customer praised have missed,1089,1009
The secretaries that the customer praised have missed,No secretaries that no customer praised have missed,1009,1089
The executives that the officer hated have refused,No executives that no officer hated have refused,1009,1089
The executives that the officer hated have refused,No executives that no officer hated have refused,1009,1089
