clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one utetornity. Now there are two utetorn","First, there were two utetornities. Now there is one utetorn",1986,1240,utetornity,utetornities,0
"First, there were two utetornities. Now there is one utetorn","First, there was one utetornity. Now there are two utetorn",1240,1986,utetornity,utetornities,1
"First, there was one fithory. Now there are two fith","First, there were two fithories. Now there is one fith",3188,1463,fithory,fithories,0
"First, there were two fithories. Now there is one fith","First, there was one fithory. Now there are two fith",1463,3188,fithory,fithories,1
"First, there was one favioty. Now there are two faviot","First, there were two favioties. Now there is one faviot",1265,29492,favioty,favioties,0
"First, there were two favioties. Now there is one faviot","First, there was one favioty. Now there are two faviot",29492,1265,favioty,favioties,1
"First, there was one utmesition. Now there are two utmes","First, there were two utmesitions. Now there is one utmes",2833,1453,utmesition,utmesitions,0
"First, there were two utmesitions. Now there is one utmes","First, there was one utmesition. Now there are two utmes",1453,2833,utmesition,utmesitions,1
"First, there was one cunwre. Now there are two cunw","First, there were two cunwres. Now there is one cunw",1179,1035,cunwre,cunwres,0
"First, there were two cunwres. Now there is one cunw","First, there was one cunwre. Now there are two cunw",1035,1179,cunwre,cunwres,1
"First, there was one somant. Now there are two som","First, there were two somants. Now there is one som",2317,1208,somant,somants,0
"First, there were two somants. Now there is one som","First, there was one somant. Now there are two som",1208,2317,somant,somants,1
"First, there was one monio. Now there are two mon","First, there were two monios. Now there is one mon",3574,1459,monio,monios,0
"First, there were two monios. Now there is one mon","First, there was one monio. Now there are two mon",1459,3574,monio,monios,1
"First, there was one pran. Now there are two pr","First, there were two prans. Now there is one pr",1277,1044,pran,prans,0
"First, there were two prans. Now there is one pr","First, there was one pran. Now there are two pr",1044,1277,pran,prans,1
"First, there was one memion. Now there are two mem","First, there were two memions. Now there is one mem",1362,1064,memion,memions,0
"First, there were two memions. Now there is one mem","First, there was one memion. Now there are two mem",1064,1362,memion,memions,1
"First, there was one proment. Now there are two prom","First, there were two proments. Now there is one prom",1556,1076,proment,proments,0
"First, there were two proments. Now there is one prom","First, there was one proment. Now there are two prom",1076,1556,proment,proments,1
"First, there was one trale. Now there are two tr","First, there were two trales. Now there is one tr",2998,1651,trale,trales,0
"First, there were two trales. Now there is one tr","First, there was one trale. Now there are two tr",1651,2998,trale,trales,1
"First, there was one urner. Now there are two urn","First, there were two urners. Now there is one urn",1172,1031,urner,urners,0
"First, there were two urners. Now there is one urn","First, there was one urner. Now there are two urn",1031,1172,urner,urners,1
"First, there was one presisate. Now there are two presis","First, there were two presisates. Now there is one presis",1770,1148,presisate,presisates,0
"First, there were two presisates. Now there is one presis","First, there was one presisate. Now there are two presis",1148,1770,presisate,presisates,1
"First, there was one flomity. Now there are two flom","First, there were two flomities. Now there is one flom",1986,1240,flomity,flomities,0
"First, there were two flomities. Now there is one flom","First, there was one flomity. Now there are two flom",1240,1986,flomity,flomities,1
"First, there was one collift. Now there are two coll","First, there were two collifts. Now there is one coll",9805,2563,collift,collifts,0
"First, there were two collifts. Now there is one coll","First, there was one collift. Now there are two coll",2563,9805,collift,collifts,1
"First, there was one revotian. Now there are two revot","First, there were two revotians. Now there is one revot",4461,1521,revotian,revotians,0
"First, there were two revotians. Now there is one revot","First, there was one revotian. Now there are two revot",1521,4461,revotian,revotians,1
"First, there was one sirtor. Now there are two sirt","First, there were two sirtors. Now there is one sirt",1502,1039,sirtor,sirtors,0
"First, there were two sirtors. Now there is one sirt","First, there was one sirtor. Now there are two sirt",1039,1502,sirtor,sirtors,1
"First, there was one reveak. Now there are two reve","First, there were two reveaks. Now there is one reve",9908,1259,reveak,reveaks,0
"First, there were two reveaks. Now there is one reve","First, there was one reveak. Now there are two reve",1259,9908,reveak,reveaks,1
"First, there was one panerdment. Now there are two panerd","First, there were two panerdments. Now there is one panerd",2107,1234,panerdment,panerdments,0
"First, there were two panerdments. Now there is one panerd","First, there was one panerdment. Now there are two panerd",1234,2107,panerdment,panerdments,1
"First, there was one wiek. Now there are two wie","First, there were two wieks. Now there is one wie",3053,29497,wiek,wieks,0
"First, there were two wieks. Now there is one wie","First, there was one wiek. Now there are two wie",29497,3053,wiek,wieks,1
"First, there was one erant. Now there are two er","First, there were two erants. Now there is one er",2317,1208,erant,erants,0
"First, there were two erants. Now there is one er","First, there was one erant. Now there are two er",1208,2317,erant,erants,1
"First, there was one spead. Now there are two spe","First, there were two speads. Now there is one spe",7490,1084,spead,speads,0
"First, there were two speads. Now there is one spe","First, there was one spead. Now there are two spe",1084,7490,spead,speads,1
"First, there was one moque. Now there are two mo","First, there were two moques. Now there is one mo",6726,1779,moque,moques,0
"First, there were two moques. Now there is one mo","First, there was one moque. Now there are two mo",1779,6726,moque,moques,1
"First, there was one trake. Now there are two tr","First, there were two trakes. Now there is one tr",2361,1389,trake,trakes,0
"First, there were two trakes. Now there is one tr","First, there was one trake. Now there are two tr",1389,2361,trake,trakes,1
"First, there was one fadle. Now there are two fad","First, there were two fadles. Now there is one fad",1635,1059,fadle,fadles,0
"First, there were two fadles. Now there is one fad","First, there was one fadle. Now there are two fad",1059,1635,fadle,fadles,1
"First, there was one afterceid. Now there are two afterce","First, there were two afterceids. Now there is one afterce",3066,1081,afterceid,afterceids,0
"First, there were two afterceids. Now there is one afterce","First, there was one afterceid. Now there are two afterce",1081,3066,afterceid,afterceids,1
"First, there was one agriecant. Now there are two agriec","First, there were two agriecants. Now there is one agriec",2317,1208,agriecant,agriecants,0
"First, there were two agriecants. Now there is one agriec","First, there was one agriecant. Now there are two agriec",1208,2317,agriecant,agriecants,1
"First, there was one fran. Now there are two fr","First, there were two frans. Now there is one fr",1277,1044,fran,frans,0
"First, there were two frans. Now there is one fr","First, there was one fran. Now there are two fr",1044,1277,fran,frans,1
"First, there was one gand. Now there are two g","First, there were two gands. Now there is one g",3119,1159,gand,gands,0
"First, there were two gands. Now there is one g","First, there was one gand. Now there are two g",1159,3119,gand,gands,1
"First, there was one johm. Now there are two joh","First, there were two johms. Now there is one joh",1801,29487,johm,johms,0
"First, there were two johms. Now there is one joh","First, there was one johm. Now there are two joh",29487,1801,johm,johms,1
"First, there was one bunegot. Now there are two buneg","First, there were two bunegots. Now there is one buneg",2417,1090,bunegot,bunegots,0
"First, there were two bunegots. Now there is one buneg","First, there was one bunegot. Now there are two buneg",1090,2417,bunegot,bunegots,1
"First, there was one plame. Now there are two pl","First, there were two plames. Now there is one pl",1913,1201,plame,plames,0
"First, there were two plames. Now there is one pl","First, there was one plame. Now there are two pl",1201,1913,plame,plames,1
"First, there was one altistion. Now there are two altist","First, there were two altistions. Now there is one altist",1362,1064,altistion,altistions,0
"First, there were two altistions. Now there is one altist","First, there was one altistion. Now there are two altist",1064,1362,altistion,altistions,1
"First, there was one cpale. Now there are two cp","First, there were two cpales. Now there is one cp",2998,1651,cpale,cpales,0
"First, there were two cpales. Now there is one cp","First, there was one cpale. Now there are two cp",1651,2998,cpale,cpales,1
"First, there was one cosior. Now there are two cos","First, there were two cosiors. Now there is one cos",14539,2550,cosior,cosiors,0
"First, there were two cosiors. Now there is one cos","First, there was one cosior. Now there are two cos",2550,14539,cosior,cosiors,1
"First, there was one sevucation. Now there are two sevuc","First, there were two sevucations. Now there is one sevuc",1465,1120,sevucation,sevucations,0
"First, there were two sevucations. Now there is one sevuc","First, there was one sevucation. Now there are two sevuc",1120,1465,sevucation,sevucations,1
"First, there was one behafteur. Now there are two behafte","First, there were two behafteurs. Now there is one behafte",2494,1092,behafteur,behafteurs,0
"First, there were two behafteurs. Now there is one behafte","First, there was one behafteur. Now there are two behafte",1092,2494,behafteur,behafteurs,1
"First, there was one ald. Now there are two al","First, there were two alds. Now there is one al",4441,29483,ald,alds,0
"First, there were two alds. Now there is one al","First, there was one ald. Now there are two al",29483,4441,ald,alds,1
"First, there was one densussion. Now there are two densuss","First, there were two densussions. Now there is one densuss",1362,1064,densussion,densussions,0
"First, there were two densussions. Now there is one densuss","First, there was one densussion. Now there are two densuss",1064,1362,densussion,densussions,1
"First, there was one matteze. Now there are two matte","First, there were two mattezes. Now there is one matte",12957,2142,matteze,mattezes,0
"First, there were two mattezes. Now there is one matte","First, there was one matteze. Now there are two matte",2142,12957,matteze,mattezes,1
"First, there was one reveam. Now there are two reve","First, there were two reveams. Now there is one reve",6090,1082,reveam,reveams,0
"First, there were two reveams. Now there is one reve","First, there was one reveam. Now there are two reve",1082,6090,reveam,reveams,1
"First, there was one machate. Now there are two mach","First, there were two machates. Now there is one mach",1770,1148,machate,machates,0
"First, there were two machates. Now there is one mach","First, there was one machate. Now there are two mach",1148,1770,machate,machates,1
"First, there was one mosedent. Now there are two mosed","First, there were two mosedents. Now there is one mosed",1556,1076,mosedent,mosedents,0
"First, there were two mosedents. Now there is one mosed","First, there was one mosedent. Now there are two mosed",1076,1556,mosedent,mosedents,1
"First, there was one tratebort. Now there are two trateb","First, there were two trateborts. Now there is one trateb",16355,1187,tratebort,trateborts,0
"First, there were two trateborts. Now there is one trateb","First, there was one tratebort. Now there are two trateb",1187,16355,tratebort,trateborts,1
"First, there was one pupeup. Now there are two pupe","First, there were two pupeups. Now there is one pupe",9791,1483,pupeup,pupeups,0
"First, there were two pupeups. Now there is one pupe","First, there was one pupeup. Now there are two pupe",1483,9791,pupeup,pupeups,1
"First, there was one copior. Now there are two cop","First, there were two copiors. Now there is one cop",14539,2550,copior,copiors,0
"First, there were two copiors. Now there is one cop","First, there was one copior. Now there are two cop",2550,14539,copior,copiors,1
"First, there was one cacy. Now there are two c","First, there were two cacies. Now there is one c",23222,3194,cacy,cacies,0
"First, there were two cacies. Now there is one c","First, there was one cacy. Now there are two c",3194,23222,cacy,cacies,1
"First, there was one corlomity. Now there are two corlom","First, there were two corlomities. Now there is one corlom",1986,1240,corlomity,corlomities,0
"First, there were two corlomities. Now there is one corlom","First, there was one corlomity. Now there are two corlom",1240,1986,corlomity,corlomities,1
"First, there was one sarny. Now there are two sarn","First, there were two sarnies. Now there is one sarn",1265,29492,sarny,sarnies,0
"First, there were two sarnies. Now there is one sarn","First, there was one sarny. Now there are two sarn",29492,1265,sarny,sarnies,1
"First, there was one puction. Now there are two pu","First, there were two puctions. Now there is one pu",2076,1213,puction,puctions,0
"First, there were two puctions. Now there is one pu","First, there was one puction. Now there are two pu",1213,2076,puction,puctions,1
"First, there was one muction. Now there are two mu","First, there were two muctions. Now there is one mu",2076,1213,muction,muctions,0
"First, there were two muctions. Now there is one mu","First, there was one muction. Now there are two mu",1213,2076,muction,muctions,1
"First, there was one behaftear. Now there are two behafte","First, there were two behaftears. Now there is one behafte",1936,1051,behaftear,behaftears,0
"First, there were two behaftears. Now there is one behafte","First, there was one behaftear. Now there are two behafte",1051,1936,behaftear,behaftears,1
"First, there was one skesteen. Now there are two skeste","First, there were two skesteens. Now there is one skeste",1364,1037,skesteen,skesteens,0
"First, there were two skesteens. Now there is one skeste","First, there was one skesteen. Now there are two skeste",1037,1364,skesteen,skesteens,1
"First, there was one flooker. Now there are two flook","First, there were two flookers. Now there is one flook",1172,1031,flooker,flookers,0
"First, there were two flookers. Now there is one flook","First, there was one flooker. Now there are two flook",1031,1172,flooker,flookers,1
"First, there was one setucation. Now there are two setuc","First, there were two setucations. Now there is one setuc",1465,1120,setucation,setucations,0
"First, there were two setucations. Now there is one setuc","First, there was one setucation. Now there are two setuc",1120,1465,setucation,setucations,1
"First, there was one forl. Now there are two for","First, there were two forls. Now there is one for",5679,29482,forl,forls,0
"First, there were two forls. Now there is one for","First, there was one forl. Now there are two for",29482,5679,forl,forls,1
"First, there was one dengussion. Now there are two denguss","First, there were two dengussions. Now there is one denguss",1362,1064,dengussion,dengussions,0
"First, there were two dengussions. Now there is one denguss","First, there was one dengussion. Now there are two denguss",1064,1362,dengussion,dengussions,1
"First, there was one chelent. Now there are two chel","First, there were two chelents. Now there is one chel",1556,1076,chelent,chelents,0
"First, there were two chelents. Now there is one chel","First, there was one chelent. Now there are two chel",1076,1556,chelent,chelents,1
"First, there was one paneshment. Now there are two panesh","First, there were two paneshments. Now there is one panesh",2107,1234,paneshment,paneshments,0
