clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The aunt yelled that,The uncle yelled that,703,344,0
The stepmother whispered that,The stepfather whispered that,703,344,0
"The deliverywoman is a great friend, isn't","The deliveryman is a great friend, isn't",703,344,0
The irishman ate because,The irishwoman ate because,344,703,1
The mailwoman slept because,The mailman slept because,703,344,0
The lady ate because,The gentleman ate because,703,344,0
The strongman was fired because,The strongwoman was fired because,344,703,1
The dad wished that,The mom wished that,344,703,1
The she was promoted because,The he was promoted because,703,344,0
The klansman went home because,The klanswoman went home because,344,703,1
"The fisherman is a great friend, isn't","The fisherwoman is a great friend, isn't",344,703,1
The lord ate because,The lady ate because,344,703,1
The congressman yelled because,The congresswoman yelled because,344,703,1
The parisian drove because,The parisienne drove because,344,703,1
The sister-in-law wished that,The brother-in-law wished that,703,344,0
The daughter slept because,The son slept because,703,344,0
The sorcerer slept because,The sorceress slept because,344,703,1
The mailman stayed up because,The mailwoman stayed up because,344,703,1
The marksman laughed because,The markswoman laughed because,344,703,1
The boyfriend wished that,The girlfriend wished that,344,703,1
The bellgirl slept because,The bellboy slept because,703,344,0
The servicewoman stayed up because,The serviceman stayed up because,703,344,0
The lord yelled because,The lady yelled because,344,703,1
The father-in-law was fired because,The mother-in-law was fired because,344,703,1
The girl slept because,The boy slept because,703,344,0
The congresswoman slept because,The congressman slept because,703,344,0
The gentlemen drove because,The ladies drove because,344,703,1
The mailman wished that,The mailwoman wished that,344,703,1
The infantrywoman ran because,The infantryman ran because,703,344,0
The stepmother stayed up because,The stepfather stayed up because,703,344,0
The stepbrother was fired because,The stepsister was fired because,344,703,1
The great-uncle cried because,The great-aunt cried because,344,703,1
The gal wished that,The guy wished that,703,344,0
The bellboy yelled because,The bellgirl yelled because,344,703,1
The ferryman whispered that,The ferrywoman whispered that,344,703,1
The repairwoman stayed up because,The repairman stayed up because,703,344,0
The woman stayed up because,The man stayed up because,703,344,0
The weatherman ran because,The weatherwoman ran because,344,703,1
The madwoman wished that,The madman wished that,703,344,0
The masseuse slept because,The masseur slept because,703,344,0
The deliveryman whispered that,The deliverywoman whispered that,344,703,1
The wingman wished that,The wingwoman wished that,344,703,1
The daughter-in-law whispered that,The son-in-law whispered that,703,344,0
"The boy is a nice person, isn't","The girl is a nice person, isn't",344,703,1
"The deliveryman is a nice person, isn't","The deliverywoman is a nice person, isn't",344,703,1
"The gal is a great friend, isn't","The guy is a great friend, isn't",703,344,0
The sorcerer went home because,The sorceress went home because,344,703,1
The fisherman slept because,The fisherwoman slept because,344,703,1
The mailman cried because,The mailwoman cried because,344,703,1
The mother-in-law ate because,The father-in-law ate because,703,344,0
The strongman was promoted because,The strongwoman was promoted because,344,703,1
The barman ate because,The barmaid ate because,344,703,1
"The assemblyman is a nice person, isn't","The assemblywoman is a nice person, isn't",344,703,1
The congressman ate because,The congresswoman ate because,344,703,1
The goddaughter went home because,The godson went home because,703,344,0
The gal yelled that,The guy yelled that,703,344,0
The madwoman ran because,The madman ran because,703,344,0
"The godfather is a nice person, isn't","The godmother is a nice person, isn't",344,703,1
The salesboy drove because,The salesgirl drove because,344,703,1
The lord went home because,The lady went home because,344,703,1
The assemblywoman went home because,The assemblyman went home because,703,344,0
The markswoman ate because,The marksman ate because,703,344,0
The busboy whispered that,The busgirl whispered that,344,703,1
The bellgirl drove because,The bellboy drove because,703,344,0
The masseur whispered that,The masseuse whispered that,344,703,1
The cowgirl ate because,The cowboy ate because,703,344,0
"The alderman is a nice person, isn't","The alderwoman is a nice person, isn't",344,703,1
The fisherman cried because,The fisherwoman cried because,344,703,1
The boy drove because,The girl drove because,344,703,1
The father-in-law drove because,The mother-in-law drove because,344,703,1
The ferrywoman laughed because,The ferryman laughed because,703,344,0
The nephew cried because,The niece cried because,344,703,1
"The salesboy is a nice person, isn't","The salesgirl is a nice person, isn't",344,703,1
The choirgirl stayed up because,The choirboy stayed up because,703,344,0
The salesman yelled that,The saleswoman yelled that,344,703,1
"The saleswoman is a nice person, isn't","The salesman is a nice person, isn't",703,344,0
The groom whispered that,The bride whispered that,344,703,1
The actor ate because,The actress ate because,344,703,1
The choirgirl ate because,The choirboy ate because,703,344,0
The handywoman went home because,The handyman went home because,703,344,0
