clean,corrupted,clean_idx,corrupted_idx
No author that liked no senators has,The author that liked the senators has,3596,2646
No author that liked no senators has,The author that liked the senators has,3596,2646
The pilot that met the consultants has,No pilot that met no consultants has,2646,3596
No pilot that met no consultants has,The pilot that met the consultants has,3596,2646
The doctor that hated no guards has,No doctor that hated no guards has,2646,3596
No doctor that hated no guards has,The doctor that hated no guards has,3596,2646
The farmer that discussed no clerks has,No farmer that discussed no clerks has,2646,3596
No farmer that discussed no clerks has,The farmer that discussed no clerks has,3596,2646
No manager that loved no architects has,The manager that loved no architects has,3596,2646
No manager that loved no architects has,The manager that loved no architects has,3596,2646
No customer that liked no athletes has,The customer that liked no athletes has,3596,2646
The customer that liked no athletes has,No customer that liked no athletes has,2646,3596
The officer that met no actors has,No officer that met no actors has,2646,3596
No officer that met no actors has,The officer that met no actors has,3596,2646
No teacher that hated no ministers has,The teacher that hated no ministers has,3596,2646
The teacher that hated no ministers has,No teacher that hated no ministers has,2646,3596
The senator that admired the taxi drivers has,No senator that admired no taxi drivers has,2646,3596
No senator that admired no taxi drivers has,The senator that admired the taxi drivers has,3596,2646
No consultant that loved no secretaries has,The consultant that loved no secretaries has,3596,2646
No consultant that loved no secretaries has,The consultant that loved no secretaries has,3596,2646
No guard that liked no executives has,The guard that liked the executives has,3596,2646
The guard that liked the executives has,No guard that liked no executives has,2646,3596
The clerk that met the authors has,No clerk that met no authors has,2646,3596
No clerk that met no authors has,The clerk that met the authors has,3596,2646
The architect that hated no pilots has,No architect that hated no pilots has,2646,3596
The architect that hated no pilots has,No architect that hated no pilots has,2646,3596
No athlete that helped no doctors has,The athlete that helped no doctors has,3596,2646
No athlete that helped no doctors has,The athlete that helped no doctors has,3596,2646
The actor that loved the farmers has,No actor that loved no farmers has,2646,3596
No actor that loved no farmers has,The actor that loved the farmers has,3596,2646
No minister that liked no managers has,The minister that liked the managers has,3596,2646
No minister that liked no managers has,The minister that liked the managers has,3596,2646
No taxi driver that met no customers has,The taxi driver that met the customers has,3596,2646
The taxi driver that met the customers has,No taxi driver that met no customers has,2646,3596
The secretary that hated no officers has,No secretary that hated no officers has,2646,3596
No secretary that hated no officers has,The secretary that hated no officers has,3596,2646
No executive that discussed no teachers has,The executive that discussed the teachers has,3596,2646
No executive that discussed no teachers has,The executive that discussed the teachers has,3596,2646
No authors that loved no officer have,The authors that loved the officer have,3596,2646
The authors that loved the officer have,No authors that loved no officer have,2646,3596
The pilots that liked the teacher have,No pilots that liked no teacher have,2646,3596
No pilots that liked no teacher have,The pilots that liked the teacher have,3596,2646
The doctors that met no senator have,No doctors that met no senator have,2646,3596
The doctors that met no senator have,No doctors that met no senator have,2646,3596
The farmers that hated no consultant have,No farmers that hated no consultant have,2646,3596
The farmers that hated no consultant have,No farmers that hated no consultant have,2646,3596
No managers that respected no guard have,The managers that respected no guard have,3596,2646
No managers that respected no guard have,The managers that respected no guard have,3596,2646
No customers that loved no clerk have,The customers that loved the clerk have,3596,2646
No customers that loved no clerk have,The customers that loved the clerk have,3596,2646
The officers that liked the architect have,No officers that liked no architect have,2646,3596
No officers that liked no architect have,The officers that liked the architect have,3596,2646
The teachers that met the athlete have,No teachers that met no athlete have,2646,3596
The teachers that met the athlete have,No teachers that met no athlete have,2646,3596
The senators that hated no actor have,No senators that hated no actor have,2646,3596
The senators that hated no actor have,No senators that hated no actor have,2646,3596
No consultants that impressed no minister have,The consultants that impressed no minister have,3596,2646
The consultants that impressed no minister have,No consultants that impressed no minister have,2646,3596
No guards that loved no taxi driver have,The guards that loved the taxi driver have,3596,2646
The guards that loved the taxi driver have,No guards that loved no taxi driver have,2646,3596
No clerks that liked no secretary have,The clerks that liked the secretary have,3596,2646
The clerks that liked the secretary have,No clerks that liked no secretary have,2646,3596
The architects that met the executive have,No architects that met no executive have,2646,3596
No architects that met no executive have,The architects that met the executive have,3596,2646
No athletes that hated no pilot have,The athletes that hated no pilot have,3596,2646
The athletes that hated no pilot have,No athletes that hated no pilot have,2646,3596
No journalists that contacted no doctor have,The journalists that contacted the doctor have,3596,2646
The journalists that contacted the doctor have,No journalists that contacted no doctor have,2646,3596
No ministers that loved no farmer have,The ministers that loved no farmer have,3596,2646
No ministers that loved no farmer have,The ministers that loved no farmer have,3596,2646
The taxi drivers that liked no manager have,No taxi drivers that liked no manager have,2646,3596
The taxi drivers that liked no manager have,No taxi drivers that liked no manager have,2646,3596
The secretaries that met no customer have,No secretaries that met no customer have,2646,3596
No secretaries that met no customer have,The secretaries that met no customer have,3596,2646
The executives that hated the officer have,No executives that hated no officer have,2646,3596
The executives that hated the officer have,No executives that hated no officer have,2646,3596
