clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", diamonds and other",diamonds,gem,"['gem', 'gems']","[16840, 23685]",", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",diamonds are a type of,bananas are a type of
", rubies and other",rubies,gem,"['gem', 'gems']","[16840, 23685]",", eons and other",eons,time,"['time', 'units']","[640, 4991]",rubies are a type of,eons are a type of
", emeralds and other",emeralds,gem,"['gem', 'gems']","[16840, 23685]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",emeralds are a type of,secretaries of state are a type of
", sapphires and other",sapphires,gem,"['gem', 'gems']","[16840, 23685]",", moccasins and other",moccasins,footwear,['footwear'],[43463],sapphires are a type of,moccasins are a type of
", pearls and other",pearls,gem,"['gem', 'gems']","[16840, 23685]",", bluebirds and other",bluebirds,bird,"['birds', 'bird']","[10087, 6512]",pearls are a type of,bluebirds are a type of
", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",", ladybugs and other",ladybugs,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",gemstones are a type of,ladybugs are a type of
", amethysts and other",amethysts,gem,"['gem', 'gems']","[16840, 23685]",", water polo and other",water polo,sport,['sports'],[5701],amethysts are a type of,water polo is a type of
", opals and other",opals,gem,"['gem', 'gems']","[16840, 23685]",", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",opals are a type of,nanometers are a type of
", topazs and other",topazs,gem,"['gem', 'gems']","[16840, 23685]",", monsoons and other",monsoons,weather,"['weather', 'natural']","[6193, 3288]",topazs are a type of,monsoons are a type of
", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",garnets are a type of,moths are a type of
", jades and other",jades,gem,"['gem', 'gems']","[16840, 23685]",", euroes and other",euroes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",jades are a type of,euroes are a type of
", quartzs and other",quartzs,gem,"['gem', 'gems']","[16840, 23685]",", bluegrass and other",bluegrass,music,['music'],[2647],quartzs are a type of,bluegrass is a type of
", turquoises and other",turquoises,gem,"['gem', 'gems']","[16840, 23685]",", woodpeckers and other",woodpeckers,bird,"['birds', 'bird']","[10087, 6512]",turquoises are a type of,woodpeckers are a type of
", hours and other",hours,time,"['time', 'units']","[640, 4991]",", boots and other",boots,footwear,['footwear'],[43463],hours are a type of,boots are a type of
", secs and other",secs,time,"['time', 'units']","[640, 4991]",", herring and other",herring,fish,"['fish', 'fishes']","[5916, 49765]",secs are a type of,herring are a type of
", minutes and other",minutes,time,"['time', 'units']","[640, 4991]",", rap and other",rap,music,['music'],[2647],minutes are a type of,rap is a type of
", years and other",years,time,"['time', 'units']","[640, 4991]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",years are a type of,inches are a type of
", days and other",days,time,"['time', 'units']","[640, 4991]",", lettuce and other",lettuce,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",days are a type of,lettuce is a type of
", months and other",months,time,"['time', 'units']","[640, 4991]",", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",months are a type of,ants are a type of
", decades and other",decades,time,"['time', 'units']","[640, 4991]",", organs and other",organs,instrument,"['musical', 'instruments']","[10530, 12834]",decades are a type of,organs are a type of
