clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" diamonds, and other",diamonds,gem,"['gem', 'gems']","[16915, 42776]"," cents, and other",cents,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" rubies, and other",rubies,gem,"['gem', 'gems']","[16915, 42776]"," basses, and other",basses,instrument,"['musical', 'instruments']","[12256, 13225]"
" emeralds, and other",emeralds,gem,"['gem', 'gems']","[16915, 42776]"," monsoons, and other",monsoons,weather,"['weather', 'natural']","[8588, 3626]"
" sapphires, and other",sapphires,gem,"['gem', 'gems']","[16915, 42776]"," bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" pearls, and other",pearls,gem,"['gem', 'gems']","[16915, 42776]"," melons, and other",melons,fruit,"['fruits', 'fruit']","[18098, 9279]"
" gemstones, and other",gemstones,gem,"['gem', 'gems']","[16915, 42776]"," bookcases, and other",bookcases,furniture,['furniture'],[17076]
" amethysts, and other",amethysts,gem,"['gem', 'gems']","[16915, 42776]"," grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[18098, 9279]"
" opals, and other",opals,gem,"['gem', 'gems']","[16915, 42776]"," swordfish, and other",swordfish,fish,"['fish', 'fishes']","[6773, 49720]"
" topazs, and other",topazs,gem,"['gem', 'gems']","[16915, 42776]"," drug smuggling, and other",drug smuggling,crime,"['crimes', 'crime']","[12137, 6617]"
" garnets, and other",garnets,gem,"['gem', 'gems']","[16915, 42776]"," rafts, and other",rafts,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" jades, and other",jades,gem,"['gem', 'gems']","[16915, 42776]"," hip hop, and other",hip hop,music,['music'],[3440]
" quartzs, and other",quartzs,gem,"['gem', 'gems']","[16915, 42776]"," celloes, and other",celloes,instrument,"['musical', 'instruments']","[12256, 13225]"
" turquoises, and other",turquoises,gem,"['gem', 'gems']","[16915, 42776]"," great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[17772, 2021]"
" hours, and other",hours,time,"['time', 'units']","[673, 5085]"," snow, and other",snow,weather,"['weather', 'natural']","[8588, 3626]"
" secs, and other",secs,time,"['time', 'units']","[673, 5085]"," tape measures, and other",tape measures,tool,['tools'],[5657]
" minutes, and other",minutes,time,"['time', 'units']","[673, 5085]"," firefighters, and other",firefighters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" years, and other",years,time,"['time', 'units']","[673, 5085]"," knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" days, and other",days,time,"['time', 'units']","[673, 5085]"," snow, and other",snow,weather,"['weather', 'natural']","[8588, 3626]"
" months, and other",months,time,"['time', 'units']","[673, 5085]"," cats, and other",cats,animal,['animals'],[5074]
" decades, and other",decades,time,"['time', 'units']","[673, 5085]"," country, and other",country,music,['music'],[3440]
" centuries, and other",centuries,time,"['time', 'units']","[673, 5085]"," horns, and other",horns,instrument,"['musical', 'instruments']","[12256, 13225]"
" weeks, and other",weeks,time,"['time', 'units']","[673, 5085]"," senators, and other",senators,politician,"['elected', 'politicians']","[10544, 13557]"
" milliseconds, and other",milliseconds,time,"['time', 'units']","[673, 5085]"," cents, and other",cents,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" millenniums, and other",millenniums,time,"['time', 'units']","[673, 5085]"," measuring sticks, and other",measuring sticks,tool,['tools'],[5657]
" nanoseconds, and other",nanoseconds,time,"['time', 'units']","[673, 5085]"," piranha, and other",piranha,fish,"['fish', 'fishes']","[6773, 49720]"
" eons, and other",eons,time,"['time', 'units']","[673, 5085]"," scarves, and other",scarves,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" uncles, and other",uncles,relative,"['relatives', 'family']","[17772, 2021]"," saws, and other",saws,tool,['tools'],[5657]
" aunts, and other",aunts,relative,"['relatives', 'family']","[17772, 2021]"," euroes, and other",euroes,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" cousins, and other",cousins,relative,"['relatives', 'family']","[17772, 2021]"," Greece, and other",Greece,country,"['countries', 'country']","[4343, 2586]"
" mothers, and other",mothers,relative,"['relatives', 'family']","[17772, 2021]"," flies, and other",flies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[17772, 2021]"," petunias, and other",petunias,flower,"['flowers', 'flowering']","[12405, 37958]"
" grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[17772, 2021]"," bluegrass, and other",bluegrass,music,['music'],[3440]
" grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[17772, 2021]"," dentists, and other",dentists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" fathers, and other",fathers,relative,"['relatives', 'family']","[17772, 2021]"," Scotland, and other",Scotland,country,"['countries', 'country']","[4343, 2586]"
" granddads, and other",granddads,relative,"['relatives', 'family']","[17772, 2021]"," nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" sisters, and other",sisters,relative,"['relatives', 'family']","[17772, 2021]"," organs, and other",organs,instrument,"['musical', 'instruments']","[12256, 13225]"
" brethren, and other",brethren,relative,"['relatives', 'family']","[17772, 2021]"," quarters, and other",quarters,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" nieces, and other",nieces,relative,"['relatives', 'family']","[17772, 2021]"," beets, and other",beets,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" nephews, and other",nephews,relative,"['relatives', 'family']","[17772, 2021]"," gymnastics, and other",gymnastics,sport,['sports'],[9001]
" great aunts, and other",great aunts,relative,"['relatives', 'family']","[17772, 2021]"," minivans, and other",minivans,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
" grandparents, and other",grandparents,relative,"['relatives', 'family']","[17772, 2021]"," cars, and other",cars,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
" great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[17772, 2021]"," wrenches, and other",wrenches,tool,['tools'],[5657]
" sons, and other",sons,relative,"['relatives', 'family']","[17772, 2021]"," cricket, and other",cricket,sport,['sports'],[9001]
" daughters, and other",daughters,relative,"['relatives', 'family']","[17772, 2021]"," clouds, and other",clouds,weather,"['weather', 'natural']","[8588, 3626]"
" second cousins, and other",second cousins,relative,"['relatives', 'family']","[17772, 2021]"," jeanss, and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[17772, 2021]"," carpenters, and other",carpenters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" great uncles, and other",great uncles,relative,"['relatives', 'family']","[17772, 2021]"," centipedes, and other",centipedes,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," guitars, and other",guitars,instrument,"['musical', 'instruments']","[12256, 13225]"
