clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 diamonds are a type of,diamonds,gem,"['gem', 'gems']","[19269, 43258]", Afghanistan is a type of,Afghanistan,country,"['countries', 'country']","[5961, 3224]"
 rubies are a type of,rubies,gem,"['gem', 'gems']","[19269, 43258]", nanometers are a type of,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 emeralds are a type of,emeralds,gem,"['gem', 'gems']","[19269, 43258]", breaking and entering is a type of,breaking and entering,crime,"['crimes', 'crime']","[17073, 9977]"
 sapphires are a type of,sapphires,gem,"['gem', 'gems']","[19269, 43258]", moccasins are a type of,moccasins,footwear,['footwear'],[68172]
 pearls are a type of,pearls,gem,"['gem', 'gems']","[19269, 43258]", flies are a type of,flies,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 gemstones are a type of,gemstones,gem,"['gem', 'gems']","[19269, 43258]", bluebirds are a type of,bluebirds,bird,"['birds', 'bird']","[20229, 12224]"
 amethysts are a type of,amethysts,gem,"['gem', 'gems']","[19269, 43258]", centipedes are a type of,centipedes,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 opals are a type of,opals,gem,"['gem', 'gems']","[19269, 43258]", sunflowers are a type of,sunflowers,flower,"['flowers', 'flowering']","[19837, 82339]"
 topazs are a type of,topazs,gem,"['gem', 'gems']","[19269, 43258]", minivans are a type of,minivans,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 garnets are a type of,garnets,gem,"['gem', 'gems']","[19269, 43258]", hawks are a type of,hawks,bird,"['birds', 'bird']","[20229, 12224]"
 jades are a type of,jades,gem,"['gem', 'gems']","[19269, 43258]", vice presidents are a type of,vice presidents,politician,"['elected', 'politicians']","[16689, 19287]"
 quartzs are a type of,quartzs,gem,"['gem', 'gems']","[19269, 43258]", kiwis are a type of,kiwis,fruit,"['fruits', 'fruit']","[26390, 14098]"
 turquoises are a type of,turquoises,gem,"['gem', 'gems']","[19269, 43258]", giraffes are a type of,giraffes,animal,['animals'],[10099]
 hours are a type of,hours,time,"['time', 'units']","[892, 8316]", robbery is a type of,robbery,crime,"['crimes', 'crime']","[17073, 9977]"
 secs are a type of,secs,time,"['time', 'units']","[892, 8316]", corn is a type of,corn,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 minutes are a type of,minutes,time,"['time', 'units']","[892, 8316]", bowling is a type of,bowling,sport,['sports'],[10034]
 years are a type of,years,time,"['time', 'units']","[892, 8316]", vans are a type of,vans,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 days are a type of,days,time,"['time', 'units']","[892, 8316]", rulers are a type of,rulers,tool,['tools'],[7526]
 months are a type of,months,time,"['time', 'units']","[892, 8316]", burglary is a type of,burglary,crime,"['crimes', 'crime']","[17073, 9977]"
 decades are a type of,decades,time,"['time', 'units']","[892, 8316]", wolves are a type of,wolves,animal,['animals'],[10099]
 centuries are a type of,centuries,time,"['time', 'units']","[892, 8316]", tomatoes are a type of,tomatoes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 weeks are a type of,weeks,time,"['time', 'units']","[892, 8316]", clouds are a type of,clouds,weather,"['weather', 'natural']","[9282, 5933]"
 milliseconds are a type of,milliseconds,time,"['time', 'units']","[892, 8316]", pearls are a type of,pearls,gem,"['gem', 'gems']","[19269, 43258]"
 millenniums are a type of,millenniums,time,"['time', 'units']","[892, 8316]", South africa is a type of,South africa,country,"['countries', 'country']","[5961, 3224]"
 nanoseconds are a type of,nanoseconds,time,"['time', 'units']","[892, 8316]", orchids are a type of,orchids,flower,"['flowers', 'flowering']","[19837, 82339]"
 eons are a type of,eons,time,"['time', 'units']","[892, 8316]", privates are a type of,privates,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 uncles are a type of,uncles,relative,"['relatives', 'family']","[29658, 3070]", lilacs are a type of,lilacs,flower,"['flowers', 'flowering']","[19837, 82339]"
 aunts are a type of,aunts,relative,"['relatives', 'family']","[29658, 3070]", squirrels are a type of,squirrels,animal,['animals'],[10099]
 cousins are a type of,cousins,relative,"['relatives', 'family']","[29658, 3070]", sneakers are a type of,sneakers,footwear,['footwear'],[68172]
 mothers are a type of,mothers,relative,"['relatives', 'family']","[29658, 3070]", blues is a type of,blues,music,['music'],[4731]
 grandmoms are a type of,grandmoms,relative,"['relatives', 'family']","[29658, 3070]", cabbages are a type of,cabbages,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 grandmothers are a type of,grandmothers,relative,"['relatives', 'family']","[29658, 3070]", larceny is a type of,larceny,crime,"['crimes', 'crime']","[17073, 9977]"
 grandfathers are a type of,grandfathers,relative,"['relatives', 'family']","[29658, 3070]", clarinets are a type of,clarinets,instrument,"['musical', 'instruments']","[18273, 24198]"
 fathers are a type of,fathers,relative,"['relatives', 'family']","[29658, 3070]", roses are a type of,roses,flower,"['flowers', 'flowering']","[19837, 82339]"
 granddads are a type of,granddads,relative,"['relatives', 'family']","[29658, 3070]", carpenters are a type of,carpenters,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 sisters are a type of,sisters,relative,"['relatives', 'family']","[29658, 3070]", wind is a type of,wind,weather,"['weather', 'natural']","[9282, 5933]"
 brethren are a type of,brethren,relative,"['relatives', 'family']","[29658, 3070]", pop is a type of,pop,music,['music'],[4731]
 nieces are a type of,nieces,relative,"['relatives', 'family']","[29658, 3070]", rainbow trout are a type of,rainbow trout,fish,"['fish', 'fishes']","[7795, 95461]"
 nephews are a type of,nephews,relative,"['relatives', 'family']","[29658, 3070]", swordfish are a type of,swordfish,fish,"['fish', 'fishes']","[7795, 95461]"
 great aunts are a type of,great aunts,relative,"['relatives', 'family']","[29658, 3070]", cabbages are a type of,cabbages,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
