clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the desk, you see a teal necklace, a purple cup, and a red pencil. What color is the necklace? A: teal Q: On the desk, I see a fuchsia textbook, a red cup, and a green plate. What color is the plate? A:",green,4433,"Q: On the desk, you see a teal necklace, a purple cup, and a red pencil. What color is the necklace? A: teal Q: On the desk, I see a blue ball, a brown bracelet, and a mauve lighter. What color is the bracelet? A:",brown,8426
"Q: On the floor, there is a magenta pencil, an orange bowl, and a blue lighter. What color is the lighter? A: blue Q: On the table, there is a burgundy textbook and a brown envelope. What color is the envelope? A:",brown,8426,"Q: On the floor, there is a magenta pencil, an orange bowl, and a blue lighter. What color is the lighter? A: blue Q: On the table, there is a magenta notebook and a black ball. What color is the ball? A:",black,2656
"Q: On the desk, I see a grey textbook, a green ball, and a gold mug. What color is the textbook? A: grey Q: On the table, you see a pink bottle, a brown lighter, a gold puzzle, and a black jug. What color is the jug? A:",black,2656,"Q: On the desk, I see a grey textbook, a green ball, and a gold mug. What color is the textbook? A: grey Q: On the table, you see a black jug, a gold necklace, a turquoise cup, and a pink textbook. What color is the cup? A:",turquoise,64197
"Q: On the table, I see a brown bottle, a mauve mug, a black jug, and a blue puzzle. What color is the mug? A: mauve Q: On the floor, I see a teal mug, a magenta lighter, a red necklace, and a black notebook. What color is the mug? A:",teal,88735,"Q: On the table, I see a brown bottle, a mauve mug, a black jug, and a blue puzzle. What color is the mug? A: mauve Q: On the floor, I see a gold leash, a pink cup, a burgundy plate, and a silver necklace. What color is the leash? A:",gold,4394
"Q: On the table, you see a burgundy textbook, a gold envelope, and a mauve necklace. What color is the envelope? A: gold Q: On the floor, there is a yellow jug, a magenta envelope, and a green bowl. What color is the envelope? A:",magenta,121757,"Q: On the table, you see a burgundy textbook, a gold envelope, and a mauve necklace. What color is the envelope? A: gold Q: On the floor, there is a turquoise ball, a teal bowl, and a gold notebook. What color is the notebook? A:",gold,4394
"Q: On the table, I see a silver pen and a teal cup. What color is the pen? A: silver Q: On the desk, you see a mauve lighter and a grey puzzle. What color is the puzzle? A:",grey,11455,"Q: On the table, I see a silver pen and a teal cup. What color is the pen? A: silver Q: On the desk, you see a red ball and a teal bracelet. What color is the ball? A:",red,3118
"Q: On the desk, I see a green plate and a burgundy envelope. What color is the envelope? A: burgundy Q: On the desk, there is a yellow cup, a blue lighter, and a teal necklace. What color is the lighter? A:",blue,3868,"Q: On the desk, I see a green plate and a burgundy envelope. What color is the envelope? A: burgundy Q: On the desk, there is a magenta puzzle, a brown necklace, and a red pen. What color is the puzzle? A:",magenta,121757
"Q: On the table, you see a green bracelet, a magenta pen, and a grey leash. What color is the pen? A: magenta Q: On the floor, you see a green lighter, a gold bowl, a purple pen, and a yellow plate. What color is the pen? A:",purple,15811,"Q: On the table, you see a green bracelet, a magenta pen, and a grey leash. What color is the pen? A: magenta Q: On the floor, you see a burgundy cup, a fuchsia mug, a purple jug, and a yellow plate. What color is the plate? A:",yellow,8123
"Q: On the desk, there is a gold bottle, a burgundy mug, a teal leash, and a purple envelope. What color is the leash? A: teal Q: On the table, you see a gold bracelet and a brown lighter. What color is the bracelet? A:",gold,4394,"Q: On the desk, there is a gold bottle, a burgundy mug, a teal leash, and a purple envelope. What color is the leash? A: teal Q: On the table, you see a gold pencil and a mauve ball. What color is the ball? A:",mauve,173400
"Q: On the table, there is a brown necklace, a gold bowl, and a yellow lighter. What color is the bowl? A: gold Q: On the desk, I see a yellow textbook and a blue plate. What color is the plate? A:",blue,3868,"Q: On the table, there is a brown necklace, a gold bowl, and a yellow lighter. What color is the bowl? A: gold Q: On the desk, I see a teal cup and a magenta bottle. What color is the cup? A:",teal,88735
"Q: On the floor, I see a pink bowl, a yellow pen, a teal notebook, and a red bracelet. What color is the pen? A: yellow Q: On the floor, there is a yellow bottle, an orange puzzle, a purple envelope, and a magenta necklace. What color is the bottle? A:",yellow,8123,"Q: On the floor, I see a pink bowl, a yellow pen, a teal notebook, and a red bracelet. What color is the pen? A: yellow Q: On the floor, there is a pink bottle, a mauve lighter, a magenta leash, and an orange textbook. What color is the textbook? A:",orange,10436
"Q: On the desk, there is an orange cup and a grey lighter. What color is the lighter? A: grey Q: On the floor, I see a blue cup, a silver mug, and a purple plate. What color is the plate? A:",purple,15811,"Q: On the desk, there is an orange cup and a grey lighter. What color is the lighter? A: grey Q: On the floor, I see an orange mug, a burgundy cup, and a yellow notebook. What color is the cup? A:",burgundy,106821
"Q: On the table, you see a grey lighter and a burgundy pencil. What color is the lighter? A: grey Q: On the table, there is a silver textbook, a yellow lighter, and a magenta notebook. What color is the lighter? A:",yellow,8123,"Q: On the table, you see a grey lighter and a burgundy pencil. What color is the lighter? A: grey Q: On the table, there is a burgundy notebook, a teal jug, and a black cup. What color is the cup? A:",black,2656
"Q: On the floor, there is a green mug, a blue necklace, and a brown cup. What color is the cup? A: brown Q: On the floor, you see a fuchsia bottle and a silver envelope. What color is the bottle? A:",fuchsia,192521,"Q: On the floor, there is a green mug, a blue necklace, and a brown cup. What color is the cup? A: brown Q: On the floor, you see a red bracelet and a black puzzle. What color is the bracelet? A:",red,3118
"Q: On the floor, you see a gold cup, a blue ball, and a yellow pen. What color is the cup? A: gold Q: On the table, you see a turquoise bottle and a burgundy jug. What color is the jug? A:",burgundy,106821,"Q: On the floor, you see a gold cup, a blue ball, and a yellow pen. What color is the cup? A: gold Q: On the table, you see a magenta notebook and a fuchsia cup. What color is the notebook? A:",magenta,121757
"Q: On the desk, you see a pink lighter, an orange leash, a fuchsia pen, and a blue envelope. What color is the leash? A: orange Q: On the desk, I see a yellow ball, a teal cup, a fuchsia envelope, and a turquoise pen. What color is the pen? A:",turquoise,64197,"Q: On the desk, you see a pink lighter, an orange leash, a fuchsia pen, and a blue envelope. What color is the leash? A: orange Q: On the desk, I see a gold bottle, a burgundy plate, a mauve lighter, and a pink puzzle. What color is the bottle? A:",gold,4394
