clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" diamonds, and other",diamonds,gem,"['gem', 'gems']","[15805, 1087]"," majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"
" rubies, and other",rubies,gem,"['gem', 'gems']","[15805, 1087]"," organs, and other",organs,instrument,"['musical', 'instruments']","[9926, 18705]"
" emeralds, and other",emeralds,gem,"['gem', 'gems']","[15805, 1087]"," hammers, and other",hammers,tool,['tools'],[7808]
" sapphires, and other",sapphires,gem,"['gem', 'gems']","[15805, 1087]"," hawks, and other",hawks,bird,"['birds', 'bird']","[13548, 8495]"
" pearls, and other",pearls,gem,"['gem', 'gems']","[15805, 1087]"," apples, and other",apples,fruit,"['fruits', 'fruit']","[22334, 11375]"
" gemstones, and other",gemstones,gem,"['gem', 'gems']","[15805, 1087]"," dragonflies, and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" amethysts, and other",amethysts,gem,"['gem', 'gems']","[15805, 1087]"," trombones, and other",trombones,instrument,"['musical', 'instruments']","[9926, 18705]"
" opals, and other",opals,gem,"['gem', 'gems']","[15805, 1087]"," fleas, and other",fleas,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" topazs, and other",topazs,gem,"['gem', 'gems']","[15805, 1087]"," watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[22334, 11375]"
" garnets, and other",garnets,gem,"['gem', 'gems']","[15805, 1087]"," kayaks, and other",kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" jades, and other",jades,gem,"['gem', 'gems']","[15805, 1087]"," shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"
" quartzs, and other",quartzs,gem,"['gem', 'gems']","[15805, 1087]"," celloes, and other",celloes,instrument,"['musical', 'instruments']","[9926, 18705]"
" turquoises, and other",turquoises,gem,"['gem', 'gems']","[15805, 1087]"," grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[22334, 11375]"
" hours, and other",hours,time,"['time', 'units']","[1495, 8775]"," quarters, and other",quarters,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" secs, and other",secs,time,"['time', 'units']","[1495, 8775]"," softball, and other",softball,sport,['sports'],[9425]
" minutes, and other",minutes,time,"['time', 'units']","[1495, 8775]"," clouds, and other",clouds,weather,"['weather', 'natural']","[8854, 4997]"
" years, and other",years,time,"['time', 'units']","[1495, 8775]"," quarters, and other",quarters,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" days, and other",days,time,"['time', 'units']","[1495, 8775]"," nails, and other",nails,tool,['tools'],[7808]
" months, and other",months,time,"['time', 'units']","[1495, 8775]"," Argentina, and other",Argentina,country,"['countries', 'country']","[6548, 3707]"
" decades, and other",decades,time,"['time', 'units']","[1495, 8775]"," miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" centuries, and other",centuries,time,"['time', 'units']","[1495, 8775]"," golf, and other",golf,sport,['sports'],[9425]
" weeks, and other",weeks,time,"['time', 'units']","[1495, 8775]"," jazz, and other",jazz,music,['music'],[4195]
" milliseconds, and other",milliseconds,time,"['time', 'units']","[1495, 8775]"," wrestling, and other",wrestling,sport,['sports'],[9425]
" millenniums, and other",millenniums,time,"['time', 'units']","[1495, 8775]"," drug smuggling, and other",drug smuggling,crime,"['crimes', 'crime']","[18208, 10079]"
" nanoseconds, and other",nanoseconds,time,"['time', 'units']","[1495, 8775]"," recliners, and other",recliners,furniture,['furniture'],[13157]
" eons, and other",eons,time,"['time', 'units']","[1495, 8775]"," bees, and other",bees,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" uncles, and other",uncles,relative,"['relatives', 'family']","[22436, 2773]"," rats, and other",rats,animal,['animals'],[8990]
" aunts, and other",aunts,relative,"['relatives', 'family']","[22436, 2773]"," cherries, and other",cherries,fruit,"['fruits', 'fruit']","[22334, 11375]"
" cousins, and other",cousins,relative,"['relatives', 'family']","[22436, 2773]"," majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"
" mothers, and other",mothers,relative,"['relatives', 'family']","[22436, 2773]"," assault, and other",assault,crime,"['crimes', 'crime']","[18208, 10079]"
" grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[22436, 2773]"," elephants, and other",elephants,animal,['animals'],[8990]
" grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[22436, 2773]"," thunderstorms, and other",thunderstorms,weather,"['weather', 'natural']","[8854, 4997]"
" grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[22436, 2773]"," lacrosse, and other",lacrosse,sport,['sports'],[9425]
" fathers, and other",fathers,relative,"['relatives', 'family']","[22436, 2773]"," irides, and other",irides,flower,"['flowers', 'flowering']","[12656, 15762]"
" granddads, and other",granddads,relative,"['relatives', 'family']","[22436, 2773]"," monsoons, and other",monsoons,weather,"['weather', 'natural']","[8854, 4997]"
