Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
0,+,0+1=,1,187+68=,255,16,3192
1,+,0+11=,11,15+62=,77,806,2813
2,+,0+13=,13,0+244=,244,1032,13719
3,+,0+14=,14,37+74=,111,975,5037
4,+,0+15=,15,2+226=,228,868,14261
5,+,0+16=,16,83+25=,108,845,6640
6,+,0+17=,17,125+194=,319,1114,16874
7,+,0+18=,18,81+11=,92,972,6083
8,+,0+19=,19,262+151=,413,777,19288
9,+,0+20=,20,121+131=,252,508,12326
10,+,0+21=,21,255+111=,366,1691,18044
11,+,0+23=,23,274+245=,519,1419,21851
12,+,0+24=,24,140+92=,232,1187,12338
13,+,0+25=,25,217+162=,379,914,19867
14,+,0+26=,26,217+264=,481,1627,21235
15,+,0+27=,27,26+146=,172,1544,10861
16,+,0+28=,28,179+269=,448,1591,19956
17,+,0+29=,29,284+115=,399,1682,18572
18,+,0+30=,30,27+142=,169,966,11739
19,+,0+31=,31,110+186=,296,2148,17408
20,+,0+32=,32,120+243=,363,843,18199
21,+,0+33=,33,258+269=,527,1644,22369
22,+,0+34=,34,159+112=,271,1958,15828
23,+,0+35=,35,168+27=,195,1758,6280
24,+,0+36=,36,153+158=,311,1927,15134
25,+,0+37=,37,118+33=,151,1806,9690
26,+,0+38=,38,74+95=,169,1987,11739
27,+,0+39=,39,99+212=,311,2137,15134
28,+,0+40=,40,25+22=,47,1272,2618
29,+,0+41=,41,239+220=,459,3174,22094
30,+,0+42=,42,64+263=,327,2983,13817
31,+,0+43=,43,144+34=,178,3391,11256
32,+,0+44=,44,107+217=,324,2096,16723
33,+,0+45=,45,50+128=,178,1774,11256
34,+,0+46=,46,284+245=,529,2790,21618
35,+,0+47=,47,299+211=,510,2618,15633
36,+,0+48=,48,185+80=,265,2166,14374
37,+,0+49=,49,155+95=,250,2491,5154
38,+,0+50=,50,109+55=,164,1135,10513
39,+,0+51=,51,274+138=,412,3971,17574
40,+,0+52=,52,272+3=,275,4103,14417
41,+,0+53=,53,160+10=,170,4331,8258
42,+,0+54=,54,183+195=,378,4370,19166
43,+,0+55=,55,298+146=,444,2131,14870
44,+,0+56=,56,113+261=,374,3487,18265
45,+,0+57=,57,137+280=,417,3226,19561
46,+,0+58=,58,85+125=,210,2970,8848
47,+,0+59=,59,213+234=,447,2946,20800
48,+,0+60=,60,27+201=,228,1399,14261
49,+,0+61=,61,178+110=,288,5547,15287
50,+,0+62=,62,137+39=,176,5538,10967
51,+,0+63=,63,86+133=,219,5495,13762
52,+,0+64=,64,179+295=,474,1227,21358
53,+,0+65=,65,187+220=,407,2397,18501
54,+,0+66=,66,264+231=,495,2287,21038
55,+,0+67=,67,2+232=,234,3080,11727
56,+,0+68=,68,0+73=,73,2614,5958
57,+,0+69=,69,40+245=,285,3076,15935
58,+,0+70=,70,257+85=,342,2031,17590
59,+,0+71=,71,78+57=,135,6028,8878
60,+,0+72=,72,264+135=,399,5332,18572
61,+,0+73=,73,76+67=,143,5958,10290
62,+,0+74=,74,72+171=,243,5728,14052
63,+,0+75=,75,16+10=,26,2075,1627
64,+,0+76=,76,137+42=,179,4767,11128
65,+,0+77=,77,225+103=,328,2813,16884
66,+,0+78=,78,14+20=,34,2495,1958
67,+,0+79=,79,99+170=,269,4643,16955
68,+,0+80=,80,298+35=,333,1490,8765
69,+,0+81=,81,55+216=,271,5932,15828
70,+,0+83=,83,123+181=,304,6069,12166
71,+,0+84=,84,180+268=,448,5833,19956
72,+,0+86=,86,128+174=,302,4218,13121
73,+,0+87=,87,43+235=,278,4044,16949
74,+,0+88=,88,167+239=,406,2421,17264
75,+,0+89=,89,222+274=,496,4578,19447
76,+,0+90=,90,198+17=,215,1954,12112
77,+,0+92=,92,1+160=,161,6083,10718
78,+,0+93=,93,241+82=,323,6365,15726
79,+,0+94=,94,170+181=,351,6281,18113
80,+,0+95=,95,122+238=,360,2721,6843
81,+,0+97=,97,228+236=,464,3534,21033
82,+,0+98=,98,14+25=,39,3264,2137
83,+,0+103=,103,161+112=,273,6889,15451
84,+,0+105=,105,275+266=,541,6550,22058
85,+,0+107=,107,128+281=,409,7699,12378
86,+,0+108=,108,226+265=,491,6640,21824
87,+,0+109=,109,192+210=,402,7743,16496
88,+,0+111=,111,107+45=,152,5037,9756
89,+,0+112=,112,132+76=,208,7261,12171
90,+,0+113=,113,153+156=,309,8190,15500
91,+,0+115=,115,27+270=,297,7322,18163
92,+,0+117=,117,95+77=,172,8546,10861
93,+,0+118=,118,13+276=,289,8899,17212
94,+,0+120=,120,142+208=,350,4364,8652
95,+,0+128=,128,96+115=,211,4386,11483
96,+,0+131=,131,263+269=,532,9263,20711
97,+,0+132=,132,222+252=,474,9413,21358
98,+,0+133=,133,74+27=,101,9423,4645
99,+,0+134=,134,160+139=,299,9565,15531
100,+,0+136=,136,250+136=,386,9795,16481
101,+,0+137=,137,249+208=,457,10148,21675
102,+,0+138=,138,79+77=,156,10350,10132
103,+,0+139=,139,159+290=,449,10125,21125
104,+,0+140=,140,6+133=,139,6860,10125
105,+,0+141=,141,255+196=,451,9335,20360
106,+,0+142=,142,39+65=,104,10239,6849
107,+,0+143=,143,91+10=,101,10290,4645
108,+,0+144=,144,243+64=,307,8929,14777
109,+,0+145=,145,267+82=,349,9591,18634
110,+,0+146=,146,190+135=,325,10465,15257
111,+,0+147=,147,245+161=,406,10288,17264
112,+,0+148=,148,116+289=,405,10410,16408
113,+,0+149=,149,184+51=,235,10161,12422
114,+,0+150=,150,298+213=,511,3965,18625
115,+,0+151=,151,111+209=,320,9690,9588
116,+,0+152=,152,158+39=,197,9756,4468
117,+,0+153=,153,96+64=,160,9800,6330
118,+,0+154=,154,138+29=,167,10559,11515
119,+,0+155=,155,272+9=,281,9992,15282
120,+,0+156=,156,170+21=,191,10132,7529
121,+,0+157=,157,160+47=,207,10895,12060
122,+,0+158=,158,282+168=,450,11286,10617
123,+,0+161=,161,125+199=,324,10718,16723
