clean,corrupted,label,corrupted_label
" Mahmoud Fawzi, citizen of"," Henrik Zetterberg, citizen of",15212,24067
" Tapio Kantanen, citizen of"," Kinji Fukasaku, citizen of",37355,6457
" Carol Zhao, citizen of"," Paolo Martin, citizen of",7008,15704
" Nathuram Godse, citizen of"," Paul Duchesnay, citizen of",6890,9822
" Armin Hofmann, citizen of"," Raheem Shah, citizen of",30221,17076
" Irakli Alasania, citizen of"," Amanz Gressly, citizen of",16272,30221
" Magnus Carlsen, citizen of"," Alain Robert, citizen of",32603,9822
" Haseeb Ahsan, citizen of"," Ulrica Arfvidsson, citizen of",17076,24067
" Ritt Bjerregaard, citizen of"," F. S. Platou, citizen of",35440,32603
" Mohammad-Taqi Mesbah-Yazdi, citizen of"," Daniela Iraschko-Stolz, citizen of",10471,35998
" Marty Natalegawa, citizen of"," Narciso Campero, citizen of",24922,77710
" Marguerite Broquedis, citizen of"," Fumihiko Maki, citizen of",9822,6457
" Giovanni Pellielo, citizen of"," Mahmoud Fawzi, citizen of",15704,15212
" Irfan Habib, citizen of"," Facundo Bagnis, citizen of",6890,32164
" Fa Ngum, citizen of"," Mario Aerts, citizen of",96844,34061
" Nina van Pallandt, citizen of"," Nandan Nilekani, citizen of",35440,6890
" Yahya Petra of Kelantan, citizen of"," Leif Sylvester Petersen, citizen of",28796,35440
" Kenta Fukasaku, citizen of"," Sergej Kraigher, citizen of",6457,79317
" Ike Ekweremadu, citizen of"," Tewodros II, citizen of",29258,60457
" Francesco Calogero, citizen of"," Katerine Moreno, citizen of",15704,77710
" Orestis Laskos, citizen of"," Etsuko Inoue, citizen of",25431,6457
" Raheem Shah, citizen of"," Tomoko Kawase, citizen of",17076,6457
" Andrea Sartoretti, citizen of"," Ike Ekweremadu, citizen of",15704,29258
" Robert Malval, citizen of"," Manuel Uribe, citizen of",56290,12550
" Jaishankar, citizen of"," David Benyamine, citizen of",6890,9822
" Pierre Janssen, citizen of"," Rahul Dev Burman, citizen of",9822,6890
" Kim Myhr, citizen of"," Scott Brison, citizen of",32603,7008
" Kalraj Mishra, citizen of"," Henrik Zetterberg, citizen of",6890,24067
" Aleksejs Saramotins, citizen of"," Szymon Szymonowic, citizen of",79258,28702
" Mateo Gil, citizen of"," Mario Aerts, citizen of",18157,34061
" Chakrabongse Bhuvanadh, citizen of"," Mohammad-Taqi Mesbah-Yazdi, citizen of",30567,10471
" Carlos Meglia, citizen of"," Jens Evensen, citizen of",32164,32603
" Guy Deghy, citizen of"," Marshall Rothstein, citizen of",43876,7008
" Lars Paaske, citizen of"," Carlos Duarte Costa, citizen of",35440,16327
" Zeev Rechter, citizen of"," Gunnar Thoresen, citizen of",6921,32603
" Lars Halvor Jensen, citizen of"," Takeshi Urata, citizen of",35440,6457
" Edu Lobo, citizen of"," Ambar Roy, citizen of",16327,6890
" Takahiro Fujimoto, citizen of"," Andrea Sartoretti, citizen of",6457,15704
" Petros Voulgaris, citizen of"," Jithan Ramesh, citizen of",25431,6890
" Miguel Barbachano, citizen of"," Shadi Sadr, citizen of",12550,10471
" Jean Bobet, citizen of"," Manuel Carrasco, citizen of",9822,18157
" Francisco Goya, citizen of"," Veronica Lario, citizen of",18157,15704
" Hemlata, citizen of"," Wolfgang Pauli, citizen of",6890,35998
" Yasuyuki Kase, citizen of"," Goffredo Petrassi, citizen of",6457,15704
" Yoko Moriguchi, citizen of"," Ameen Sayani, citizen of",6457,6890
" Andris Piebalgs, citizen of"," Sven Wollter, citizen of",79258,24067
" Daniela Iraschko-Stolz, citizen of"," death of Ali Abdulhadi Mushaima, citizen of",35998,66739
" Jithan Ramesh, citizen of"," Bapsi Sidhwa, citizen of",6890,17076
" Matsukata Masayoshi, citizen of"," Irakli Alasania, citizen of",6457,16272
" Mahito Tsujimura, citizen of"," Ashim Ahluwalia, citizen of",6457,6890
" Mohammad Gharib, citizen of"," Kumiko Ogura, citizen of",10471,6457
" Mari Hamada, citizen of"," Bernardo Reyes, citizen of",6457,12550
" Julius Nwosu, citizen of"," Soamsawali, citizen of",29258,30567
" Kristy Sargeant, citizen of"," Tarak Ben Ammar, citizen of",7008,77935
" Pavol Demitra, citizen of"," Priyanandanan, citizen of",81785,6890
" Bernardo Houssay, citizen of"," Sergej Kraigher, citizen of",32164,79317
