clean,corrupted,clean_idx,corrupted_idx
The author that no senators liked has had,No author that no senators liked has had,1045,894
No author that no senators liked has had,The author that no senators liked has had,894,1045
No pilot that no consultants praised has shown,The pilot that no consultants praised has shown,894,1045
The pilot that no consultants praised has shown,No pilot that no consultants praised has shown,1045,894
The surgeon that no guards hated has known,No surgeon that no guards hated has known,1045,894
The surgeon that no guards hated has known,No surgeon that no guards hated has known,1045,894
The farmer that the clerks discussed has had,No farmer that no clerks discussed has had,1045,894
No farmer that no clerks discussed has had,The farmer that the clerks discussed has had,894,1045
No manager that no architects loved has completed,The manager that the architects loved has completed,894,1045
No manager that no architects loved has completed,The manager that the architects loved has completed,894,1045
The customer that the managers liked has spent,No customer that no managers liked has spent,1045,894
The customer that the managers liked has spent,No customer that no managers liked has spent,1045,894
No officer that no journalists praised has had,The officer that the journalists praised has had,894,1045
No officer that no journalists praised has had,The officer that the journalists praised has had,894,1045
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,894,1045
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,894,1045
No senator that no taxi drivers admired has passed,The senator that no taxi drivers admired has passed,894,1045
No senator that no taxi drivers admired has passed,The senator that no taxi drivers admired has passed,894,1045
The consultant that no secretaries loved has passed up,No consultant that no secretaries loved has passed up,1045,894
No consultant that no secretaries loved has passed up,The consultant that no secretaries loved has passed up,894,1045
The guard that the executives liked has seen,No guard that no executives liked has seen,1045,894
No guard that no executives liked has seen,The guard that the executives liked has seen,894,1045
The clerk that no authors praised has burned,No clerk that no authors praised has burned,1045,894
No clerk that no authors praised has burned,The clerk that no authors praised has burned,894,1045
The architect that no pilots hated has had,No architect that no pilots hated has had,1045,894
The architect that no pilots hated has had,No architect that no pilots hated has had,1045,894
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,1045,894
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,1045,894
No dancer that no farmers loved has broken,The dancer that no farmers loved has broken,894,1045
No dancer that no farmers loved has broken,The dancer that no farmers loved has broken,894,1045
No minister that no managers liked has missed,The minister that no managers liked has missed,894,1045
No minister that no managers liked has missed,The minister that no managers liked has missed,894,1045
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,894,1045
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,894,1045
No secretary that no officers hated has missed,The secretary that no officers hated has missed,894,1045
The secretary that no officers hated has missed,No secretary that no officers hated has missed,1045,894
The executive that no teachers knew has fired,No executive that no teachers knew has fired,1045,894
The executive that no teachers knew has fired,No executive that no teachers knew has fired,1045,894
The authors that the officer loved have read,No authors that no officer loved have read,1045,894
No authors that no officer loved have read,The authors that the officer loved have read,894,1045
The pilots that no teacher liked have landed,No pilots that no teacher liked have landed,1045,894
No pilots that no teacher liked have landed,The pilots that no teacher liked have landed,894,1045
The doctors that the senator praised have failed,No doctors that no senator praised have failed,1045,894
The doctors that the senator praised have failed,No doctors that no senator praised have failed,1045,894
The farmers that the consultant hated have planted,No farmers that no consultant hated have planted,1045,894
The farmers that the consultant hated have planted,No farmers that no consultant hated have planted,1045,894
No managers that no guard respected have had,The managers that the guard respected have had,894,1045
The managers that the guard respected have had,No managers that no guard respected have had,1045,894
The customers that no clerk loved have purchased,No customers that no clerk loved have purchased,1045,894
No customers that no clerk loved have purchased,The customers that no clerk loved have purchased,894,1045
The officers that no architect liked have arrested,No officers that no architect liked have arrested,1045,894
The officers that no architect liked have arrested,No officers that no architect liked have arrested,1045,894
No teachers that no athlete praised have failed,The teachers that the athlete praised have failed,894,1045
The teachers that the athlete praised have failed,No teachers that no athlete praised have failed,1045,894
The senators that no dancer hated have passed,No senators that no dancer hated have passed,1045,894
No senators that no dancer hated have passed,The senators that no dancer hated have passed,894,1045
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,894,1045
The consultants that no minister impressed have missed,No consultants that no minister impressed have missed,1045,894
The guards that no taxi driver loved have caught,No guards that no taxi driver loved have caught,1045,894
The guards that no taxi driver loved have caught,No guards that no taxi driver loved have caught,1045,894
The clerks that no secretary liked have burned,No clerks that no secretary liked have burned,1045,894
The clerks that no secretary liked have burned,No clerks that no secretary liked have burned,1045,894
The architects that the executive praised have passed,No architects that no executive praised have passed,1045,894
The architects that the executive praised have passed,No architects that no executive praised have passed,1045,894
The athletes that no pilot hated have broken,No athletes that no pilot hated have broken,1045,894
The athletes that no pilot hated have broken,No athletes that no pilot hated have broken,1045,894
No journalists that no surgeon contacted have broken,The journalists that the surgeon contacted have broken,894,1045
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,1045,894
The ministers that the farmer loved have advocated,No ministers that no farmer loved have advocated,1045,894
No ministers that no farmer loved have advocated,The ministers that the farmer loved have advocated,894,1045
No taxi drivers that no manager liked have crashed,The taxi drivers that no manager liked have crashed,894,1045
No taxi drivers that no manager liked have crashed,The taxi drivers that no manager liked have crashed,894,1045
No secretaries that no customer praised have missed,The secretaries that no customer praised have missed,894,1045
The secretaries that no customer praised have missed,No secretaries that no customer praised have missed,1045,894
The executives that the officer hated have refused,No executives that no officer hated have refused,1045,894
No executives that no officer hated have refused,The executives that the officer hated have refused,894,1045
