,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
46,"Then, Jonathan and Travis had a lot of fun at the store. Travis gave a basketball to","Then, Jonathan and Travis had a lot of fun at the store. Kristen gave a basketball to","Then, Jonathan and Travis had a lot of fun at the store. Jonathan gave a basketball to",23269,40710
971,"Then, William and Jose had a lot of fun at the store. Jose gave a bone to","Then, William and Jose had a lot of fun at the store. Emily gave a bone to","Then, William and Jose had a lot of fun at the store. William gave a bone to",12375,10860
472,"Then, Angela and Lindsay were working at the garden. Angela decided to give a necklace to","Then, Angela and Lindsay were working at the garden. Sarah decided to give a necklace to","Then, Angela and Lindsay were working at the garden. Lindsay decided to give a necklace to",62784,37143
850,"Then, Rebecca and Joseph went to the school. Joseph gave a snack to","Then, Rebecca and Joseph went to the school. Amy gave a snack to","Then, Rebecca and Joseph went to the school. Rebecca gave a snack to",44457,15115
528,"When Aaron and Patrick got a drink at the station, Aaron decided to give it to","When Aaron and Patrick got a drink at the station, Bryan decided to give it to","When Aaron and Patrick got a drink at the station, Patrick decided to give it to",19626,25673
961,"Then, Charles and Rebecca were thinking about going to the store. Charles wanted to give a drink to","Then, Charles and Rebecca were thinking about going to the store. Steven wanted to give a drink to","Then, Charles and Rebecca were thinking about going to the store. Rebecca wanted to give a drink to",44457,14927
424,"Then, Lindsay and Joshua were thinking about going to the store. Joshua wanted to give a basketball to","Then, Lindsay and Joshua were thinking about going to the store. Thomas wanted to give a basketball to","Then, Lindsay and Joshua were thinking about going to the store. Lindsay wanted to give a basketball to",62784,39492
598,"Then, Elizabeth and Rebecca had a long argument, and afterwards Rebecca said to","Then, Elizabeth and Rebecca had a long argument, and afterwards Crystal said to","Then, Elizabeth and Rebecca had a long argument, and afterwards Elizabeth said to",20731,44457
311,"When Joseph and Alicia got a computer at the hospital, Alicia decided to give it to","When Joseph and Alicia got a computer at the hospital, Paul decided to give it to","When Joseph and Alicia got a computer at the hospital, Joseph decided to give it to",15115,78902
638,"When Andrew and Jeremy got a computer at the station, Jeremy decided to give it to","When Andrew and Jeremy got a computer at the station, Rebecca decided to give it to","When Andrew and Jeremy got a computer at the station, Andrew decided to give it to",13615,27118
595,"Then, Sean and Justin were thinking about going to the garden. Justin wanted to give a kiss to","Then, Sean and Justin were thinking about going to the garden. Kimberly wanted to give a kiss to","Then, Sean and Justin were thinking about going to the garden. Sean wanted to give a kiss to",24995,22467
120,"Then, Richard and Ryan had a lot of fun at the house. Ryan gave a computer to","Then, Richard and Ryan had a lot of fun at the house. Amy gave a computer to","Then, Richard and Ryan had a lot of fun at the house. Richard gave a computer to",11867,13646
64,"After Andrea and Christina went to the hospital, Andrea gave a necklace to","After Andrea and Christina went to the hospital, Anthony gave a necklace to","After Andrea and Christina went to the hospital, Christina gave a necklace to",59671,40084
786,"Then, Joseph and Brandon had a long argument, and afterwards Joseph said to","Then, Joseph and Brandon had a long argument, and afterwards Mark said to","Then, Joseph and Brandon had a long argument, and afterwards Brandon said to",31766,15115
897,"After Kyle and Vanessa went to the garden, Vanessa gave a ring to","After Kyle and Vanessa went to the garden, Samantha gave a ring to","After Kyle and Vanessa went to the garden, Kyle gave a ring to",30259,70519
551,"Then, Brandon and Elizabeth had a lot of fun at the hospital. Brandon gave a basketball to","Then, Brandon and Elizabeth had a lot of fun at the hospital. Eric gave a basketball to","Then, Brandon and Elizabeth had a lot of fun at the hospital. Elizabeth gave a basketball to",20731,31766
990,"Then, Jonathan and Nicole were thinking about going to the office. Jonathan wanted to give a necklace to","Then, Jonathan and Nicole were thinking about going to the office. Kyle wanted to give a necklace to","Then, Jonathan and Nicole were thinking about going to the office. Nicole wanted to give a necklace to",44030,23269
613,"After Sean and Travis went to the office, Sean gave a basketball to","After Sean and Travis went to the office, Kevin gave a basketball to","After Sean and Travis went to the office, Travis gave a basketball to",40710,24995
530,"Then, Alexander and Timothy had a lot of fun at the school. Alexander gave a kiss to","Then, Alexander and Timothy had a lot of fun at the school. Kevin gave a kiss to","Then, Alexander and Timothy had a lot of fun at the school. Timothy gave a kiss to",44468,20042
671,"After Amber and Michael went to the restaurant, Michael gave a basketball to","After Amber and Michael went to the restaurant, Daniel gave a basketball to","After Amber and Michael went to the restaurant, Amber gave a basketball to",46664,7937
686,"Then, Lindsay and Sarah had a long argument, and afterwards Lindsay said to","Then, Lindsay and Sarah had a long argument, and afterwards Daniel said to","Then, Lindsay and Sarah had a long argument, and afterwards Sarah said to",20445,62784
673,"After Erica and Bryan went to the garden, Bryan gave a snack to","After Erica and Bryan went to the garden, Elizabeth gave a snack to","After Erica and Bryan went to the garden, Erica gave a snack to",91835,36353
263,"Then, Erin and Ryan went to the hospital. Ryan gave a kiss to","Then, Erin and Ryan went to the hospital. Dustin gave a kiss to","Then, Erin and Ryan went to the hospital. Erin gave a kiss to",55814,13646
495,"Then, Kevin and Katherine had a long argument, and afterwards Katherine said to","Then, Kevin and Katherine had a long argument, and afterwards Daniel said to","Then, Kevin and Katherine had a long argument, and afterwards Kevin said to",16364,61326
126,"Then, Jason and Elizabeth had a lot of fun at the office. Jason gave a necklace to","Then, Jason and Elizabeth had a lot of fun at the office. Jeffrey gave a necklace to","Then, Jason and Elizabeth had a lot of fun at the office. Elizabeth gave a necklace to",20731,18477
287,"After Travis and Aaron went to the house, Travis gave a ring to","After Travis and Aaron went to the house, Lindsey gave a ring to","After Travis and Aaron went to the house, Aaron gave a ring to",25673,40710
513,"Then, Kimberly and Anthony went to the school. Kimberly gave a computer to","Then, Kimberly and Anthony went to the school. Ashley gave a computer to","Then, Kimberly and Anthony went to the school. Anthony gave a computer to",20696,85653
125,"When Ryan and Stephanie got a ring at the garden, Stephanie decided to give it to","When Ryan and Stephanie got a ring at the garden, Scott decided to give it to","When Ryan and Stephanie got a ring at the garden, Ryan decided to give it to",13646,48143
257,"Then, Lisa and Stephen went to the house. Lisa gave a basketball to","Then, Lisa and Stephen went to the house. James gave a basketball to","Then, Lisa and Stephen went to the house. Stephen gave a basketball to",18095,28556
255,"Then, Brandon and Cody went to the hospital. Brandon gave a bone to","Then, Brandon and Cody went to the hospital. Joseph gave a bone to","Then, Brandon and Cody went to the hospital. Cody gave a bone to",57282,31766
63,"Then, Michelle and Vanessa had a long argument, and afterwards Vanessa said to","Then, Michelle and Vanessa had a long argument, and afterwards Angela said to","Then, Michelle and Vanessa had a long argument, and afterwards Michelle said to",32026,70519
269,"Then, Kyle and Jacob had a long argument, and afterwards Kyle said to","Then, Kyle and Jacob had a long argument, and afterwards Andrea said to","Then, Kyle and Jacob had a long argument, and afterwards Jacob said to",24521,30259
358,"When Scott and Katherine got a computer at the office, Scott decided to give it to","When Scott and Katherine got a computer at the office, Jonathan decided to give it to","When Scott and Katherine got a computer at the office, Katherine decided to give it to",61326,9815
41,"When Lauren and Steven got a kiss at the hospital, Lauren decided to give it to","When Lauren and Steven got a kiss at the hospital, Sean decided to give it to","When Lauren and Steven got a kiss at the hospital, Steven decided to give it to",23644,42360
45,"Then, James and Patrick had a lot of fun at the office. Patrick gave a bone to","Then, James and Patrick had a lot of fun at the office. Charles gave a bone to","Then, James and Patrick had a lot of fun at the office. James gave a bone to",7801,19626
994,"When Allison and Dustin got a drink at the store, Dustin decided to give it to","When Allison and Dustin got a drink at the store, Jose decided to give it to","When Allison and Dustin got a drink at the store, Allison decided to give it to",62408,78318
648,"When Steven and William got a basketball at the office, William decided to give it to","When Steven and William got a basketball at the office, Christina decided to give it to","When Steven and William got a basketball at the office, Steven decided to give it to",23644,12375
614,"After Jesse and Joshua went to the station, Joshua gave a kiss to","After Jesse and Joshua went to the station, Thomas gave a kiss to","After Jesse and Joshua went to the station, Jesse gave a kiss to",39171,39492
390,"Then, Kevin and Daniel had a long argument, and afterwards Daniel said to","Then, Kevin and Daniel had a long argument, and afterwards Jennifer said to","Then, Kevin and Daniel had a long argument, and afterwards Kevin said to",16364,15118
290,"Then, Megan and Benjamin went to the garden. Megan gave a computer to","Then, Megan and Benjamin went to the garden. Bradley gave a computer to","Then, Megan and Benjamin went to the garden. Benjamin gave a computer to",29311,54529
799,"Then, Charles and Emily had a long argument, and afterwards Charles said to","Then, Charles and Emily had a long argument, and afterwards Lindsay said to","Then, Charles and Emily had a long argument, and afterwards Emily said to",34166,14927
806,"Then, Tiffany and Bradley went to the garden. Tiffany gave a basketball to","Then, Tiffany and Bradley went to the garden. Richard gave a basketball to","Then, Tiffany and Bradley went to the garden. Bradley gave a basketball to",36448,67473
401,"Then, Justin and Jeremy were thinking about going to the house. Jeremy wanted to give a kiss to","Then, Justin and Jeremy were thinking about going to the house. Scott wanted to give a kiss to","Then, Justin and Jeremy were thinking about going to the house. Justin wanted to give a kiss to",22467,27118
159,"After Angela and Tyler went to the store, Angela gave a computer to","After Angela and Tyler went to the store, Bryan gave a computer to","After Angela and Tyler went to the store, Tyler gave a computer to",31220,37143
43,"When Patrick and Kimberly got a snack at the hospital, Patrick decided to give it to","When Patrick and Kimberly got a snack at the hospital, James decided to give it to","When Patrick and Kimberly got a snack at the hospital, Kimberly decided to give it to",85653,19626
839,"Then, Samuel and Dustin had a long argument, and afterwards Dustin said to","Then, Samuel and Dustin had a long argument, and afterwards Lauren said to","Then, Samuel and Dustin had a long argument, and afterwards Samuel said to",31907,78318
392,"When Justin and Stephen got a kiss at the school, Justin decided to give it to","When Justin and Stephen got a kiss at the school, Allison decided to give it to","When Justin and Stephen got a kiss at the school, Stephen decided to give it to",18095,22467
