singular,plural
utetornity,utetornities
fithory,fithories
favioty,favioties
utmesition,utmesitions
robiu,robius
cunwre,cunwres
irpharity,irpharities
somant,somants
congarn,congarns
monio,monios
mattext,mattexts
pran,prans
vowse,vowses
memion,memions
proment,proments
trale,trales
urner,urners
vapux,vapuxes
efforn,efforns
presisate,presisates
flomity,flomities
purpint,purpints
collift,collifts
revotian,revotians
trult,trults
beftness,beftnesses
sirtor,sirtors
reveak,reveaks
panerdment,panerdments
genter,genters
taquer,taquers
hount,hounts
wiek,wieks
prirk,prirks
rarution,rarutions
awkess,awkesses
erant,erants
swess,swesses
spead,speads
moque,moques
trake,trakes
fadle,fadles
afterceid,afterceids
hoad,hoads
purpire,purpires
rainlay,rainlays
uscicer,uscicers
agriecant,agriecants
fran,frans
gand,gands
johm,johms
lelily,lelilies
bunegot,bunegots
plame,plames
altistion,altistions
cpale,cpales
cosior,cosiors
sevucation,sevucations
pemlic,pemlics
behafteur,behafteurs
shyp,shyps
ald,alds
linc,lincs
racution,racutions
irplarity,irplarities
houd,houds
densussion,densussions
bupbet,bupbets
matteze,mattezes
rasy,rasies
reveam,reveams
machate,machates
fobe,fobes
mosedent,mosedents
sunety,suneties
tratebort,trateborts
pupeup,pupeups
copior,copiors
margioment,margioments
cacy,cacies
corlomity,corlomities
sarny,sarnies
puction,puctions
muction,muctions
behaftear,behaftears
skesteen,skesteens
flooker,flookers
liscocy,liscocies
setucation,setucations
mea,meas
forl,forls
dengussion,dengussions
upe,upes
chelent,chelents
paneshment,paneshments
cedy,cedies
tafy,tafies
stass,stasses
gluss,glusses
uffige,uffiges
codior,codiors
etastion,etastions
peabon,peabons
sonter,sonters
eant,eants
fobbital,fobbitals
pame,pames
mecion,mecions
hean,heans
constark,constarks
netfold,netfolds
fromity,fromities
lutore,lutores
sufress,sufresses
delcerence,delcerences
staze,stazes
stype,stypes
vea,veas
manhet,manhets
falp,falps
skestien,skestiens
foom,fooms
accuise,accuises
stavein,staveins
sabply,sabplies
utetorvity,utetorvities
commessee,commessees
utetormity,utetormities
pubeup,pubeups
utsesition,utsesitions
sivement,sivements
premress,premresses
issif,issifs
accuine,accuines
holet,holets
secucation,secucations
capy,capies
surter,surters
serning,sernings
langonse,langonses
plape,plapes
pangy,pangies
amiene,amienes
aff,affs
constyl,constyls
speet,speets
imporn,imporns
wowst,wowsts
scanter,scanters
lism,lisms
caloor,caloors
idge,idges
houng,houngs
ceandy,ceandies
soo,soos
peyber,peybers
golan,golans
cordinsion,cordinsions
camy,camies
pever,pevers
dystew,dystews
grorde,grordes
sictuse,sictuses
ravution,ravutions
vipsion,vipsions
coakle,coakles
bulbet,bulbets
streed,streeds
rubeup,rubeups
deplie,deplies
simage,simages
bengsilogy,bengsilogies
fasp,fasps
sulpty,sulpties
exadsha,exadshas
aud,auds
doler,dolers
pasy,pasies
boople,booples
fillure,fillures
sedel,sedels
whock,whocks
soule,soules
precerry,precerries
cource,cources
queep,queeps
clalt,clalts
cead,ceads
ammeal,ammeals
myntem,myntems
uffime,uffimes
stasp,stasps
groress,groresses
casy,casies
unker,unkers
fighure,fighures
virefision,virefisions
stomicion,stomicions
steb,stebs
fayure,fayures
prosfess,prosfesses
liscomy,liscomies
kimp,kimps
prodkess,prodkesses
sunayer,sunayers
meriun,meriuns
strekked,strekkeds
dowage,dowages
vorit,vorits
turetion,turetions
stant,stants
sodd,sodds
natone,natones
awress,awresses
pimer,pimers
swood,swoods
esilocy,esilocies
urper,urpers
heafed,heafeds
catoor,catoors
stoky,stokies
unger,ungers
uffile,uffiles
dunchter,dunchters
treaple,treaples
vear,vears
sonio,sonios
exglinge,exglinges
ocotion,ocotions
anc,ancs
stubant,stubants
cottege,cotteges
cateur,cateurs
corroter,corroters
noswork,nosworks
bedbet,bedbets
alsyment,alsyments
helily,helilies
dober,dobers
nedwold,nedwolds
werk,werks
polel,polels
citter,citters
soller,sollers
prinnisla,prinnislas
surfem,surfems
ahl,ahls
pakerence,pakerences
asient,asients
rudic,rudics
camitit,camitits
hurse,hurses
nade,nades
fagioty,fagioties
ansy,ansies
mafed,mafeds
pover,povers
yeam,yeams
purpird,purpirds
speece,speeces
mawed,maweds
lind,linds
sodgwase,sodgwases
rankray,rankrays
arl,arls
