clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one utetornity. Now there are two utetorn","First, there were two utetornities. Now there is one utetorn",1385,488,utetornity,utetornities,0
"First, there were two utetornities. Now there is one utetorn","First, there was one utetornity. Now there are two utetorn",488,1385,utetornity,utetornities,1
"First, there was one fithory. Now there are two fith","First, there were two fithories. Now there is one fith",2490,683,fithory,fithories,0
"First, there were two fithories. Now there is one fith","First, there was one fithory. Now there are two fith",683,2490,fithory,fithories,1
"First, there was one utmesition. Now there are two utmes","First, there were two utmesitions. Now there is one utmes",6055,684,utmesition,utmesitions,0
"First, there were two utmesitions. Now there is one utmes","First, there was one utmesition. Now there are two utmes",684,6055,utmesition,utmesitions,1
"First, there was one robiu. Now there are two robi","First, there were two robius. Now there is one robi",355,84,robiu,robius,0
"First, there were two robius. Now there is one robi","First, there was one robiu. Now there are two robi",84,355,robiu,robius,1
"First, there was one cunwre. Now there are two cunw","First, there were two cunwres. Now there is one cunw",417,265,cunwre,cunwres,0
"First, there were two cunwres. Now there is one cunw","First, there was one cunwre. Now there are two cunw",265,417,cunwre,cunwres,1
"First, there was one somant. Now there are two som","First, there were two somants. Now there is one som",1821,519,somant,somants,0
"First, there were two somants. Now there is one som","First, there was one somant. Now there are two som",519,1821,somant,somants,1
"First, there was one monio. Now there are two mon","First, there were two monios. Now there is one mon",3614,822,monio,monios,0
"First, there were two monios. Now there is one mon","First, there was one monio. Now there are two mon",822,3614,monio,monios,1
"First, there was one mattext. Now there are two mat","First, there were two mattexts. Now there is one mat",87042,1342,mattext,mattexts,0
"First, there were two mattexts. Now there is one mat","First, there was one mattext. Now there are two mat",1342,87042,mattext,mattexts,1
"First, there was one pran. Now there are two pr","First, there were two prans. Now there is one pr",598,276,pran,prans,0
"First, there were two prans. Now there is one pr","First, there was one pran. Now there are two pr",276,598,pran,prans,1
"First, there was one memion. Now there are two mem","First, there were two memions. Now there is one mem",919,290,memion,memions,0
"First, there were two memions. Now there is one mem","First, there was one memion. Now there are two mem",290,919,memion,memions,1
"First, there was one proment. Now there are two prom","First, there were two proments. Now there is one prom",812,306,proment,proments,0
"First, there were two proments. Now there is one prom","First, there was one proment. Now there are two prom",306,812,proment,proments,1
"First, there was one trale. Now there are two tr","First, there were two trales. Now there is one tr",3916,1604,trale,trales,0
"First, there were two trales. Now there is one tr","First, there was one trale. Now there are two tr",1604,3916,trale,trales,1
"First, there was one urner. Now there are two urn","First, there were two urners. Now there is one urn",388,261,urner,urners,0
"First, there were two urners. Now there is one urn","First, there was one urner. Now there are two urn",261,388,urner,urners,1
"First, there was one efforn. Now there are two eff","First, there were two efforns. Now there is one eff",44129,1540,efforn,efforns,0
"First, there were two efforns. Now there is one eff","First, there was one efforn. Now there are two eff",1540,44129,efforn,efforns,1
"First, there was one presisate. Now there are two presis","First, there were two presisates. Now there is one presis",988,349,presisate,presisates,0
"First, there were two presisates. Now there is one presis","First, there was one presisate. Now there are two presis",349,988,presisate,presisates,1
"First, there was one flomity. Now there are two flom","First, there were two flomities. Now there is one flom",1385,488,flomity,flomities,0
"First, there were two flomities. Now there is one flom","First, there was one flomity. Now there are two flom",488,1385,flomity,flomities,1
"First, there was one purpint. Now there are two purp","First, there were two purpints. Now there is one purp",21719,396,purpint,purpints,0
"First, there were two purpints. Now there is one purp","First, there was one purpint. Now there are two purp",396,21719,purpint,purpints,1
"First, there was one revotian. Now there are two revot","First, there were two revotians. Now there is one revot",5493,1122,revotian,revotians,0
"First, there were two revotians. Now there is one revot","First, there was one revotian. Now there are two revot",1122,5493,revotian,revotians,1
"First, there was one trult. Now there are two tr","First, there were two trults. Now there is one tr",122761,495,trult,trults,0
"First, there were two trults. Now there is one tr","First, there was one trult. Now there are two tr",495,122761,trult,trults,1
"First, there was one sirtor. Now there are two sirt","First, there were two sirtors. Now there is one sirt",1105,269,sirtor,sirtors,0
"First, there were two sirtors. Now there is one sirt","First, there was one sirtor. Now there are two sirt",269,1105,sirtor,sirtors,1
"First, there was one reveak. Now there are two reve","First, there were two reveaks. Now there is one reve",10011,587,reveak,reveaks,0
"First, there were two reveaks. Now there is one reve","First, there was one reveak. Now there are two reve",587,10011,reveak,reveaks,1
"First, there was one panerdment. Now there are two panerd","First, there were two panerdments. Now there is one panerd",1392,479,panerdment,panerdments,0
"First, there were two panerdments. Now there is one panerd","First, there was one panerdment. Now there are two panerd",479,1392,panerdment,panerdments,1
"First, there was one wiek. Now there are two wie","First, there were two wieks. Now there is one wie",2857,74,wiek,wieks,0
"First, there were two wieks. Now there is one wie","First, there was one wiek. Now there are two wie",74,2857,wiek,wieks,1
"First, there was one rarution. Now there are two rar","First, there were two rarutions. Now there is one rar",4065,1516,rarution,rarutions,0
"First, there were two rarutions. Now there is one rar","First, there was one rarution. Now there are two rar",1516,4065,rarution,rarutions,1
"First, there was one awkess. Now there are two awk","First, there were two awkesses. Now there is one awk",65970,434,awkess,awkesses,0
"First, there were two awkesses. Now there is one awk","First, there was one awkess. Now there are two awk",434,65970,awkess,awkesses,1
"First, there was one erant. Now there are two er","First, there were two erants. Now there is one er",1821,519,erant,erants,0
"First, there were two erants. Now there is one er","First, there was one erant. Now there are two er",519,1821,erant,erants,1
"First, there was one swess. Now there are two sw","First, there were two swesses. Now there is one sw",65970,434,swess,swesses,0
"First, there were two swesses. Now there is one sw","First, there was one swess. Now there are two sw",434,65970,swess,swesses,1
"First, there was one spead. Now there are two spe","First, there were two speads. Now there is one spe",7819,329,spead,speads,0
"First, there were two speads. Now there is one spe","First, there was one spead. Now there are two spe",329,7819,spead,speads,1
"First, there was one moque. Now there are two mo","First, there were two moques. Now there is one mo",14295,593,moque,moques,0
"First, there were two moques. Now there is one mo","First, there was one moque. Now there are two mo",593,14295,moque,moques,1
"First, there was one trake. Now there are two tr","First, there were two trakes. Now there is one tr",2094,731,trake,trakes,0
"First, there were two trakes. Now there is one tr","First, there was one trake. Now there are two tr",731,2094,trake,trakes,1
"First, there was one afterceid. Now there are two afterce","First, there were two afterceids. Now there is one afterce",3447,307,afterceid,afterceids,0
"First, there were two afterceids. Now there is one afterce","First, there was one afterceid. Now there are two afterce",307,3447,afterceid,afterceids,1
"First, there was one purpire. Now there are two pur","First, there were two purpires. Now there is one pur",19505,23772,purpire,purpires,0
"First, there were two purpires. Now there is one pur","First, there was one purpire. Now there are two pur",23772,19505,purpire,purpires,1
"First, there was one rainlay. Now there are two rain","First, there were two rainlays. Now there is one rain",64459,6789,rainlay,rainlays,0
"First, there were two rainlays. Now there is one rain","First, there was one rainlay. Now there are two rain",6789,64459,rainlay,rainlays,1
"First, there was one uscicer. Now there are two usc","First, there were two uscicers. Now there is one usc",36080,13296,uscicer,uscicers,0
"First, there were two uscicers. Now there is one usc","First, there was one uscicer. Now there are two usc",13296,36080,uscicer,uscicers,1
"First, there was one agriecant. Now there are two agriec","First, there were two agriecants. Now there is one agriec",1821,519,agriecant,agriecants,0
"First, there were two agriecants. Now there is one agriec","First, there was one agriecant. Now there are two agriec",519,1821,agriecant,agriecants,1
"First, there was one gand. Now there are two g","First, there were two gands. Now there is one g",2914,438,gand,gands,0
