clean,corrupted,clean_idx,corrupted_idx
The author that the senators liked has had,No author that no senators liked has had,1509,1475
No author that no senators liked has had,The author that the senators liked has had,1475,1509
The pilot that the consultants praised has shown,No pilot that no consultants praised has shown,1509,1475
The pilot that the consultants praised has shown,No pilot that no consultants praised has shown,1509,1475
The surgeon that the guards hated has known,No surgeon that no guards hated has known,1509,1475
The surgeon that the guards hated has known,No surgeon that no guards hated has known,1509,1475
The farmer that the clerks discussed has had,No farmer that no clerks discussed has had,1509,1475
The farmer that the clerks discussed has had,No farmer that no clerks discussed has had,1509,1475
The manager that no architects loved has completed,No manager that no architects loved has completed,1509,1475
The manager that no architects loved has completed,No manager that no architects loved has completed,1509,1475
No customer that no managers liked has spent,The customer that the managers liked has spent,1475,1509
The customer that the managers liked has spent,No customer that no managers liked has spent,1509,1475
The officer that the journalists praised has had,No officer that no journalists praised has had,1509,1475
The officer that the journalists praised has had,No officer that no journalists praised has had,1509,1475
The teacher that no ministers hated has failed,No teacher that no ministers hated has failed,1509,1475
No teacher that no ministers hated has failed,The teacher that no ministers hated has failed,1475,1509
No senator that no taxi drivers admired has passed,The senator that no taxi drivers admired has passed,1475,1509
The senator that no taxi drivers admired has passed,No senator that no taxi drivers admired has passed,1509,1475
No consultant that no secretaries loved has passed up,The consultant that no secretaries loved has passed up,1475,1509
No consultant that no secretaries loved has passed up,The consultant that no secretaries loved has passed up,1475,1509
The guard that no executives liked has seen,No guard that no executives liked has seen,1509,1475
No guard that no executives liked has seen,The guard that no executives liked has seen,1475,1509
The clerk that no authors praised has burned,No clerk that no authors praised has burned,1509,1475
No clerk that no authors praised has burned,The clerk that no authors praised has burned,1475,1509
No architect that no pilots hated has had,The architect that no pilots hated has had,1475,1509
The architect that no pilots hated has had,No architect that no pilots hated has had,1509,1475
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,1509,1475
The athlete that no doctors helped has broken,No athlete that no doctors helped has broken,1509,1475
The dancer that the farmers loved has broken,No dancer that no farmers loved has broken,1509,1475
The dancer that the farmers loved has broken,No dancer that no farmers loved has broken,1509,1475
No minister that no managers liked has missed,The minister that no managers liked has missed,1475,1509
No minister that no managers liked has missed,The minister that no managers liked has missed,1475,1509
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,1475,1509
No taxi driver that no customers praised has crashed,The taxi driver that no customers praised has crashed,1475,1509
The secretary that the officers hated has missed,No secretary that no officers hated has missed,1509,1475
No secretary that no officers hated has missed,The secretary that the officers hated has missed,1475,1509
The executive that the teachers knew has fired,No executive that no teachers knew has fired,1509,1475
No executive that no teachers knew has fired,The executive that the teachers knew has fired,1475,1509
The authors that the officer loved have read,No authors that no officer loved have read,1509,1475
No authors that no officer loved have read,The authors that the officer loved have read,1475,1509
The pilots that the teacher liked have landed,No pilots that no teacher liked have landed,1509,1475
No pilots that no teacher liked have landed,The pilots that the teacher liked have landed,1475,1509
The doctors that no senator praised have failed,No doctors that no senator praised have failed,1509,1475
No doctors that no senator praised have failed,The doctors that no senator praised have failed,1475,1509
The farmers that no consultant hated have planted,No farmers that no consultant hated have planted,1509,1475
The farmers that no consultant hated have planted,No farmers that no consultant hated have planted,1509,1475
No managers that no guard respected have had,The managers that the guard respected have had,1475,1509
The managers that the guard respected have had,No managers that no guard respected have had,1509,1475
The customers that no clerk loved have purchased,No customers that no clerk loved have purchased,1509,1475
The customers that no clerk loved have purchased,No customers that no clerk loved have purchased,1509,1475
No officers that no architect liked have arrested,The officers that no architect liked have arrested,1475,1509
No officers that no architect liked have arrested,The officers that no architect liked have arrested,1475,1509
No teachers that no athlete praised have failed,The teachers that the athlete praised have failed,1475,1509
The teachers that the athlete praised have failed,No teachers that no athlete praised have failed,1509,1475
No senators that no dancer hated have passed,The senators that the dancer hated have passed,1475,1509
No senators that no dancer hated have passed,The senators that the dancer hated have passed,1475,1509
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,1475,1509
The consultants that no minister impressed have missed,No consultants that no minister impressed have missed,1509,1475
No guards that no taxi driver loved have caught,The guards that no taxi driver loved have caught,1475,1509
No guards that no taxi driver loved have caught,The guards that no taxi driver loved have caught,1475,1509
The clerks that the secretary liked have burned,No clerks that no secretary liked have burned,1509,1475
The clerks that the secretary liked have burned,No clerks that no secretary liked have burned,1509,1475
The architects that the executive praised have passed,No architects that no executive praised have passed,1509,1475
No architects that no executive praised have passed,The architects that the executive praised have passed,1475,1509
No athletes that no pilot hated have broken,The athletes that no pilot hated have broken,1475,1509
The athletes that no pilot hated have broken,No athletes that no pilot hated have broken,1509,1475
No journalists that no surgeon contacted have broken,The journalists that no surgeon contacted have broken,1475,1509
The journalists that no surgeon contacted have broken,No journalists that no surgeon contacted have broken,1509,1475
No ministers that no farmer loved have advocated,The ministers that no farmer loved have advocated,1475,1509
No ministers that no farmer loved have advocated,The ministers that no farmer loved have advocated,1475,1509
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,1475,1509
The taxi drivers that the manager liked have crashed,No taxi drivers that no manager liked have crashed,1509,1475
The secretaries that the customer praised have missed,No secretaries that no customer praised have missed,1509,1475
The secretaries that the customer praised have missed,No secretaries that no customer praised have missed,1509,1475
No executives that no officer hated have refused,The executives that the officer hated have refused,1475,1509
The executives that the officer hated have refused,No executives that no officer hated have refused,1509,1475
