clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Afghanistan, whose capital,",Kabul,Afghanistan,611," Italy, whose capital,",Rome,Italy,12300
" Albania, whose capital,",Tirana,Albania,48669," Luxembourg, whose capital,",Luxembourg,Luxembourg,44133
" Algeria, whose capital,",Algiers,Algeria,1219," Sierra Leone, whose capital,",Freetown,Sierra Leone,401
" Andorra, whose capital,",Andorra la Vella,Andorra,1244," Mozambique, whose capital,",Maputo,Mozambique,12968
" Angola, whose capital,",Luanda,Angola,7511," Mali, whose capital,",Bamako,Mali,378
" Antigua and Barbuda, whose capital,",Saint John's,Antigua and Barbuda,11877," Bosnia and Herzegovina, whose capital,",Sarajevo,Bosnia and Herzegovina,9997
" Argentina, whose capital,",Buenos Aires,Argentina,46287," Canada, whose capital,",Ottawa,Canada,29539
" Armenia, whose capital,",Yerevan,Armenia,714," Fiji, whose capital,",Suva,Fiji,4137
" Australia, whose capital,",Canberra,Australia,2615," India, whose capital,",New Delhi,India,1457
" Austria, whose capital,",Vienna,Austria,26229," Malaysia, whose capital,",Kuala Lumpur,Malaysia,611
" Azerbaijan, whose capital,",Baku,Azerbaijan,378," Lithuania, whose capital,",Vilnius,Lithuania,40936
" Bahamas, whose capital,",Nassau,Bahamas,49905," South Sudan, whose capital,",Juba,South Sudan,500
" Bahrain, whose capital,",Manama,Bahrain,3083," Benin, whose capital,",Porto Novo,Benin,6162
" Bangladesh, whose capital,",Dhaka,Bangladesh,37287," Congo, whose capital,",Brazzaville,Congo,12963
" Barbados, whose capital,",Bridgetown,Barbados,2652," Sierra Leone, whose capital,",Freetown,Sierra Leone,401
" Belarus, whose capital,",Minsk,Belarus,353," Latvia, whose capital,",Riga,Latvia,416
" Belgium, whose capital,",Brussels,Belgium,30167," Morocco, whose capital,",Rabat,Morocco,21385
" Belize, whose capital,",Belmopan,Belize,6512," El Salvador, whose capital,",San Salvador,El Salvador,5003
" Benin, whose capital,",Porto Novo,Benin,6162," New Zealand, whose capital,",Wellington,New Zealand,42337
" Bhutan, whose capital,",Thimphu,Bhutan,596," Cape Verde, whose capital,",Praia,Cape Verde,28340
" Bolivia, whose capital,",La Paz,Bolivia,3905," Oman, whose capital,",Muscat,Oman,4878
" Bosnia and Herzegovina, whose capital,",Sarajevo,Bosnia and Herzegovina,9997," Antigua and Barbuda, whose capital,",Saint John's,Antigua and Barbuda,11877
" Botswana, whose capital,",Gaborone,Botswana,443," Papua New Guinea, whose capital,",Port Moresby,Papua New Guinea,6162
" Brazil, whose capital,",Brasilia,Brazil,31574," Nepal, whose capital,",Kathmandu,Nepal,23843
" Brunei, whose capital,",Bandar Seri Begawan,Brunei,16804," Mauritius, whose capital,",Port Louis,Mauritius,6162
" Bulgaria, whose capital,",Sofia,Bulgaria,36104," Croatia, whose capital,",Zagreb,Croatia,49524
" Burkina Faso, whose capital,",Ouagadougou,Burkina Faso,473," Papua New Guinea, whose capital,",Port Moresby,Papua New Guinea,6162
" Burundi, whose capital,",Gitega,Burundi,443," Equatorial Guinea, whose capital,",Malabo,Equatorial Guinea,5979
" Cambodia, whose capital,",Phnom Penh,Cambodia,1777," Italy, whose capital,",Rome,Italy,12300
" Cameroon, whose capital,",Yaounde,Cameroon,36523," Micronesia, whose capital,",Palikir,Micronesia,5226
" Canada, whose capital,",Ottawa,Canada,29539," Qatar, whose capital,",Doha,Qatar,399
" Cape Verde, whose capital,",Praia,Cape Verde,28340," Eritrea, whose capital,",Asmara,Eritrea,1284
" Central African Republic, whose capital,",Bangui,Central African Republic,378," Tuvalu, whose capital,",Funafuti,Tuvalu,15955
" Chad, whose capital,",N'Djamena,Chad,427," Tanzania, whose capital,",Dodoma,Tanzania,30354
" Chile, whose capital,",Santiago,Chile,38436," Qatar, whose capital,",Doha,Qatar,399
" China, whose capital,",Beijing,China,18496," Croatia, whose capital,",Zagreb,Croatia,49524
" Colombia, whose capital,",Bogota,Colombia,27737," Nigeria, whose capital,",Abuja,Nigeria,26957
" Comoros, whose capital,",Moroni,Comoros,4922," Turkmenistan, whose capital,",Ashgabat,Turkmenistan,12521
" Democratic Republic of the Congo, whose capital,",Kinshasa,Democratic Republic of the Congo,611," Kyrgyzstan, whose capital,",Bishkek,Kyrgyzstan,378
" Congo, whose capital,",Brazzaville,Congo,12963," Uganda, whose capital,",Kampala,Uganda,46882
" Costa Rica, whose capital,",San Jose,Costa Rica,5003," Togo, whose capital,",Lome,Togo,418
" Croatia, whose capital,",Zagreb,Croatia,49524," Australia, whose capital,",Canberra,Australia,2615
" Cuba, whose capital,",Havana,Cuba,32977," Bangladesh, whose capital,",Dhaka,Bangladesh,37287
" Cyprus, whose capital,",Nicosia,Cyprus,12951," Austria, whose capital,",Vienna,Austria,26229
" Czech Republic, whose capital,",Prague,Czech Republic,41577," Tunisia, whose capital,",Tunis,Tunisia,27664
" Denmark, whose capital,",Copenhagen,Denmark,40892," UAE, whose capital,",Abu Dhabi,UAE,26957
" Djibouti, whose capital,",Djibouti,Djibouti,43050," Madagascar, whose capital,",Antananarivo,Madagascar,9422
" Dominica, whose capital,",Roseau,Dominica,12447," Solomon Islands, whose capital,",Honiara,Solomon Islands,10916
" Dominican Republic, whose capital,",Santo Domingo,Dominican Republic,322," Mali, whose capital,",Bamako,Mali,378
" East Timor, whose capital,",Dili,East Timor,399," Mauritius, whose capital,",Port Louis,Mauritius,6162
" Ecuador, whose capital,",Quito,Ecuador,1165," Morocco, whose capital,",Rabat,Morocco,21385
" Egypt, whose capital,",Cairo,Egypt,37068," Vietnam, whose capital,",Hanoi,Vietnam,388
" El Salvador, whose capital,",San Salvador,El Salvador,5003," Saint Lucia, whose capital,",Castries,Saint Lucia,9893
" Equatorial Guinea, whose capital,",Malabo,Equatorial Guinea,5979," Cape Verde, whose capital,",Praia,Cape Verde,28340
" Eritrea, whose capital,",Asmara,Eritrea,1284," Rwanda, whose capital,",Kigali,Rwanda,611
" Estonia, whose capital,",Tallinn,Estonia,32826," North Korea, whose capital,",Pyongyang,North Korea,8462
" Eswatini, whose capital,",Mbabana,Eswatini,353," Burkina Faso, whose capital,",Ouagadougou,Burkina Faso,473
" Ethiopia, whose capital,",Addis Ababa,Ethiopia,5733," Greece, whose capital,",Athens,Greece,27411
" Micronesia, whose capital,",Palikir,Micronesia,5226," Cameroon, whose capital,",Yaounde,Cameroon,36523
" Fiji, whose capital,",Suva,Fiji,4137," Sierra Leone, whose capital,",Freetown,Sierra Leone,401
" Finland, whose capital,",Helsinki,Finland,34159," Nepal, whose capital,",Kathmandu,Nepal,23843
" France, whose capital,",Paris,France,7785," Malta, whose capital,",Valletta,Malta,4009
" Gabon, whose capital,",Libreville,Gabon,9271," Algeria, whose capital,",Algiers,Algeria,1219
" Gambia, whose capital,",Banjul,Gambia,16456," Saint Lucia, whose capital,",Castries,Saint Lucia,9893
" Georgia, whose capital,",Tbilisi,Georgia,308," Sweden, whose capital,",Stockholm,Sweden,38476
" Germany, whose capital,",Berlin,Germany,12911," Italy, whose capital,",Rome,Italy,12300
" Ghana, whose capital,",Accra,Ghana,8874," Taiwan, whose capital,",Taipei,Taiwan,14616
