clean,corrupted,clean_idx,corrupted_idx
The author that the senators liked has,No author that no senators liked has,2581,3512
No author that no senators liked has,The author that the senators liked has,3512,2581
The pilot that the consultants met has,No pilot that no consultants met has,2581,3512
No pilot that no consultants met has,The pilot that the consultants met has,3512,2581
The doctor that no guards hated has,No doctor that no guards hated has,2581,3512
The doctor that no guards hated has,No doctor that no guards hated has,2581,3512
The farmer that the clerks discussed has,No farmer that no clerks discussed has,2581,3512
The farmer that the clerks discussed has,No farmer that no clerks discussed has,2581,3512
The manager that no architects loved has,No manager that no architects loved has,2581,3512
No manager that no architects loved has,The manager that no architects loved has,3512,2581
No customer that no athletes liked has,The customer that no athletes liked has,3512,2581
The customer that no athletes liked has,No customer that no athletes liked has,2581,3512
The officer that the actors met has,No officer that no actors met has,2581,3512
The officer that the actors met has,No officer that no actors met has,2581,3512
The teacher that no ministers hated has,No teacher that no ministers hated has,2581,3512
No teacher that no ministers hated has,The teacher that no ministers hated has,3512,2581
No senator that no taxi drivers admired has,The senator that the taxi drivers admired has,3512,2581
No senator that no taxi drivers admired has,The senator that the taxi drivers admired has,3512,2581
The consultant that no secretaries loved has,No consultant that no secretaries loved has,2581,3512
The consultant that no secretaries loved has,No consultant that no secretaries loved has,2581,3512
The guard that the executives liked has,No guard that no executives liked has,2581,3512
No guard that no executives liked has,The guard that the executives liked has,3512,2581
The clerk that no authors met has,No clerk that no authors met has,2581,3512
No clerk that no authors met has,The clerk that no authors met has,3512,2581
The architect that no pilots hated has,No architect that no pilots hated has,2581,3512
The architect that no pilots hated has,No architect that no pilots hated has,2581,3512
No athlete that no doctors helped has,The athlete that no doctors helped has,3512,2581
No athlete that no doctors helped has,The athlete that no doctors helped has,3512,2581
No actor that no farmers loved has,The actor that no farmers loved has,3512,2581
The actor that no farmers loved has,No actor that no farmers loved has,2581,3512
The minister that the managers liked has,No minister that no managers liked has,2581,3512
The minister that the managers liked has,No minister that no managers liked has,2581,3512
No taxi driver that no customers met has,The taxi driver that the customers met has,3512,2581
The taxi driver that the customers met has,No taxi driver that no customers met has,2581,3512
The secretary that the officers hated has,No secretary that no officers hated has,2581,3512
No secretary that no officers hated has,The secretary that the officers hated has,3512,2581
The executive that the teachers discussed has,No executive that no teachers discussed has,2581,3512
The executive that the teachers discussed has,No executive that no teachers discussed has,2581,3512
The authors that the officer loved have,No authors that no officer loved have,2581,3512
The authors that the officer loved have,No authors that no officer loved have,2581,3512
No pilots that no teacher liked have,The pilots that the teacher liked have,3512,2581
No pilots that no teacher liked have,The pilots that the teacher liked have,3512,2581
The doctors that no senator met have,No doctors that no senator met have,2581,3512
No doctors that no senator met have,The doctors that no senator met have,3512,2581
The farmers that no consultant hated have,No farmers that no consultant hated have,2581,3512
The farmers that no consultant hated have,No farmers that no consultant hated have,2581,3512
The managers that the guard respected have,No managers that no guard respected have,2581,3512
The managers that the guard respected have,No managers that no guard respected have,2581,3512
No customers that no clerk loved have,The customers that no clerk loved have,3512,2581
No customers that no clerk loved have,The customers that no clerk loved have,3512,2581
The officers that no architect liked have,No officers that no architect liked have,2581,3512
No officers that no architect liked have,The officers that no architect liked have,3512,2581
No teachers that no athlete met have,The teachers that no athlete met have,3512,2581
No teachers that no athlete met have,The teachers that no athlete met have,3512,2581
The senators that the actor hated have,No senators that no actor hated have,2581,3512
The senators that the actor hated have,No senators that no actor hated have,2581,3512
No consultants that no minister impressed have,The consultants that no minister impressed have,3512,2581
The consultants that no minister impressed have,No consultants that no minister impressed have,2581,3512
No guards that no taxi driver loved have,The guards that the taxi driver loved have,3512,2581
The guards that the taxi driver loved have,No guards that no taxi driver loved have,2581,3512
The clerks that the secretary liked have,No clerks that no secretary liked have,2581,3512
No clerks that no secretary liked have,The clerks that the secretary liked have,3512,2581
The architects that no executive met have,No architects that no executive met have,2581,3512
No architects that no executive met have,The architects that no executive met have,3512,2581
The athletes that no pilot hated have,No athletes that no pilot hated have,2581,3512
The athletes that no pilot hated have,No athletes that no pilot hated have,2581,3512
The journalists that no doctor contacted have,No journalists that no doctor contacted have,2581,3512
The journalists that no doctor contacted have,No journalists that no doctor contacted have,2581,3512
The ministers that the farmer loved have,No ministers that no farmer loved have,2581,3512
The ministers that the farmer loved have,No ministers that no farmer loved have,2581,3512
No taxi drivers that no manager liked have,The taxi drivers that the manager liked have,3512,2581
The taxi drivers that the manager liked have,No taxi drivers that no manager liked have,2581,3512
The secretaries that the customer met have,No secretaries that no customer met have,2581,3512
No secretaries that no customer met have,The secretaries that the customer met have,3512,2581
The executives that the officer hated have,No executives that no officer hated have,2581,3512
The executives that the officer hated have,No executives that no officer hated have,2581,3512
