clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Afghanistan, whose capital,",Afghanistan,Kabul,1292," Spain, whose capital,",Spain,Madrid,15102
" Albania, whose capital,",Albania,Tirana,1088," South Africa, whose capital,",South Africa,Cape Town,19585
" Algeria, whose capital,",Algeria,Algiers,1744," Tuvalu, whose capital,",Tuvalu,Funafuti,7553
" Andorra, whose capital,",Andorra,Andorra la Vella,1783," Honduras, whose capital,",Honduras,Tegucigalpa,1088
" Angola, whose capital,",Angola,Luanda,5728," Lebanon, whose capital,",Lebanon,Beirut,2507
" Antigua and Barbuda, whose capital,",Antigua and Barbuda,Saint John's,7161," Equatorial Guinea, whose capital,",Equatorial Guinea,Malabo,5148
" Argentina, whose capital,",Argentina,Buenos Aires,26630," Peru, whose capital,",Peru,Lima,1161
" Armenia, whose capital,",Armenia,Yerevan,1395," Chad, whose capital,",Chad,N'Djamena,1186
" Australia, whose capital,",Australia,Canberra,3186," Italy, whose capital,",Italy,Rome,11595
" Austria, whose capital,",Austria,Vienna,26524," Egypt, whose capital,",Egypt,Cairo,1102
" Azerbaijan, whose capital,",Azerbaijan,Baku,1133," Antigua and Barbuda, whose capital,",Antigua and Barbuda,Saint John's,7161
" Bahamas, whose capital,",Bahamas,Nassau,1186," Hungary, whose capital,",Hungary,Budapest,26862
" Bahrain, whose capital,",Bahrain,Manama,2981," Saint Lucia, whose capital,",Saint Lucia,Castries,7208
" Bangladesh, whose capital,",Bangladesh,Dhaka,1152," Fiji, whose capital,",Fiji,Suva,3442
" Barbados, whose capital,",Barbados,Bridgetown,2664," Kuwait, whose capital,",Kuwait,Kuwait City,20466
" Belarus, whose capital,",Belarus,Minsk,1119," Comoros, whose capital,",Comoros,Moroni,4919
" Belgium, whose capital,",Belgium,Brussels,2664," Norway, whose capital,",Norway,Oslo,10217
" Belize, whose capital,",Belize,Belmopan,5351," Congo, whose capital,",Congo,Brazzaville,12631
" Benin, whose capital,",Benin,Porto Novo,4962," Kosovo, whose capital,",Kosovo,Pristina,1135
" Bhutan, whose capital,",Bhutan,Thimphu,1310," Botswana, whose capital,",Botswana,Gaborone,1188
" Bolivia, whose capital,",Bolivia,La Paz,2468," Qatar, whose capital,",Qatar,Doha,1152
" Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,8431," Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,20498
" Botswana, whose capital,",Botswana,Gaborone,1188," Paraguay, whose capital,",Paraguay,Asuncion,1904
" Brazil, whose capital,",Brazil,Brasilia,14249," Italy, whose capital,",Italy,Rome,11595
" Brunei, whose capital,",Brunei,Bandar Seri Begawan,11289," Cape Verde, whose capital,",Cape Verde,Praia,17765
" Bulgaria, whose capital,",Bulgaria,Sofia,22686," Sudan, whose capital,",Sudan,Khartoum,12497
" Burkina Faso, whose capital,",Burkina Faso,Ouagadougou,1219," Trinidad and Tobago, whose capital,",Trinidad and Tobago,Port of Spain,4962
" Burundi, whose capital,",Burundi,Gitega,1188," Eritrea, whose capital,",Eritrea,Asmara,1904
" Cambodia, whose capital,",Cambodia,Phnom Penh,2740," Gambia, whose capital,",Gambia,Banjul,15627
" Cameroon, whose capital,",Cameroon,Yaounde,27617," Croatia, whose capital,",Croatia,Zagreb,28913
" Canada, whose capital,",Canada,Ottawa,15750," Taiwan, whose capital,",Taiwan,Taipei,16886
" Cape Verde, whose capital,",Cape Verde,Praia,17765," Saint Lucia, whose capital,",Saint Lucia,Castries,7208
" Central African Republic, whose capital,",Central African Republic,Bangui,14029," Tonga, whose capital,",Tonga,Nuku'alofa,1186
" Chad, whose capital,",Chad,N'Djamena,1186," United States, whose capital,",United States,Washington D.C.,6692
" Chile, whose capital,",Chile,Santiago,25189," Mexico, whose capital,",Mexico,Mexico City,11010
" China, whose capital,",China,Beijing,27880," Norway, whose capital,",Norway,Oslo,10217
" Colombia, whose capital,",Colombia,Bogota,20693," Greece, whose capital,",Greece,Athens,2562
" Comoros, whose capital,",Comoros,Moroni,4919," Slovenia, whose capital,",Slovenia,Ljubljana,1161
" Democratic Republic of the Congo, whose capital,",Democratic Republic of the Congo,Kinshasa,26905," Trinidad and Tobago, whose capital,",Trinidad and Tobago,Port of Spain,4962
" Congo, whose capital,",Congo,Brazzaville,12631," Luxembourg, whose capital,",Luxembourg,Luxembourg,29324
" Costa Rica, whose capital,",Costa Rica,San Jose,4420," Croatia, whose capital,",Croatia,Zagreb,28913
" Croatia, whose capital,",Croatia,Zagreb,28913," Guatemala, whose capital,",Guatemala,Guatemala City,3248
" Cuba, whose capital,",Cuba,Havana,24548," Belgium, whose capital,",Belgium,Brussels,2664
" Cyprus, whose capital,",Cyprus,Nicosia,1186," Paraguay, whose capital,",Paraguay,Asuncion,1904
" Czech Republic, whose capital,",Czech Republic,Prague,2689," United Kingdom, whose capital,",United Kingdom,London,4990
" Denmark, whose capital,",Denmark,Copenhagen,1102," Russia, whose capital,",Russia,Moscow,18061
