clean,corrupted,label1,label2
The outbreak lasted from the year 1186 to the year 118,The outbreak lasted from the year 1101 to the year 118,8,6
The therapy lasted from the year 1165 to the year 116,The therapy lasted from the year 1101 to the year 116,6,5
The effect lasted from the year 1711 to the year 171,The effect lasted from the year 1701 to the year 171,1,1
The friendship lasted from the year 1428 to the year 142,The friendship lasted from the year 1401 to the year 142,2,8
The trial lasted from the year 1885 to the year 188,The trial lasted from the year 1801 to the year 188,8,5
The conspiracy lasted from the year 1109 to the year 110,The conspiracy lasted from the year 1101 to the year 110,0,9
The tour lasted from the year 1435 to the year 143,The tour lasted from the year 1401 to the year 143,3,5
The conspiracy lasted from the year 1143 to the year 114,The conspiracy lasted from the year 1101 to the year 114,4,3
The relationship lasted from the year 1447 to the year 144,The relationship lasted from the year 1401 to the year 144,4,7
The work lasted from the year 1823 to the year 182,The work lasted from the year 1801 to the year 182,2,3
The expansion lasted from the year 1283 to the year 128,The expansion lasted from the year 1201 to the year 128,8,3
The decline lasted from the year 1680 to the year 168,The decline lasted from the year 1601 to the year 168,8,0
The dispute lasted from the year 1688 to the year 168,The dispute lasted from the year 1601 to the year 168,8,8
The dispute lasted from the year 1414 to the year 141,The dispute lasted from the year 1401 to the year 141,1,4
The quest lasted from the year 1319 to the year 131,The quest lasted from the year 1301 to the year 131,1,9
The progress lasted from the year 1869 to the year 186,The progress lasted from the year 1801 to the year 186,6,9
The study lasted from the year 1568 to the year 156,The study lasted from the year 1501 to the year 156,6,8
The plan lasted from the year 1123 to the year 112,The plan lasted from the year 1101 to the year 112,2,3
The investigation lasted from the year 1256 to the year 125,The investigation lasted from the year 1201 to the year 125,5,6
The illness lasted from the year 1467 to the year 146,The illness lasted from the year 1401 to the year 146,6,7
The expedition lasted from the year 1830 to the year 183,The expedition lasted from the year 1801 to the year 183,3,0
The flights lasted from the year 1717 to the year 171,The flights lasted from the year 1701 to the year 171,1,7
The quest lasted from the year 1732 to the year 173,The quest lasted from the year 1701 to the year 173,3,2
The unemployment lasted from the year 1591 to the year 159,The unemployment lasted from the year 1501 to the year 159,9,1
The effort lasted from the year 1345 to the year 134,The effort lasted from the year 1301 to the year 134,4,5
The disorder lasted from the year 1704 to the year 170,The disorder lasted from the year 1701 to the year 170,0,4
The collaboration lasted from the year 1166 to the year 116,The collaboration lasted from the year 1101 to the year 116,6,6
The affair lasted from the year 1661 to the year 166,The affair lasted from the year 1601 to the year 166,6,1
The expansion lasted from the year 1602 to the year 160,The expansion lasted from the year 1601 to the year 160,0,2
The outbreak lasted from the year 1487 to the year 148,The outbreak lasted from the year 1401 to the year 148,8,7
The strikes lasted from the year 1687 to the year 168,The strikes lasted from the year 1601 to the year 168,8,7
The quest lasted from the year 1233 to the year 123,The quest lasted from the year 1201 to the year 123,3,3
The increase lasted from the year 1143 to the year 114,The increase lasted from the year 1101 to the year 114,4,3
The invasion lasted from the year 1817 to the year 181,The invasion lasted from the year 1801 to the year 181,1,7
The growth lasted from the year 1230 to the year 123,The growth lasted from the year 1201 to the year 123,3,0
The tour lasted from the year 1203 to the year 120,The tour lasted from the year 1201 to the year 120,0,3
The experiments lasted from the year 1670 to the year 167,The experiments lasted from the year 1601 to the year 167,7,0
The custody lasted from the year 1576 to the year 157,The custody lasted from the year 1501 to the year 157,7,6
The trip lasted from the year 1761 to the year 176,The trip lasted from the year 1701 to the year 176,6,1
The outcome lasted from the year 1187 to the year 118,The outcome lasted from the year 1101 to the year 118,8,7
The affair lasted from the year 1631 to the year 163,The affair lasted from the year 1601 to the year 163,3,1
The construction lasted from the year 1386 to the year 138,The construction lasted from the year 1301 to the year 138,8,6
The evaluation lasted from the year 1675 to the year 167,The evaluation lasted from the year 1601 to the year 167,7,5
The friendship lasted from the year 1386 to the year 138,The friendship lasted from the year 1301 to the year 138,8,6
The competition lasted from the year 1690 to the year 169,The competition lasted from the year 1601 to the year 169,9,0
The attack lasted from the year 1721 to the year 172,The attack lasted from the year 1701 to the year 172,2,1
The fall lasted from the year 1583 to the year 158,The fall lasted from the year 1501 to the year 158,8,3
The marriage lasted from the year 1362 to the year 136,The marriage lasted from the year 1301 to the year 136,6,2
The campaign lasted from the year 1706 to the year 170,The campaign lasted from the year 1701 to the year 170,0,6
The custody lasted from the year 1664 to the year 166,The custody lasted from the year 1601 to the year 166,6,4
The journey lasted from the year 1704 to the year 170,The journey lasted from the year 1701 to the year 170,0,4
The cooperation lasted from the year 1334 to the year 133,The cooperation lasted from the year 1301 to the year 133,3,4
The test lasted from the year 1458 to the year 145,The test lasted from the year 1401 to the year 145,5,8
The assessment lasted from the year 1847 to the year 184,The assessment lasted from the year 1801 to the year 184,4,7
The work lasted from the year 1774 to the year 177,The work lasted from the year 1701 to the year 177,7,4
The deal lasted from the year 1881 to the year 188,The deal lasted from the year 1801 to the year 188,8,1
The disorder lasted from the year 1444 to the year 144,The disorder lasted from the year 1401 to the year 144,4,4
The consequence lasted from the year 1444 to the year 144,The consequence lasted from the year 1401 to the year 144,4,4
The tests lasted from the year 1710 to the year 171,The tests lasted from the year 1701 to the year 171,1,0
The agreement lasted from the year 1844 to the year 184,The agreement lasted from the year 1801 to the year 184,4,4
The existence lasted from the year 1307 to the year 130,The existence lasted from the year 1301 to the year 130,0,7
The development lasted from the year 1344 to the year 134,The development lasted from the year 1301 to the year 134,4,4
The trip lasted from the year 1365 to the year 136,The trip lasted from the year 1301 to the year 136,6,5
