clean,corrupted,label1,label2
The therapy lasted from the year 1287 to the year 128,The therapy lasted from the year 1201 to the year 128,8,7
The exchange lasted from the year 1662 to the year 166,The exchange lasted from the year 1601 to the year 166,6,2
The growth lasted from the year 1412 to the year 141,The growth lasted from the year 1401 to the year 141,1,2
The riot lasted from the year 1686 to the year 168,The riot lasted from the year 1601 to the year 168,8,6
The quest lasted from the year 1474 to the year 147,The quest lasted from the year 1401 to the year 147,7,4
The tour lasted from the year 1128 to the year 112,The tour lasted from the year 1101 to the year 112,2,8
The process lasted from the year 1343 to the year 134,The process lasted from the year 1301 to the year 134,4,3
The trip lasted from the year 1382 to the year 138,The trip lasted from the year 1301 to the year 138,8,2
The existence lasted from the year 1417 to the year 141,The existence lasted from the year 1401 to the year 141,1,7
The tour lasted from the year 1784 to the year 178,The tour lasted from the year 1701 to the year 178,8,4
The riot lasted from the year 1614 to the year 161,The riot lasted from the year 1601 to the year 161,1,4
The tour lasted from the year 1718 to the year 171,The tour lasted from the year 1701 to the year 171,1,8
The outcome lasted from the year 1149 to the year 114,The outcome lasted from the year 1101 to the year 114,4,9
The work lasted from the year 1738 to the year 173,The work lasted from the year 1701 to the year 173,3,8
The project lasted from the year 1176 to the year 117,The project lasted from the year 1101 to the year 117,7,6
The campaign lasted from the year 1704 to the year 170,The campaign lasted from the year 1701 to the year 170,0,4
The contact lasted from the year 1819 to the year 181,The contact lasted from the year 1801 to the year 181,1,9
The progress lasted from the year 1587 to the year 158,The progress lasted from the year 1501 to the year 158,8,7
The trip lasted from the year 1228 to the year 122,The trip lasted from the year 1201 to the year 122,2,8
The tests lasted from the year 1330 to the year 133,The tests lasted from the year 1301 to the year 133,3,0
The exchange lasted from the year 1713 to the year 171,The exchange lasted from the year 1701 to the year 171,1,3
The assessment lasted from the year 1356 to the year 135,The assessment lasted from the year 1301 to the year 135,5,6
The rise lasted from the year 1586 to the year 158,The rise lasted from the year 1501 to the year 158,8,6
The work lasted from the year 1871 to the year 187,The work lasted from the year 1801 to the year 187,7,1
The test lasted from the year 1164 to the year 116,The test lasted from the year 1101 to the year 116,6,4
The tests lasted from the year 1224 to the year 122,The tests lasted from the year 1201 to the year 122,2,4
The test lasted from the year 1702 to the year 170,The test lasted from the year 1701 to the year 170,0,2
The plan lasted from the year 1419 to the year 141,The plan lasted from the year 1401 to the year 141,1,9
The practice lasted from the year 1142 to the year 114,The practice lasted from the year 1101 to the year 114,4,2
The test lasted from the year 1316 to the year 131,The test lasted from the year 1301 to the year 131,1,6
The rule lasted from the year 1508 to the year 150,The rule lasted from the year 1501 to the year 150,0,8
The existence lasted from the year 1654 to the year 165,The existence lasted from the year 1601 to the year 165,5,4
The program lasted from the year 1776 to the year 177,The program lasted from the year 1701 to the year 177,7,6
The case lasted from the year 1258 to the year 125,The case lasted from the year 1201 to the year 125,5,8
The attack lasted from the year 1520 to the year 152,The attack lasted from the year 1501 to the year 152,2,0
The existence lasted from the year 1328 to the year 132,The existence lasted from the year 1301 to the year 132,2,8
The shift lasted from the year 1359 to the year 135,The shift lasted from the year 1301 to the year 135,5,9
The tour lasted from the year 1436 to the year 143,The tour lasted from the year 1401 to the year 143,3,6
The exchange lasted from the year 1711 to the year 171,The exchange lasted from the year 1701 to the year 171,1,1
The existence lasted from the year 1662 to the year 166,The existence lasted from the year 1601 to the year 166,6,2
The evaluation lasted from the year 1492 to the year 149,The evaluation lasted from the year 1401 to the year 149,9,2
The exchange lasted from the year 1266 to the year 126,The exchange lasted from the year 1201 to the year 126,6,6
