clean,country,capital,capital_idx,corrupted,corrupted_country,corrupted_capital,corrupted_capital_idx
" Afghanistan, whose capital,",Afghanistan,Kabul,611," Egypt, whose capital,",Egypt,Cairo,37068
" Albania, whose capital,",Albania,Tirana,48669," Palau, whose capital,",Palau,Melekeok,3189
" Algeria, whose capital,",Algeria,Algiers,1219," Bahamas, whose capital,",Bahamas,Nassau,49905
" Andorra, whose capital,",Andorra,Andorra la Vella,1244," Liechtenstein, whose capital,",Liechtenstein,Vaduz,657
" Angola, whose capital,",Angola,Luanda,7511," Palau, whose capital,",Palau,Melekeok,3189
" Antigua and Barbuda, whose capital,",Antigua and Barbuda,Saint John's,11877," Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,9997
" Argentina, whose capital,",Argentina,Buenos Aires,46287," Taiwan, whose capital,",Taiwan,Taipei,14616
" Armenia, whose capital,",Armenia,Yerevan,714," Azerbaijan, whose capital,",Azerbaijan,Baku,378
" Australia, whose capital,",Australia,Canberra,2615," Hungary, whose capital,",Hungary,Budapest,50086
" Austria, whose capital,",Austria,Vienna,26229," Nepal, whose capital,",Nepal,Kathmandu,23843
" Azerbaijan, whose capital,",Azerbaijan,Baku,378," South Korea, whose capital,",South Korea,Seoul,36546
" Bahamas, whose capital,",Bahamas,Nassau,49905," Luxembourg, whose capital,",Luxembourg,Luxembourg,44133
" Bahrain, whose capital,",Bahrain,Manama,3083," Guyana, whose capital,",Guyana,Georgetown,3096
" Bangladesh, whose capital,",Bangladesh,Dhaka,37287," Hungary, whose capital,",Hungary,Budapest,50086
" Barbados, whose capital,",Barbados,Bridgetown,2652," Guyana, whose capital,",Guyana,Georgetown,3096
" Belarus, whose capital,",Belarus,Minsk,353," Tunisia, whose capital,",Tunisia,Tunis,27664
" Belgium, whose capital,",Belgium,Brussels,30167," Croatia, whose capital,",Croatia,Zagreb,49524
" Belize, whose capital,",Belize,Belmopan,6512," Mali, whose capital,",Mali,Bamako,378
" Benin, whose capital,",Benin,Porto Novo,6162," Dominican Republic, whose capital,",Dominican Republic,Santo Domingo,322
" Bhutan, whose capital,",Bhutan,Thimphu,596," Mauritius, whose capital,",Mauritius,Port Louis,6162
" Bolivia, whose capital,",Bolivia,La Paz,3905," Dominica, whose capital,",Dominica,Roseau,12447
" Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,9997," Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,28219
" Botswana, whose capital,",Botswana,Gaborone,443," Uzbekistan, whose capital,",Uzbekistan,Tashkent,308
" Brazil, whose capital,",Brazil,Brasilia,31574," Uganda, whose capital,",Uganda,Kampala,46882
" Brunei, whose capital,",Brunei,Bandar Seri Begawan,16804," Rwanda, whose capital,",Rwanda,Kigali,611
" Bulgaria, whose capital,",Bulgaria,Sofia,36104," Malaysia, whose capital,",Malaysia,Kuala Lumpur,611
" Burkina Faso, whose capital,",Burkina Faso,Ouagadougou,473," Eswatini, whose capital,",Eswatini,Mbabana,353
" Burundi, whose capital,",Burundi,Gitega,443," Equatorial Guinea, whose capital,",Equatorial Guinea,Malabo,5979
" Cambodia, whose capital,",Cambodia,Phnom Penh,1777," Syria, whose capital,",Syria,Damascus,47419
" Cameroon, whose capital,",Cameroon,Yaounde,36523," Mauritius, whose capital,",Mauritius,Port Louis,6162
" Canada, whose capital,",Canada,Ottawa,29539," Cyprus, whose capital,",Cyprus,Nicosia,12951
" Cape Verde, whose capital,",Cape Verde,Praia,28340," Andorra, whose capital,",Andorra,Andorra la Vella,1244
