clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Kabul, the capital of",Kabul,Afghanistan,32511," Abuja, the capital of",Abuja,Nigeria,15922
" Tirana, the capital of",Tirana,Albania,93051," Kigali, the capital of",Kigali,Rwanda,73784
" Algiers, the capital of",Algiers,Algeria,84549," Tbilisi, the capital of",Tbilisi,Georgia,17392
" Andorra la Vella, the capital of",Andorra la Vella,Andorra,154999," Conakry, the capital of",Conakry,Guinea,43148
" Luanda, the capital of",Luanda,Angola,69503," Jerusalem, the capital of",Jerusalem,Israel,11965
" Saint John's, the capital of",Saint John's,Antigua and Barbuda,110485," Nay Pyi Taw, the capital of",Nay Pyi Taw,Myanmar,62663
" Buenos Aires, the capital of",Buenos Aires,Argentina,21532," Sao Tome, the capital of",Sao Tome,Sao Tome and Principe,80803
" Yerevan, the capital of",Yerevan,Armenia,71194," Lisbon, the capital of",Lisbon,Portugal,21539
" Canberra, the capital of",Canberra,Australia,8625," Bangkok, the capital of",Bangkok,Thailand,28141
" Vienna, the capital of",Vienna,Austria,26684," Amsterdam, the capital of",Amsterdam,Netherlands,23674
" Baku, the capital of",Baku,Azerbaijan,78809," Khartoum, the capital of",Khartoum,Sudan,42579
" Nassau, the capital of",Nassau,Bahamas,76171," Oslo, the capital of",Oslo,Norway,31130
" Manama, the capital of",Manama,Bahrain,83073," Guatemala City, the capital of",Guatemala City,Guatemala,47498
" Dhaka, the capital of",Dhaka,Bangladesh,40188," Luanda, the capital of",Luanda,Angola,69503
" Bridgetown, the capital of",Bridgetown,Barbados,90292," Kingstown, the capital of",Kingstown,Saint Vincent and the Grenadines,10606
" Minsk, the capital of",Minsk,Belarus,84954," Stockholm, the capital of",Stockholm,Sweden,24318
" Brussels, the capital of",Brussels,Belgium,30674," Nassau, the capital of",Nassau,Bahamas,76171
" Belmopan, the capital of",Belmopan,Belize,88619," Port of Spain, the capital of",Port of Spain,Trinidad and Tobago,66280
" Porto Novo, the capital of",Porto Novo,Benin,104981," Majuro, the capital of",Majuro,Marshall Islands,25823
" Thimphu, the capital of",Thimphu,Bhutan,118008," Conakry, the capital of",Conakry,Guinea,43148
" La Paz, the capital of",La Paz,Bolivia,55546," Niamey, the capital of",Niamey,Niger,11136
" Sarajevo, the capital of",Sarajevo,Bosnia and Herzegovina,97638," Nicosia, the capital of",Nicosia,Cyprus,54845
" Gaborone, the capital of",Gaborone,Botswana,90643," Santo Domingo, the capital of",Santo Domingo,Dominican Republic,75149
" Brasilia, the capital of",Brasilia,Brazil,19425," Mexico City, the capital of",Mexico City,Mexico,11198
" Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,124008," N'Djamena, the capital of",N'Djamena,Chad,44076
" Sofia, the capital of",Sofia,Bulgaria,55863," Nairobi, the capital of",Nairobi,Kenya,28273
