1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(647)		Overall	First		(329)	(150)	(168)
Diamond(s)	0.92	0.50	4.2	4.8	1.8	0.92	0.91	0.94
Ruby	0.78	0.15	3.5	4.1	2.5	0.74	0.79	0.84
Emerald(s)	0.51	0.06	4.4	5.5	3.1	0.49	0.45	0.60
Sapphire(s)	0.49	0.02	5.0	5.4	3.6	0.51	0.39	0.54
Pearl(s)	0.22	0.01	4.5	8.7	3.9	0.21	0.23	0.23
Gem(stone)	0.19	0.11	4.0	3.8	1.8	0.17	0.27	0.13
 Gem(s)	0.17	0.11	3.8	3.6	1.7	0.16	0.23	0.13
 Gemstone	0.02	0.01	6.6	5.7	2.4	0.01	0.05	0.00
Amethyst(s)	0.18	0.02	5.9	6.0	3.9	0.19	0.18	0.17
Opal	0.18	0.01	4.4	4.6	4.1	0.18	0.27	0.10
Gold	0.14	0.02	4.6	3.6	3.4	0.16	0.11	0.12
Topaz	0.12	0.01	4.8	4.4	4.2	0.14	0.11	0.10
Garnet	0.11	0.01	5.2	5.0	4.6	0.11	0.09	0.11
Silver	0.08		2.9		4.5	0.09	0.07	0.08
Jade	0.06		5.2		4.0	0.07	0.05	0.05
Quartz	0.06		6.5		4.1	0.08	0.06	0.04
Turquoise	0.05	0.01	8.6	9.0	4.3	0.07	0.05	0.02

2. A unit of time
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(693)		Overall	First		(370)	(148)	(175)
Hour(s)	0.98	0.12	2.4	3.8	2.8	0.98	0.99	0.95
Sec(onds)	0.97	0.46	3.3	4.3	1.9	0.97	1.00	0.95
 Second(s)	0.95	0.45	3.3	4.3	1.9	0.94	0.97	0.95
 Sec	0.02	0.01	3.4	4.4	2.0	0.04	0.03	0.00
Minute(s)	0.96	0.36	3.1	4.0	1.9	0.96	0.97	0.94
Year(s)	0.82		2.1		6.0	0.88	0.82	0.68
Day	0.80		2.5		4.4	0.85	0.84	0.67
Month(s)	0.64		2.3		6.0	0.69	0.64	0.55
Decade(s)	0.51		3.5		7.5	0.52	0.57	0.45
Century/ies	0.46		3.7		8.0	0.50	0.47	0.37
 Century	0.38		3.7		8.0	0.42	0.36	0.32
 Centuries	0.08		4.0		7.9	0.08	0.10	0.05
Week(s)	0.46		2.2		6.0	0.46	0.53	0.41
Millisecond(s)	0.39	0.01	5.1	6.1	5.5	0.41	0.46	0.29
Millennium	0.25		4.0		8.5	0.24	0.37	0.17
Nanosecond(s)	0.07		4.8		6.7	0.08	0.06	0.06
Eon(s)	0.05		3.2		7.1	0.06	0.07	0.02

3. A relative
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
