Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
87044,-,1-0=,1,201-38=,163,16,9892
87045,-,1-1=,0,215-14=,201,15,679
87046,-,2-0=,2,299-163=,136,17,9795
87047,-,3-0=,3,84-1=,83,18,6069
87048,-,3-1=,2,83-58=,25,17,914
87049,-,3-2=,1,230-207=,23,16,1419
87050,-,3-3=,0,99-92=,7,15,22
87051,-,4-0=,4,63-42=,21,19,1691
87052,-,4-1=,3,264-118=,146,18,10465
87053,-,4-2=,2,256-32=,224,17,10697
87054,-,4-3=,1,230-138=,92,16,6083
87055,-,4-4=,0,53-35=,18,15,972
87056,-,5-1=,4,219-42=,177,19,11242
87057,-,5-2=,3,252-179=,73,18,5958
87058,-,5-3=,2,286-243=,43,17,3391
87059,-,5-5=,0,218-66=,152,15,9756
87060,-,6-0=,6,92-12=,80,21,1490
87061,-,6-1=,5,266-71=,195,20,6280
87062,-,6-6=,0,218-178=,40,15,1272
87063,-,7-0=,7,241-44=,197,22,4468
87064,-,7-1=,6,92-81=,11,21,806
87065,-,7-2=,5,151-79=,72,20,5332
87066,-,7-3=,4,281-188=,93,19,6365
87067,-,7-4=,3,254-22=,232,18,12338
87068,-,7-5=,2,159-95=,64,17,1227
87069,-,7-7=,0,264-120=,144,15,8929
87070,-,8-0=,8,271-113=,158,23,11286
87071,-,8-1=,7,131-14=,117,22,8546
87072,-,8-2=,6,271-134=,137,21,10148
87073,-,8-3=,5,279-145=,134,20,9565
87074,-,8-5=,3,243-238=,5,18,20
87075,-,8-6=,2,185-72=,113,17,8190
87076,-,8-7=,1,222-35=,187,16,9674
87077,-,8-8=,0,140-96=,44,15,2096
87078,-,9-1=,8,247-20=,227,23,14206
87079,-,9-2=,7,118-35=,83,22,6069
87080,-,9-3=,6,148-144=,4,21,19
87081,-,9-4=,5,119-30=,89,20,4578
87082,-,9-6=,3,109-42=,67,18,3080
87083,-,9-7=,2,287-120=,167,17,11515
87084,-,9-9=,0,291-203=,88,15,2421
87085,-,10-0=,10,186-22=,164,605,10513
87086,-,10-1=,9,121-106=,15,24,868
87087,-,10-2=,8,175-107=,68,23,2614
87088,-,10-3=,7,127-77=,50,22,1135
87089,-,10-5=,5,104-18=,86,20,4218
87090,-,10-6=,4,246-98=,148,19,10410
87091,-,10-7=,3,265-57=,208,18,12171
87092,-,10-9=,1,204-171=,33,16,1644
87093,-,10-10=,0,283-131=,152,15,9756
87094,-,11-1=,10,275-69=,206,605,11056
87095,-,11-2=,9,267-168=,99,24,1484
87096,-,11-3=,8,290-26=,264,23,12815
87097,-,11-4=,7,186-128=,58,22,2970
87098,-,11-5=,6,265-252=,13,21,1032
87099,-,11-6=,5,271-194=,77,20,2813
87100,-,11-7=,4,289-81=,208,19,12171
87101,-,11-8=,3,282-244=,38,18,1987
87102,-,11-9=,2,276-143=,133,17,9423
87103,-,11-10=,1,250-185=,65,16,2397
87104,-,12-0=,12,160-39=,121,717,7994
87105,-,12-1=,11,214-167=,47,806,2618
87106,-,12-2=,10,213-169=,44,605,2096
87107,-,12-3=,9,284-76=,208,24,12171
87108,-,12-4=,8,133-103=,30,23,966
87109,-,12-5=,7,184-57=,127,22,6804
87110,-,12-6=,6,281-101=,180,21,5245
87111,-,12-7=,5,201-5=,196,20,5162
87112,-,12-8=,4,175-126=,49,19,2491
87113,-,12-9=,3,278-266=,12,18,717
87114,-,12-10=,2,288-157=,131,17,9263
87115,-,12-11=,1,232-134=,98,16,3264
87116,-,13-0=,13,237-81=,156,1032,10132
87117,-,13-1=,12,121-78=,43,717,3391
87118,-,13-2=,11,269-141=,128,806,4386
87119,-,13-3=,10,278-263=,15,605,868
87120,-,13-4=,9,165-61=,104,24,6849
87121,-,13-5=,8,202-6=,196,23,5162
87122,-,13-6=,7,223-204=,19,22,777
87123,-,13-7=,6,260-125=,135,21,8878
87124,-,13-8=,5,115-16=,99,20,1484
87125,-,13-9=,4,241-214=,27,19,1544
87126,-,13-10=,3,111-71=,40,18,1272
87127,-,13-11=,2,191-135=,56,17,3487
87128,-,13-12=,1,212-117=,95,16,2721
87129,-,13-13=,0,274-59=,215,15,12112
87130,-,14-0=,14,24-11=,13,975,1032
87131,-,14-1=,13,136-77=,59,1032,2946
87132,-,14-2=,12,119-43=,76,717,4767
87133,-,14-3=,11,289-265=,24,806,1187
87134,-,14-4=,10,290-101=,189,605,9378
87135,-,14-5=,9,143-75=,68,24,2614
87136,-,14-6=,8,240-42=,198,23,3753
87137,-,14-7=,7,245-167=,78,22,2495
87138,-,14-8=,6,119-118=,1,21,16
87139,-,14-9=,5,148-50=,98,20,3264
87140,-,14-10=,4,197-113=,84,19,5833
87141,-,14-11=,3,250-89=,161,18,10718
87142,-,14-12=,2,210-71=,139,17,10125
87143,-,14-13=,1,290-178=,112,16,7261
87144,-,14-14=,0,133-65=,68,15,2614
87145,-,15-0=,15,298-268=,30,868,966
87146,-,15-1=,14,238-123=,115,975,7322
87147,-,15-2=,13,200-86=,114,1032,8011
87148,-,15-3=,12,267-252=,15,717,868
87149,-,15-4=,11,100-21=,79,806,4643
87150,-,15-5=,10,125-104=,21,605,1691
87151,-,15-6=,9,264-91=,173,24,11908
87152,-,15-7=,8,209-23=,186,23,9714
87153,-,15-8=,7,154-105=,49,22,2491
87154,-,15-9=,6,296-105=,191,21,7529
87155,-,15-10=,5,199-84=,115,20,7322
87156,-,15-11=,4,146-120=,26,19,1627
87157,-,15-12=,3,116-77=,39,18,2137
87158,-,15-13=,2,234-234=,0,17,15
87159,-,15-14=,1,169-27=,142,16,10239
87160,-,15-15=,0,243-114=,129,15,9748
87161,-,16-0=,16,62-50=,12,845,717
87162,-,16-1=,15,299-200=,99,868,1484
87163,-,16-2=,14,113-95=,18,975,972
87164,-,16-3=,13,210-73=,137,1032,10148
87165,-,16-4=,12,259-210=,49,717,2491
87166,-,16-5=,11,205-70=,135,806,8878
87167,-,16-6=,10,94-10=,84,605,5833
87168,-,16-7=,9,120-17=,103,24,6889
87169,-,16-8=,8,192-182=,10,23,605
87170,-,16-9=,7,293-57=,236,22,14087
87171,-,16-10=,6,184-171=,13,21,1032
87172,-,16-11=,5,145-65=,80,20,1490
87173,-,16-12=,4,167-126=,41,19,3174
87174,-,16-13=,3,259-198=,61,18,5547
87175,-,16-14=,2,239-2=,237,17,14590
87176,-,16-15=,1,197-61=,136,16,9795
87177,-,16-16=,0,275-47=,228,15,14261
87178,-,17-0=,17,279-106=,173,1114,11908
87179,-,17-1=,16,283-43=,240,845,8273
87180,-,17-2=,15,141-95=,46,868,2790
87181,-,17-3=,14,163-141=,22,975,1313
87182,-,17-4=,13,134-131=,3,1032,18
87183,-,17-5=,12,226-113=,113,717,8190
87184,-,17-6=,11,144-16=,128,806,4386
87185,-,17-7=,10,280-217=,63,605,5495
87186,-,17-8=,9,294-247=,47,24,2618
87187,-,17-9=,8,186-146=,40,23,1272
