clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Afghanistan, whose capital,",Afghanistan,Kabul,34753," Bolivia, whose capital,",Bolivia,La Paz,4689
" Albania, whose capital,",Albania,Tirana,39847," Bahrain, whose capital,",Bahrain,Manama,1869
" Algeria, whose capital,",Algeria,Algiers,978," Jordan, whose capital,",Jordan,Amman,1703
" Andorra, whose capital,",Andorra,Andorra la Vella,843," Tuvalu, whose capital,",Tuvalu,Funafuti,11138
" Angola, whose capital,",Angola,Luanda,6026," Serbia, whose capital,",Serbia,Belgrade,3944
" Antigua and Barbuda, whose capital,",Antigua and Barbuda,Saint John's,9281," Sao Tome and Principe, whose capital,",Sao Tome and Principe,Sao Tome,47040
" Argentina, whose capital,",Argentina,Buenos Aires,46210," Venezuela, whose capital,",Venezuela,Caracas,1879
" Armenia, whose capital,",Armenia,Yerevan,575," Libya, whose capital,",Libya,Tripoli,47318
" Australia, whose capital,",Australia,Canberra,33452," Croatia, whose capital,",Croatia,Zagreb,1168
" Austria, whose capital,",Austria,Vienna,23825," Chile, whose capital,",Chile,Santiago,34802
" Azerbaijan, whose capital,",Azerbaijan,Baku,347," Greece, whose capital,",Greece,Athens,21891
" Bahamas, whose capital,",Bahamas,Nassau,38742," Colombia, whose capital,",Colombia,Bogota,21555
" Bahrain, whose capital,",Bahrain,Manama,1869," Libya, whose capital,",Libya,Tripoli,47318
" Bangladesh, whose capital,",Bangladesh,Dhaka,20529," Bolivia, whose capital,",Bolivia,La Paz,4689
" Barbados, whose capital,",Barbados,Bridgetown,1709," North Korea, whose capital,",North Korea,Pyongyang,21614
" Belarus, whose capital,",Belarus,Minsk,337," Kazakhstan, whose capital,",Kazakhstan,Astana,8304
" Belgium, whose capital,",Belgium,Brussels,16445," Argentina, whose capital,",Argentina,Buenos Aires,46210
" Belize, whose capital,",Belize,Belmopan,3944," Tonga, whose capital,",Tonga,Nuku'alofa,399
" Benin, whose capital,",Benin,Porto Novo,4347," Costa Rica, whose capital,",Costa Rica,San Jose,2986
" Bhutan, whose capital,",Bhutan,Thimphu,536," South Africa, whose capital,",South Africa,Cape Town,15725
" Bolivia, whose capital,",Bolivia,La Paz,4689," Bahamas, whose capital,",Bahamas,Nassau,38742
" Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,6866," Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,19829
" Botswana, whose capital,",Botswana,Gaborone,402," Zambia, whose capital,",Zambia,Lusaka,406
" Brazil, whose capital,",Brazil,Brasilia,39452," Angola, whose capital,",Angola,Luanda,6026
" Brunei, whose capital,",Brunei,Bandar Seri Begawan,10243," New Zealand, whose capital,",New Zealand,Wellington,30597
" Bulgaria, whose capital,",Bulgaria,Sofia,41427," Cyprus, whose capital,",Cyprus,Nicosia,8377
" Burkina Faso, whose capital,",Burkina Faso,Ouagadougou,42201," Djibouti, whose capital,",Djibouti,Djibouti,19307
" Burundi, whose capital,",Burundi,Gitega,402," Vanuatu, whose capital,",Vanuatu,Port Vila,4347
" Cambodia, whose capital,",Cambodia,Phnom Penh,1380," Ecuador, whose capital,",Ecuador,Quito,2264
" Cameroon, whose capital,",Cameroon,Yaounde,26421," Tanzania, whose capital,",Tanzania,Dodoma,15990
" Canada, whose capital,",Canada,Ottawa,14074," Sweden, whose capital,",Sweden,Stockholm,29679
