clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 diamonds and rubies are two types of,diamonds,rubies,gem,"['gem', 'gems']","[16840, 23685]", bananas and limes are two types of,bananas,limes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 diamonds and emeralds are two types of,diamonds,emeralds,gem,"['gem', 'gems']","[16840, 23685]", organs and cymbals are two types of,organs,cymbals,instrument,"['musical', 'instruments']","[10530, 12834]"
 diamonds and sapphires are two types of,diamonds,sapphires,gem,"['gem', 'gems']","[16840, 23685]", hours and nanoseconds are two types of,hours,nanoseconds,time,"['time', 'units']","[640, 4991]"
 diamonds and pearls are two types of,diamonds,pearls,gem,"['gem', 'gems']","[16840, 23685]", chiefs and cadets are two types of,chiefs,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 diamonds and gemstones are two types of,diamonds,gemstones,gem,"['gem', 'gems']","[16840, 23685]", broccoli and cauliflower are two types of,broccoli,cauliflower,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 diamonds and amethysts are two types of,diamonds,amethysts,gem,"['gem', 'gems']","[16840, 23685]", shoes and flip flops are two types of,shoes,flip flops,footwear,['footwear'],[43463]
 diamonds and opals are two types of,diamonds,opals,gem,"['gem', 'gems']","[16840, 23685]", pumps and hiking shoes are two types of,pumps,hiking shoes,footwear,['footwear'],[43463]
 diamonds and topazs are two types of,diamonds,topazs,gem,"['gem', 'gems']","[16840, 23685]", beetles and centipedes are two types of,beetles,centipedes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 diamonds and garnets are two types of,diamonds,garnets,gem,"['gem', 'gems']","[16840, 23685]", strawberries and lemons are two types of,strawberries,lemons,fruit,"['fruits', 'fruit']","[15921, 8234]"
 diamonds and jades are two types of,diamonds,jades,gem,"['gem', 'gems']","[16840, 23685]", arson and drunk driving are two types of,arson,drunk driving,crime,"['crimes', 'crime']","[6741, 4065]"
 diamonds and quartzs are two types of,diamonds,quartzs,gem,"['gem', 'gems']","[16840, 23685]", centimeters and nanometers are two types of,centimeters,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 diamonds and turquoises are two types of,diamonds,turquoises,gem,"['gem', 'gems']","[16840, 23685]", blades and bazookas are two types of,blades,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 rubies and diamonds are two types of,rubies,diamonds,gem,"['gem', 'gems']","[16840, 23685]", eons and months are two types of,eons,months,time,"['time', 'units']","[640, 4991]"
 rubies and emeralds are two types of,rubies,emeralds,gem,"['gem', 'gems']","[16840, 23685]", coffee tables and loveseats are two types of,coffee tables,loveseats,furniture,['furniture'],[13091]
 rubies and sapphires are two types of,rubies,sapphires,gem,"['gem', 'gems']","[16840, 23685]", secs and nanoseconds are two types of,secs,nanoseconds,time,"['time', 'units']","[640, 4991]"
 rubies and pearls are two types of,rubies,pearls,gem,"['gem', 'gems']","[16840, 23685]", rupees and francs are two types of,rupees,francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
