,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
448,"Then, Jeremy and Thomas had a lot of fun at the hospital. Thomas gave a necklace to","Then, Jeremy and Thomas had a lot of fun at the hospital. Samuel gave a necklace to","Then, Jeremy and Thomas had a lot of fun at the hospital. Jeremy gave a necklace to",25019,6851
638,"Then, Amanda and Paul went to the restaurant. Paul gave a necklace to","Then, Amanda and Paul went to the restaurant. Jason gave a necklace to","Then, Amanda and Paul went to the restaurant. Amanda gave a necklace to",27181,4688
461,"When James and Bryan got a basketball at the hospital, James decided to give it to","When James and Bryan got a basketball at the hospital, Adam decided to give it to","When James and Bryan got a basketball at the hospital, Bryan decided to give it to",28687,5565
234,"Then, Sean and Stephen were working at the office. Stephen decided to give a bone to","Then, Sean and Stephen were working at the office. Angela decided to give a bone to","Then, Sean and Stephen were working at the office. Sean decided to give a bone to",21236,13100
977,"Then, Kevin and Christopher had a long argument, and afterwards Kevin said to","Then, Kevin and Christopher had a long argument, and afterwards Alexander said to","Then, Kevin and Christopher had a long argument, and afterwards Christopher said to",18329,14357
454,"When Richard and Jose got a drink at the hospital, Richard decided to give it to","When Richard and Jose got a drink at the hospital, Jesse decided to give it to","When Richard and Jose got a drink at the hospital, Jose decided to give it to",7050,7127
214,"Then, Kelly and Joshua were working at the garden. Kelly decided to give a drink to","Then, Kelly and Joshua were working at the garden. Jessica decided to give a drink to","Then, Kelly and Joshua were working at the garden. Joshua decided to give a drink to",29070,16050
764,"Then, Jamie and Jason were thinking about going to the store. Jason wanted to give a ring to","Then, Jamie and Jason were thinking about going to the store. Tyler wanted to give a ring to","Then, Jamie and Jason were thinking about going to the store. Jamie wanted to give a ring to",19785,15645
111,"Then, Robert and Mark went to the garden. Mark gave a computer to","Then, Robert and Mark went to the garden. Christopher gave a computer to","Then, Robert and Mark went to the garden. Robert gave a computer to",6374,4423
889,"After Lauren and Benjamin went to the station, Benjamin gave a basketball to","After Lauren and Benjamin went to the station, Jonathan gave a basketball to","After Lauren and Benjamin went to the station, Lauren gave a basketball to",23887,19026
154,"Then, Bryan and Alexander had a lot of fun at the station. Bryan gave a basketball to","Then, Bryan and Alexander had a lot of fun at the station. Jennifer gave a basketball to","Then, Bryan and Alexander had a lot of fun at the station. Alexander gave a basketball to",11823,28687
981,"When Scott and Nicole got a kiss at the garden, Scott decided to give it to","When Scott and Nicole got a kiss at the garden, John decided to give it to","When Scott and Nicole got a kiss at the garden, Nicole decided to give it to",28456,8404
534,"Then, John and Joshua had a long argument, and afterwards Joshua said to","Then, John and Joshua had a long argument, and afterwards Kevin said to","Then, John and Joshua had a long argument, and afterwards John said to",2983,29070
792,"Then, Brian and Andrew were thinking about going to the office. Andrew wanted to give a computer to","Then, Brian and Andrew were thinking about going to the office. Jeremy wanted to give a computer to","Then, Brian and Andrew were thinking about going to the office. Brian wanted to give a computer to",13337,11158
935,"Then, Anthony and Michelle had a long argument, and afterwards Michelle said to","Then, Anthony and Michelle had a long argument, and afterwards Jeremy said to","Then, Anthony and Michelle had a long argument, and afterwards Anthony said to",15857,25738
