clean,corrupted,clean_idx,corrupted_idx
The author that liked the senators has,No author that liked no senators has,1620,2455
The author that liked the senators has,No author that liked no senators has,1620,2455
No pilot that met no consultants has,The pilot that met the consultants has,2455,1620
The pilot that met the consultants has,No pilot that met no consultants has,1620,2455
The doctor that hated no guards has,No doctor that hated no guards has,1620,2455
No doctor that hated no guards has,The doctor that hated no guards has,2455,1620
The farmer that discussed no clerks has,No farmer that discussed no clerks has,1620,2455
No farmer that discussed no clerks has,The farmer that discussed no clerks has,2455,1620
The manager that loved no architects has,No manager that loved no architects has,1620,2455
The manager that loved no architects has,No manager that loved no architects has,1620,2455
No customer that liked no athletes has,The customer that liked the athletes has,2455,1620
No customer that liked no athletes has,The customer that liked the athletes has,2455,1620
The officer that met the actors has,No officer that met no actors has,1620,2455
No officer that met no actors has,The officer that met the actors has,2455,1620
The teacher that hated no ministers has,No teacher that hated no ministers has,1620,2455
No teacher that hated no ministers has,The teacher that hated no ministers has,2455,1620
The senator that admired no taxi drivers has,No senator that admired no taxi drivers has,1620,2455
No senator that admired no taxi drivers has,The senator that admired no taxi drivers has,2455,1620
The consultant that loved no secretaries has,No consultant that loved no secretaries has,1620,2455
No consultant that loved no secretaries has,The consultant that loved no secretaries has,2455,1620
The guard that liked the executives has,No guard that liked no executives has,1620,2455
No guard that liked no executives has,The guard that liked the executives has,2455,1620
No clerk that met no authors has,The clerk that met the authors has,2455,1620
The clerk that met the authors has,No clerk that met no authors has,1620,2455
No architect that hated no pilots has,The architect that hated no pilots has,2455,1620
The architect that hated no pilots has,No architect that hated no pilots has,1620,2455
No athlete that helped no doctors has,The athlete that helped the doctors has,2455,1620
No athlete that helped no doctors has,The athlete that helped the doctors has,2455,1620
The actor that loved no farmers has,No actor that loved no farmers has,1620,2455
The actor that loved no farmers has,No actor that loved no farmers has,1620,2455
No minister that liked no managers has,The minister that liked the managers has,2455,1620
No minister that liked no managers has,The minister that liked the managers has,2455,1620
No taxi driver that met no customers has,The taxi driver that met no customers has,2455,1620
No taxi driver that met no customers has,The taxi driver that met no customers has,2455,1620
No secretary that hated no officers has,The secretary that hated no officers has,2455,1620
The secretary that hated no officers has,No secretary that hated no officers has,1620,2455
The executive that discussed no teachers has,No executive that discussed no teachers has,1620,2455
The executive that discussed no teachers has,No executive that discussed no teachers has,1620,2455
No authors that loved no officer have,The authors that loved the officer have,2455,1620
The authors that loved the officer have,No authors that loved no officer have,1620,2455
The pilots that liked no teacher have,No pilots that liked no teacher have,1620,2455
The pilots that liked no teacher have,No pilots that liked no teacher have,1620,2455
The doctors that met no senator have,No doctors that met no senator have,1620,2455
The doctors that met no senator have,No doctors that met no senator have,1620,2455
No farmers that hated no consultant have,The farmers that hated no consultant have,2455,1620
No farmers that hated no consultant have,The farmers that hated no consultant have,2455,1620
No managers that respected no guard have,The managers that respected the guard have,2455,1620
The managers that respected the guard have,No managers that respected no guard have,1620,2455
The customers that loved no clerk have,No customers that loved no clerk have,1620,2455
No customers that loved no clerk have,The customers that loved no clerk have,2455,1620
No officers that liked no architect have,The officers that liked the architect have,2455,1620
The officers that liked the architect have,No officers that liked no architect have,1620,2455
The teachers that met no athlete have,No teachers that met no athlete have,1620,2455
No teachers that met no athlete have,The teachers that met no athlete have,2455,1620
No senators that hated no actor have,The senators that hated no actor have,2455,1620
No senators that hated no actor have,The senators that hated no actor have,2455,1620
No consultants that impressed no minister have,The consultants that impressed the minister have,2455,1620
The consultants that impressed the minister have,No consultants that impressed no minister have,1620,2455
The guards that loved no taxi driver have,No guards that loved no taxi driver have,1620,2455
The guards that loved no taxi driver have,No guards that loved no taxi driver have,1620,2455
The clerks that liked the secretary have,No clerks that liked no secretary have,1620,2455
The clerks that liked the secretary have,No clerks that liked no secretary have,1620,2455
The architects that met the executive have,No architects that met no executive have,1620,2455
The architects that met the executive have,No architects that met no executive have,1620,2455
No athletes that hated no pilot have,The athletes that hated no pilot have,2455,1620
The athletes that hated no pilot have,No athletes that hated no pilot have,1620,2455
The journalists that contacted no doctor have,No journalists that contacted no doctor have,1620,2455
The journalists that contacted no doctor have,No journalists that contacted no doctor have,1620,2455
The ministers that loved the farmer have,No ministers that loved no farmer have,1620,2455
The ministers that loved the farmer have,No ministers that loved no farmer have,1620,2455
No taxi drivers that liked no manager have,The taxi drivers that liked no manager have,2455,1620
The taxi drivers that liked no manager have,No taxi drivers that liked no manager have,1620,2455
No secretaries that met no customer have,The secretaries that met no customer have,2455,1620
The secretaries that met no customer have,No secretaries that met no customer have,1620,2455
The executives that hated no officer have,No executives that hated no officer have,1620,2455
No executives that hated no officer have,The executives that hated no officer have,2455,1620
