clean,corrupted,clean_idx,corrupted_idx
The author that liked the senators has had,No author that liked no senators has had,1509,1475
No author that liked no senators has had,The author that liked the senators has had,1475,1509
No pilot that praised no consultants has shown,The pilot that praised no consultants has shown,1475,1509
No pilot that praised no consultants has shown,The pilot that praised no consultants has shown,1475,1509
No surgeon that hated no guards has known,The surgeon that hated the guards has known,1475,1509
The surgeon that hated the guards has known,No surgeon that hated no guards has known,1509,1475
No farmer that discussed no clerks has had,The farmer that discussed no clerks has had,1475,1509
The farmer that discussed no clerks has had,No farmer that discussed no clerks has had,1509,1475
The manager that loved no architects has completed,No manager that loved no architects has completed,1509,1475
No manager that loved no architects has completed,The manager that loved no architects has completed,1475,1509
No customer that liked no managers has spent,The customer that liked no managers has spent,1475,1509
No customer that liked no managers has spent,The customer that liked no managers has spent,1475,1509
The officer that praised the journalists has had,No officer that praised no journalists has had,1509,1475
The officer that praised the journalists has had,No officer that praised no journalists has had,1509,1475
No teacher that hated no ministers has failed,The teacher that hated the ministers has failed,1475,1509
The teacher that hated the ministers has failed,No teacher that hated no ministers has failed,1509,1475
No senator that admired no taxi drivers has passed,The senator that admired no taxi drivers has passed,1475,1509
No senator that admired no taxi drivers has passed,The senator that admired no taxi drivers has passed,1475,1509
The consultant that loved the secretaries has passed up,No consultant that loved no secretaries has passed up,1509,1475
The consultant that loved the secretaries has passed up,No consultant that loved no secretaries has passed up,1509,1475
The guard that liked no executives has seen,No guard that liked no executives has seen,1509,1475
No guard that liked no executives has seen,The guard that liked no executives has seen,1475,1509
No chef that praised no authors has burned,The chef that praised the authors has burned,1475,1509
The chef that praised the authors has burned,No chef that praised no authors has burned,1509,1475
The architect that hated the pilots has had,No architect that hated no pilots has had,1509,1475
The architect that hated the pilots has had,No architect that hated no pilots has had,1509,1475
The athlete that helped no doctors has broken,No athlete that helped no doctors has broken,1509,1475
The athlete that helped no doctors has broken,No athlete that helped no doctors has broken,1509,1475
The dancer that loved no farmers has broken,No dancer that loved no farmers has broken,1509,1475
The dancer that loved no farmers has broken,No dancer that loved no farmers has broken,1509,1475
No minister that liked no managers has missed,The minister that liked the managers has missed,1475,1509
The minister that liked the managers has missed,No minister that liked no managers has missed,1509,1475
No taxi driver that praised no customers has crashed,The taxi driver that praised the customers has crashed,1475,1509
No taxi driver that praised no customers has crashed,The taxi driver that praised the customers has crashed,1475,1509
No assistant that hated no officers has missed,The assistant that hated no officers has missed,1475,1509
The assistant that hated no officers has missed,No assistant that hated no officers has missed,1509,1475
No executive that knew no teachers has fired,The executive that knew no teachers has fired,1475,1509
The executive that knew no teachers has fired,No executive that knew no teachers has fired,1509,1475
No authors that loved no officer have read,The authors that loved the officer have read,1475,1509
No authors that loved no officer have read,The authors that loved the officer have read,1475,1509
The pilots that liked no teacher have landed,No pilots that liked no teacher have landed,1509,1475
No pilots that liked no teacher have landed,The pilots that liked no teacher have landed,1475,1509
The doctors that praised no senator have failed,No doctors that praised no senator have failed,1509,1475
The doctors that praised no senator have failed,No doctors that praised no senator have failed,1509,1475
No farmers that hated no consultant have planted,The farmers that hated no consultant have planted,1475,1509
The farmers that hated no consultant have planted,No farmers that hated no consultant have planted,1509,1475
No managers that respected no guard have had,The managers that respected the guard have had,1475,1509
The managers that respected the guard have had,No managers that respected no guard have had,1509,1475
No customers that loved no chef have purchased,The customers that loved the chef have purchased,1475,1509
No customers that loved no chef have purchased,The customers that loved the chef have purchased,1475,1509
The officers that liked the architect have arrested,No officers that liked no architect have arrested,1509,1475
The officers that liked the architect have arrested,No officers that liked no architect have arrested,1509,1475
No teachers that praised no athlete have failed,The teachers that praised no athlete have failed,1475,1509
The teachers that praised no athlete have failed,No teachers that praised no athlete have failed,1509,1475
The senators that hated the dancer have passed,No senators that hated no dancer have passed,1509,1475
No senators that hated no dancer have passed,The senators that hated the dancer have passed,1475,1509
