clean,corrupted,clean_idx,corrupted_idx
The author that the senators liked has,No author that no senators liked has,2646,3596
The author that the senators liked has,No author that no senators liked has,2646,3596
No pilot that no consultants met has,The pilot that no consultants met has,3596,2646
The pilot that no consultants met has,No pilot that no consultants met has,2646,3596
No doctor that no guards hated has,The doctor that the guards hated has,3596,2646
No doctor that no guards hated has,The doctor that the guards hated has,3596,2646
The farmer that the clerks discussed has,No farmer that no clerks discussed has,2646,3596
No farmer that no clerks discussed has,The farmer that the clerks discussed has,3596,2646
No manager that no architects loved has,The manager that no architects loved has,3596,2646
No manager that no architects loved has,The manager that no architects loved has,3596,2646
No customer that no athletes liked has,The customer that the athletes liked has,3596,2646
No customer that no athletes liked has,The customer that the athletes liked has,3596,2646
No officer that no actors met has,The officer that no actors met has,3596,2646
The officer that no actors met has,No officer that no actors met has,2646,3596
No teacher that no ministers hated has,The teacher that no ministers hated has,3596,2646
No teacher that no ministers hated has,The teacher that no ministers hated has,3596,2646
No senator that no taxi drivers admired has,The senator that no taxi drivers admired has,3596,2646
No senator that no taxi drivers admired has,The senator that no taxi drivers admired has,3596,2646
No consultant that no secretaries loved has,The consultant that no secretaries loved has,3596,2646
No consultant that no secretaries loved has,The consultant that no secretaries loved has,3596,2646
The guard that the executives liked has,No guard that no executives liked has,2646,3596
No guard that no executives liked has,The guard that the executives liked has,3596,2646
The clerk that no authors met has,No clerk that no authors met has,2646,3596
No clerk that no authors met has,The clerk that no authors met has,3596,2646
No architect that no pilots hated has,The architect that no pilots hated has,3596,2646
The architect that no pilots hated has,No architect that no pilots hated has,2646,3596
No athlete that no doctors helped has,The athlete that no doctors helped has,3596,2646
The athlete that no doctors helped has,No athlete that no doctors helped has,2646,3596
The actor that no farmers loved has,No actor that no farmers loved has,2646,3596
No actor that no farmers loved has,The actor that no farmers loved has,3596,2646
The minister that the managers liked has,No minister that no managers liked has,2646,3596
No minister that no managers liked has,The minister that the managers liked has,3596,2646
The taxi driver that the customers met has,No taxi driver that no customers met has,2646,3596
The taxi driver that the customers met has,No taxi driver that no customers met has,2646,3596
The secretary that the officers hated has,No secretary that no officers hated has,2646,3596
The secretary that the officers hated has,No secretary that no officers hated has,2646,3596
The executive that the teachers discussed has,No executive that no teachers discussed has,2646,3596
The executive that the teachers discussed has,No executive that no teachers discussed has,2646,3596
The authors that the officer loved have,No authors that no officer loved have,2646,3596
The authors that the officer loved have,No authors that no officer loved have,2646,3596
No pilots that no teacher liked have,The pilots that no teacher liked have,3596,2646
No pilots that no teacher liked have,The pilots that no teacher liked have,3596,2646
No doctors that no senator met have,The doctors that no senator met have,3596,2646
The doctors that no senator met have,No doctors that no senator met have,2646,3596
The farmers that the consultant hated have,No farmers that no consultant hated have,2646,3596
No farmers that no consultant hated have,The farmers that the consultant hated have,3596,2646
No managers that no guard respected have,The managers that the guard respected have,3596,2646
No managers that no guard respected have,The managers that the guard respected have,3596,2646
No customers that no clerk loved have,The customers that no clerk loved have,3596,2646
The customers that no clerk loved have,No customers that no clerk loved have,2646,3596
No officers that no architect liked have,The officers that no architect liked have,3596,2646
The officers that no architect liked have,No officers that no architect liked have,2646,3596
The teachers that no athlete met have,No teachers that no athlete met have,2646,3596
The teachers that no athlete met have,No teachers that no athlete met have,2646,3596
The senators that no actor hated have,No senators that no actor hated have,2646,3596
No senators that no actor hated have,The senators that no actor hated have,3596,2646
No consultants that no minister impressed have,The consultants that no minister impressed have,3596,2646
No consultants that no minister impressed have,The consultants that no minister impressed have,3596,2646
No guards that no taxi driver loved have,The guards that the taxi driver loved have,3596,2646
The guards that the taxi driver loved have,No guards that no taxi driver loved have,2646,3596
The clerks that no secretary liked have,No clerks that no secretary liked have,2646,3596
The clerks that no secretary liked have,No clerks that no secretary liked have,2646,3596
No architects that no executive met have,The architects that no executive met have,3596,2646
The architects that no executive met have,No architects that no executive met have,2646,3596
No athletes that no pilot hated have,The athletes that no pilot hated have,3596,2646
No athletes that no pilot hated have,The athletes that no pilot hated have,3596,2646
No journalists that no doctor contacted have,The journalists that the doctor contacted have,3596,2646
No journalists that no doctor contacted have,The journalists that the doctor contacted have,3596,2646
No ministers that no farmer loved have,The ministers that the farmer loved have,3596,2646
The ministers that the farmer loved have,No ministers that no farmer loved have,2646,3596
No taxi drivers that no manager liked have,The taxi drivers that no manager liked have,3596,2646
No taxi drivers that no manager liked have,The taxi drivers that no manager liked have,3596,2646
The secretaries that no customer met have,No secretaries that no customer met have,2646,3596
The secretaries that no customer met have,No secretaries that no customer met have,2646,3596
No executives that no officer hated have,The executives that no officer hated have,3596,2646
No executives that no officer hated have,The executives that no officer hated have,3596,2646
