clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Kabul, the capital of",Kabul,Afghanistan,16111," Dodoma, the capital of",Dodoma,Tanzania,45914
" Tirana, the capital of",Tirana,Albania,31208," Montevideo, the capital of",Montevideo,Uruguay,530
" Algiers, the capital of",Algiers,Algeria,36364," Asmara, the capital of",Asmara,Eritrea,444
" Andorra la Vella, the capital of",Andorra la Vella,Andorra,1244," Tegucigalpa, the capital of",Tegucigalpa,Honduras,44509
" Luanda, the capital of",Luanda,Angola,4965," Baku, the capital of",Baku,Azerbaijan,46555
" Saint John's, the capital of",Saint John's,Antigua and Barbuda,9422," Port of Spain, the capital of",Port of Spain,Trinidad and Tobago,49057
" Buenos Aires, the capital of",Buenos Aires,Argentina,23881," Taipei, the capital of",Taipei,Taiwan,17975
" Yerevan, the capital of",Yerevan,Armenia,5360," Monrovia, the capital of",Monrovia,Liberia,15562
" Canberra, the capital of",Canberra,Australia,6976," Freetown, the capital of",Freetown,Sierra Leone,27434
" Vienna, the capital of",Vienna,Austria,21753," Madrid, the capital of",Madrid,Spain,11268
" Baku, the capital of",Baku,Azerbaijan,46555," Bucharest, the capital of",Bucharest,Romania,34262
" Nassau, the capital of",Nassau,Bahamas,21789," San Jose, the capital of",San Jose,Costa Rica,26002
" Manama, the capital of",Manama,Bahrain,21789," Abuja, the capital of",Abuja,Nigeria,23856
" Dhaka, the capital of",Dhaka,Bangladesh,29310," Dakar, the capital of",Dakar,Senegal,4673
" Bridgetown, the capital of",Bridgetown,Barbados,33782," Port of Spain, the capital of",Port of Spain,Trinidad and Tobago,49057
" Minsk, the capital of",Minsk,Belarus,6512," Asuncion, the capital of",Asuncion,Paraguay,2956
" Brussels, the capital of",Brussels,Belgium,22785," Tokyo, the capital of",Tokyo,Japan,4047
" Belmopan, the capital of",Belmopan,Belize,6512," Port Vila, the capital of",Port Vila,Vanuatu,10049
" Porto Novo, the capital of",Porto Novo,Benin,6029," Brazzaville, the capital of",Brazzaville,Congo,37642
" Thimphu, the capital of",Thimphu,Bhutan,26165," Abu Dhabi, the capital of",Abu Dhabi,UAE,45162
" La Paz, the capital of",La Paz,Bolivia,16001," Valletta, the capital of",Valletta,Malta,47832
" Sarajevo, the capital of",Sarajevo,Bosnia and Herzegovina,46795," Valletta, the capital of",Valletta,Malta,47832
" Gaborone, the capital of",Gaborone,Botswana,378," Bridgetown, the capital of",Bridgetown,Barbados,33782
" Brasilia, the capital of",Brasilia,Brazil,10869," Bucharest, the capital of",Bucharest,Romania,34262
