clean,corrupted,clean_idx,corrupted_idx
The author that liked the senators has had,No author that liked no senators has had,617,597
No author that liked no senators has had,The author that liked the senators has had,597,617
No pilot that praised no consultants has shown,The pilot that praised the consultants has shown,597,617
The pilot that praised the consultants has shown,No pilot that praised no consultants has shown,617,597
No surgeon that hated no guards has known,The surgeon that hated no guards has known,597,617
No surgeon that hated no guards has known,The surgeon that hated no guards has known,597,617
No farmer that discussed no clerks has had,The farmer that discussed the clerks has had,597,617
No farmer that discussed no clerks has had,The farmer that discussed the clerks has had,597,617
The manager that loved no architects has completed,No manager that loved no architects has completed,617,597
The manager that loved no architects has completed,No manager that loved no architects has completed,617,597
The customer that liked no managers has spent,No customer that liked no managers has spent,617,597
No customer that liked no managers has spent,The customer that liked no managers has spent,597,617
The officer that praised no journalists has had,No officer that praised no journalists has had,617,597
The officer that praised no journalists has had,No officer that praised no journalists has had,617,597
No teacher that hated no ministers has failed,The teacher that hated the ministers has failed,597,617
No teacher that hated no ministers has failed,The teacher that hated the ministers has failed,597,617
No senator that admired no taxi drivers has passed,The senator that admired the taxi drivers has passed,597,617
No senator that admired no taxi drivers has passed,The senator that admired the taxi drivers has passed,597,617
The consultant that loved no secretaries has passed up,No consultant that loved no secretaries has passed up,617,597
The consultant that loved no secretaries has passed up,No consultant that loved no secretaries has passed up,617,597
No guard that liked no executives has seen,The guard that liked the executives has seen,597,617
The guard that liked the executives has seen,No guard that liked no executives has seen,617,597
No chef that praised no authors has burned,The chef that praised the authors has burned,597,617
No chef that praised no authors has burned,The chef that praised the authors has burned,597,617
The architect that hated no pilots has had,No architect that hated no pilots has had,617,597
No architect that hated no pilots has had,The architect that hated no pilots has had,597,617
No athlete that helped no doctors has broken,The athlete that helped no doctors has broken,597,617
No athlete that helped no doctors has broken,The athlete that helped no doctors has broken,597,617
The dancer that loved the farmers has broken,No dancer that loved no farmers has broken,617,597
No dancer that loved no farmers has broken,The dancer that loved the farmers has broken,597,617
No minister that liked no managers has missed,The minister that liked the managers has missed,597,617
No minister that liked no managers has missed,The minister that liked the managers has missed,597,617
The taxi driver that praised no customers has crashed,No taxi driver that praised no customers has crashed,617,597
No taxi driver that praised no customers has crashed,The taxi driver that praised no customers has crashed,597,617
No assistant that hated no officers has missed,The assistant that hated the officers has missed,597,617
No assistant that hated no officers has missed,The assistant that hated the officers has missed,597,617
No executive that knew no teachers has fired,The executive that knew the teachers has fired,597,617
The executive that knew the teachers has fired,No executive that knew no teachers has fired,617,597
No authors that loved no officer have read,The authors that loved no officer have read,597,617
No authors that loved no officer have read,The authors that loved no officer have read,597,617
No pilots that liked no teacher have landed,The pilots that liked the teacher have landed,597,617
The pilots that liked the teacher have landed,No pilots that liked no teacher have landed,617,597
The doctors that praised no senator have failed,No doctors that praised no senator have failed,617,597
The doctors that praised no senator have failed,No doctors that praised no senator have failed,617,597
The farmers that hated no consultant have planted,No farmers that hated no consultant have planted,617,597
The farmers that hated no consultant have planted,No farmers that hated no consultant have planted,617,597
The managers that respected the guard have had,No managers that respected no guard have had,617,597
No managers that respected no guard have had,The managers that respected the guard have had,597,617
No customers that loved no chef have purchased,The customers that loved no chef have purchased,597,617
No customers that loved no chef have purchased,The customers that loved no chef have purchased,597,617
No officers that liked no architect have arrested,The officers that liked the architect have arrested,597,617
No officers that liked no architect have arrested,The officers that liked the architect have arrested,597,617
The teachers that praised the athlete have failed,No teachers that praised no athlete have failed,617,597
The teachers that praised the athlete have failed,No teachers that praised no athlete have failed,617,597
The senators that hated the dancer have passed,No senators that hated no dancer have passed,617,597
No senators that hated no dancer have passed,The senators that hated the dancer have passed,597,617
The consultants that impressed the minister have missed,No consultants that impressed no minister have missed,617,597
The consultants that impressed the minister have missed,No consultants that impressed no minister have missed,617,597
No guards that loved no taxi driver have caught,The guards that loved the taxi driver have caught,597,617
The guards that loved the taxi driver have caught,No guards that loved no taxi driver have caught,617,597
No clerks that liked no assistant have burned,The clerks that liked no assistant have burned,597,617
No clerks that liked no assistant have burned,The clerks that liked no assistant have burned,597,617
The architects that praised no executive have passed,No architects that praised no executive have passed,617,597
The architects that praised no executive have passed,No architects that praised no executive have passed,617,597
No athletes that hated no pilot have broken,The athletes that hated no pilot have broken,597,617
No athletes that hated no pilot have broken,The athletes that hated no pilot have broken,597,617
No journalists that contacted no surgeon have broken,The journalists that contacted no surgeon have broken,597,617
The journalists that contacted no surgeon have broken,No journalists that contacted no surgeon have broken,617,597
No ministers that loved no farmer have advocated,The ministers that loved the farmer have advocated,597,617
No ministers that loved no farmer have advocated,The ministers that loved the farmer have advocated,597,617
No taxi drivers that liked no manager have crashed,The taxi drivers that liked the manager have crashed,597,617
The taxi drivers that liked the manager have crashed,No taxi drivers that liked no manager have crashed,617,597
The secretaries that praised the customer have missed,No secretaries that praised no customer have missed,617,597
No secretaries that praised no customer have missed,The secretaries that praised the customer have missed,597,617
No executives that hated no officer have refused,The executives that hated no officer have refused,597,617
No executives that hated no officer have refused,The executives that hated no officer have refused,597,617
