clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Kabul, the capital of",Kabul,Afghanistan,21139," Manila, the capital of",Manila,Philippines,26363
" Tirana, the capital of",Tirana,Albania,95733," La Paz, the capital of",La Paz,Bolivia,77710
" Algiers, the capital of",Algiers,Algeria,81341," Tallinn, the capital of",Tallinn,Estonia,69462
" Andorra la Vella, the capital of",Andorra la Vella,Andorra,1628," Ulaanbaatar, the capital of",Ulaanbaatar,Mongolia,91850
" Luanda, the capital of",Luanda,Angola,98792," Brasilia, the capital of",Brasilia,Brazil,16327
" Saint John's, the capital of",Saint John's,Antigua and Barbuda,6898," Tbilisi, the capital of",Tbilisi,Georgia,16272
" Buenos Aires, the capital of",Buenos Aires,Argentina,32164," Guatemala City, the capital of",Guatemala City,Guatemala,63078
" Yerevan, the capital of",Yerevan,Armenia,72630," Gaborone, the capital of",Gaborone,Botswana,23869
" Canberra, the capital of",Canberra,Australia,8494," Ottawa, the capital of",Ottawa,Canada,7008
" Vienna, the capital of",Vienna,Austria,35998," Stockholm, the capital of",Stockholm,Sweden,24067
" Baku, the capital of",Baku,Azerbaijan,74577," Sao Tome, the capital of",Sao Tome,Sao Tome and Principe,90972
" Nassau, the capital of",Nassau,Bahamas,84229," Tripoli, the capital of",Tripoli,Libya,38059
" Manama, the capital of",Manama,Bahrain,66739," Minsk, the capital of",Minsk,Belarus,70606
" Dhaka, the capital of",Dhaka,Bangladesh,39601," Belgrade, the capital of",Belgrade,Serbia,59814
" Bridgetown, the capital of",Bridgetown,Barbados,47142," Mbabana, the capital of",Mbabana,Eswatini,469
" Minsk, the capital of",Minsk,Belarus,70606," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Brussels, the capital of",Brussels,Belgium,34061," Baghdad, the capital of",Baghdad,Iraq,11340
" Belmopan, the capital of",Belmopan,Belize,98104," Antananarivo, the capital of",Antananarivo,Madagascar,95728
" Porto Novo, the capital of",Porto Novo,Benin,7505," Asuncion, the capital of",Asuncion,Paraguay,4366
" Thimphu, the capital of",Thimphu,Bhutan,31930," Port Moresby, the capital of",Port Moresby,Papua New Guinea,90181
" La Paz, the capital of",La Paz,Bolivia,77710," Praia, the capital of",Praia,Cape Verde,29715
" Sarajevo, the capital of",Sarajevo,Bosnia and Herzegovina,77428," Montevideo, the capital of",Montevideo,Uruguay,73390
" Gaborone, the capital of",Gaborone,Botswana,23869," Kigali, the capital of",Kigali,Rwanda,79204
" Brasilia, the capital of",Brasilia,Brazil,16327," San Jose, the capital of",San Jose,Costa Rica,32380
" Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,3320," Yamoussoukro, the capital of",Yamoussoukro,Côte d'Ivoire,356
" Sofia, the capital of",Sofia,Bulgaria,59819," Amsterdam, the capital of",Amsterdam,Netherlands,26746
" Ouagadougou, the capital of",Ouagadougou,Burkina Faso,71740," Nay Pyi Taw, the capital of",Nay Pyi Taw,Myanmar,53455
" Gitega, the capital of",Gitega,Burundi,12649," Saint John's, the capital of",Saint John's,Antigua and Barbuda,6898
" Phnom Penh, the capital of",Phnom Penh,Cambodia,62138," Dushanbe, the capital of",Dushanbe,Tajikistan,67799
" Yaounde, the capital of",Yaounde,Cameroon,95108," Lusaka, the capital of",Lusaka,Zambia,95104
" Ottawa, the capital of",Ottawa,Canada,7008," Moscow, the capital of",Moscow,Russia,8524
" Praia, the capital of",Praia,Cape Verde,29715," Moroni, the capital of",Moroni,Comoros,1219
" Bangui, the capital of",Bangui,Central African Republic,10913," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" N'Djamena, the capital of",N'Djamena,Chad,43130," Nouakchott, the capital of",Nouakchott,Mauritania,89313
" Santiago, the capital of",Santiago,Chile,34100," Cairo, the capital of",Cairo,Egypt,15212
" Beijing, the capital of",Beijing,China,5734," Madrid, the capital of",Madrid,Spain,18157
" Bogota, the capital of",Bogota,Colombia,39133," Port Louis, the capital of",Port Louis,Mauritius,89313
" Moroni, the capital of",Moroni,Comoros,1219," Kingstown, the capital of",Kingstown,Saint Vincent and the Grenadines,14539
" Kinshasa, the capital of",Kinshasa,Democratic Republic of the Congo,11650," Tbilisi, the capital of",Tbilisi,Georgia,16272
" Brazzaville, the capital of",Brazzaville,Congo,54932," Addis Ababa, the capital of",Addis Ababa,Ethiopia,60457
" San Jose, the capital of",San Jose,Costa Rica,32380," Suva, the capital of",Suva,Fiji,86196
" Yamoussoukro, the capital of",Yamoussoukro,Côte d'Ivoire,356," Tegucigalpa, the capital of",Tegucigalpa,Honduras,71415
" Zagreb, the capital of",Zagreb,Croatia,58311," Accra, the capital of",Accra,Ghana,48668
" Havana, the capital of",Havana,Cuba,32777," London, the capital of",London,United Kingdom,3723
" Nicosia, the capital of",Nicosia,Cyprus,57784," Pristina, the capital of",Pristina,Kosovo,80997
" Prague, the capital of",Prague,Czech Republic,34250," Jerusalem, the capital of",Jerusalem,Israel,6921
" Copenhagen, the capital of",Copenhagen,Denmark,35440," Nairobi, the capital of",Nairobi,Kenya,37766
" Djibouti, the capital of",Djibouti,Djibouti,52162," Addis Ababa, the capital of",Addis Ababa,Ethiopia,60457
" Roseau, the capital of",Roseau,Dominica,23286," Dhaka, the capital of",Dhaka,Bangladesh,39601
" Santo Domingo, the capital of",Santo Domingo,Dominican Republic,67113," Nicosia, the capital of",Nicosia,Cyprus,57784
" Dili, the capital of",Dili,East Timor,6460," Kingstown, the capital of",Kingstown,Saint Vincent and the Grenadines,14539
" Quito, the capital of",Quito,Ecuador,55091," Manama, the capital of",Manama,Bahrain,66739
" Cairo, the capital of",Cairo,Egypt,15212," Prague, the capital of",Prague,Czech Republic,34250
" San Salvador, the capital of",San Salvador,El Salvador,4072," Mexico City, the capital of",Mexico City,Mexico,12550
" Malabo, the capital of",Malabo,Equatorial Guinea,11964," Tallinn, the capital of",Tallinn,Estonia,69462
" Asmara, the capital of",Asmara,Eritrea,469," Libreville, the capital of",Libreville,Gabon,24664
" Tallinn, the capital of",Tallinn,Estonia,69462," Suva, the capital of",Suva,Fiji,86196
" Mbabana, the capital of",Mbabana,Eswatini,469," Podgorica, the capital of",Podgorica,Montenegro,9995
" Addis Ababa, the capital of",Addis Ababa,Ethiopia,60457," Tarawa Atoll, the capital of",Tarawa Atoll,Kiribati,26608
" Palikir, the capital of",Palikir,Micronesia,28095," Sana'a, the capital of",Sana'a,Yemen,33790
" Suva, the capital of",Suva,Fiji,86196," Minsk, the capital of",Minsk,Belarus,70606
" Helsinki, the capital of",Helsinki,Finland,37355," Kiev, the capital of",Kiev,Ukraine,19278
