clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one fithory. Now there are two fith","First, there were two fithories. Now there is one fith",2771,929,fithory,fithories,0
"First, there were two fithories. Now there is one fith","First, there was one fithory. Now there are two fith",929,2771,fithory,fithories,1
"First, there was one favioty. Now there are two favio","First, there were two favioties. Now there is one favio",1112,756,favioty,favioties,0
"First, there were two favioties. Now there is one favio","First, there was one favioty. Now there are two favio",756,1112,favioty,favioties,1
"First, there was one utmesition. Now there are two utmes","First, there were two utmesitions. Now there is one utmes",26727,5914,utmesition,utmesitions,0
"First, there were two utmesitions. Now there is one utmes","First, there was one utmesition. Now there are two utmes",5914,26727,utmesition,utmesitions,1
"First, there was one robiu. Now there are two robi","First, there were two robius. Now there is one robi",553,235261,robiu,robius,0
"First, there were two robius. Now there is one robi","First, there was one robiu. Now there are two robi",235261,553,robiu,robius,1
"First, there was one irpharity. Now there are two irph","First, there were two irpharities. Now there is one irph",25121,25909,irpharity,irpharities,0
"First, there were two irpharities. Now there is one irph","First, there was one irpharity. Now there are two irph",25909,25121,irpharity,irpharities,1
"First, there was one somant. Now there are two som","First, there were two somants. Now there is one som",1834,741,somant,somants,0
"First, there were two somants. Now there is one som","First, there was one somant. Now there are two som",741,1834,somant,somants,1
"First, there was one monio. Now there are two mon","First, there were two monios. Now there is one mon",1876,536,monio,monios,0
"First, there were two monios. Now there is one mon","First, there was one monio. Now there are two mon",536,1876,monio,monios,1
"First, there was one mattext. Now there are two mat","First, there were two mattexts. Now there is one mat",37760,1082,mattext,mattexts,0
"First, there were two mattexts. Now there is one mat","First, there was one mattext. Now there are two mat",1082,37760,mattext,mattexts,1
"First, there was one vowse. Now there are two vow","First, there were two vowses. Now there is one vow",4279,497,vowse,vowses,0
"First, there were two vowses. Now there is one vow","First, there was one vowse. Now there are two vow",497,4279,vowse,vowses,1
"First, there was one memion. Now there are two mem","First, there were two memions. Now there is one mem",3014,587,memion,memions,0
"First, there were two memions. Now there is one mem","First, there was one memion. Now there are two mem",587,3014,memion,memions,1
"First, there was one proment. Now there are two pro","First, there were two proments. Now there is one pro",1132,677,proment,proments,0
"First, there were two proments. Now there is one pro","First, there was one proment. Now there are two pro",677,1132,proment,proments,1
"First, there was one trale. Now there are two tr","First, there were two trales. Now there is one tr",2325,1091,trale,trales,0
"First, there were two trales. Now there is one tr","First, there was one trale. Now there are two tr",1091,2325,trale,trales,1
"First, there was one urner. Now there are two urn","First, there were two urners. Now there is one urn",618,475,urner,urners,0
"First, there were two urners. Now there is one urn","First, there was one urner. Now there are two urn",475,618,urner,urners,1
"First, there was one presisate. Now there are two presis","First, there were two presisates. Now there is one presis",1204,607,presisate,presisates,0
"First, there were two presisates. Now there is one presis","First, there was one presisate. Now there are two presis",607,1204,presisate,presisates,1
"First, there was one flomity. Now there are two flom","First, there were two flomities. Now there is one flom",2796,684,flomity,flomities,0
"First, there were two flomities. Now there is one flom","First, there was one flomity. Now there are two flom",684,2796,flomity,flomities,1
"First, there was one collift. Now there are two col","First, there were two collifts. Now there is one col",114448,20252,collift,collifts,0
"First, there were two collifts. Now there is one col","First, there was one collift. Now there are two col",20252,114448,collift,collifts,1
"First, there was one revotian. Now there are two revo","First, there were two revotians. Now there is one revo",59442,10307,revotian,revotians,0
"First, there were two revotians. Now there is one revo","First, there was one revotian. Now there are two revo",10307,59442,revotian,revotians,1
"First, there was one trult. Now there are two tr","First, there were two trults. Now there is one tr",1797,855,trult,trults,0
"First, there were two trults. Now there is one tr","First, there was one trult. Now there are two tr",855,1797,trult,trults,1
"First, there was one beftness. Now there are two beft","First, there were two beftnesses. Now there is one beft",37166,1746,beftness,beftnesses,0
"First, there were two beftnesses. Now there is one beft","First, there was one beftness. Now there are two beft",1746,37166,beftness,beftnesses,1
"First, there was one sirtor. Now there are two sir","First, there were two sirtors. Now there is one sir",26985,4737,sirtor,sirtors,0
"First, there were two sirtors. Now there is one sir","First, there was one sirtor. Now there are two sir",4737,26985,sirtor,sirtors,1
"First, there was one reveak. Now there are two reve","First, there were two reveaks. Now there is one reve",11037,738,reveak,reveaks,0
"First, there were two reveaks. Now there is one reve","First, there was one reveak. Now there are two reve",738,11037,reveak,reveaks,1
"First, there was one panerdment. Now there are two panerd","First, there were two panerdments. Now there is one panerd",1132,677,panerdment,panerdments,0
"First, there were two panerdments. Now there is one panerd","First, there was one panerdment. Now there are two panerd",677,1132,panerdment,panerdments,1
"First, there was one wiek. Now there are two wie","First, there were two wieks. Now there is one wie",812,235273,wiek,wieks,0
"First, there were two wieks. Now there is one wie","First, there was one wiek. Now there are two wie",235273,812,wiek,wieks,1
"First, there was one awkess. Now there are two awk","First, there were two awkesses. Now there is one awk",35459,669,awkess,awkesses,0
"First, there were two awkesses. Now there is one awk","First, there was one awkess. Now there are two awk",669,35459,awkess,awkesses,1
"First, there was one erant. Now there are two er","First, there were two erants. Now there is one er",1834,741,erant,erants,0
"First, there were two erants. Now there is one er","First, there was one erant. Now there are two er",741,1834,erant,erants,1
"First, there was one swess. Now there are two sw","First, there were two swesses. Now there is one sw",35459,669,swess,swesses,0
"First, there were two swesses. Now there is one sw","First, there was one swess. Now there are two sw",669,35459,swess,swesses,1
"First, there was one moque. Now there are two mo","First, there were two moques. Now there is one mo",2433,1114,moque,moques,0
"First, there were two moques. Now there is one mo","First, there was one moque. Now there are two mo",1114,2433,moque,moques,1
"First, there was one trake. Now there are two tra","First, there were two trakes. Now there is one tra",2207,655,trake,trakes,0
"First, there were two trakes. Now there is one tra","First, there was one trake. Now there are two tra",655,2207,trake,trakes,1
"First, there was one fadle. Now there are two fad","First, there were two fadles. Now there is one fad",982,494,fadle,fadles,0
"First, there were two fadles. Now there is one fad","First, there was one fadle. Now there are two fad",494,982,fadle,fadles,1
