clean,corrupted,label,corrupted_label
"Jancee Dunn, a famous","Michael William Balfe, a famous",23672,40550
The official language in Humppila is,The official language in Falkland Islands is,58953,6498
" Takahiro Fujimoto, citizen of"," Andrea Sartoretti, citizen of",6457,15704
The official language in Torfaen is,The official language in Janakkala is,6498,58953
Cheyenne Kimball known for playing the,Theodor Kullak known for playing the,17418,27374
The official language in Akrotiri and Dhekelia is,The official language in Yamalo-Nenets Autonomous Okrug is,6498,8690
Jamie Cook known for playing the,Philip Glass known for playing the,17418,27374
" Albert Mathiez, citizen of"," Bille August, citizen of",9822,35440
" Yoshitsugu Matsuoka, citizen of"," Ritt Bjerregaard, citizen of",6457,35440
"Ron Rash, a famous","Mary Renault, a famous",40360,81747
"Kikunae Ikeda, a famous","Rannvijay Singh, a famous",8590,12360
"Maurice Nicoll, a famous","Suzanne Virdee, a famous",73969,23672
Allen Toussaint known for playing the,Max Rostal known for playing the,27374,63137
The official language in Aracena is,The official language in Laitila is,15506,58953
" Vesa Vierikko, citizen of"," Haakon V of Norway, citizen of",37355,32603
Bill Anschell known for playing the,Nick Didkovsky known for playing the,27374,17418
The official language in Vesanto is,The official language in Vevey is,58953,8753
Ry Cooder known for playing the,Clara Haskil known for playing the,17418,27374
The official language in Newfoundland and Labrador is,The official language in Vimpeli is,6498,58953
"Edward Braddon, a famous","Edward Frankland, a famous",37038,8590
The official language in United Nations is,The official language in Canary Islands is,6498,15506
The official language in Majorca is,The official language in Vevey is,81944,8753
"Guy Babylon, a famous","Christopher Guest, a famous",40550,51912
" Victor Pinchuk, citizen of"," Maria Wetterstrand, citizen of",19278,24067
Ed O'Brien known for playing the,Tom Waits known for playing the,17418,27374
The official language in Hankasalmi is,The official language in Solna Municipality is,58953,31209
"Michael McKell, a famous","Ctesias, a famous",12360,28378
The official language in Ghana is,The official language in Argentina is,6498,15506
Hamish Milne known for playing the,Carl Flesch known for playing the,27374,63137
"William Jennings Bryan, a famous","Chris Barrie, a famous",37038,51912
"Howard Sounes, a famous","Johnathon Schaech, a famous",23672,12360
" Manuel Carrasco, citizen of"," Harashima, citizen of",18157,6457
"Michelan Sisti, a famous","Chandan Mitra, a famous",12360,23672
" Jessy De Smet, citizen of"," Kinji Fukasaku, citizen of",34061,6457
" Manuel Uribe, citizen of"," Hans Magnus Ryan, citizen of",12550,32603
The official language in Nebraska is,The official language in Serbia is,6498,88264
The official language in Nousiainen is,The official language in Sambir is,58953,34725
The official language in Vaasa is,The official language in Haryana is,31209,45080
" Yohann Diniz, citizen of"," Shigeaki Ikeda, citizen of",9822,6457
" Henrik Zetterberg, citizen of"," Janne Korpi, citizen of",24067,37355
The official language in Jamshedpur is,The official language in Pomarkku is,45080,58953
" Alejandro Lerner, citizen of"," Giovanni Guidetti, citizen of",32164,15704
" Niamh Cusack, citizen of"," Sukhdev Thapar, citizen of",14990,6890
" Priska Doppmann, citizen of"," Mario Aldo Montano, citizen of",30221,15704
"Franco Albini, a famous","Santiago Segura, a famous",11726,12360
Terry Trotter known for playing the,Leroy Jones known for playing the,27374,92359
The official language in Cologny is,The official language in Kauniainen is,8753,58953
The official language in Kotka is,The official language in Vaasa is,58953,31209
Roy Hargrove known for playing the,Hamish Milne known for playing the,92359,27374
" Arsala Rahmani Daulat, citizen of"," Kishore Mahbubani, citizen of",21139,21181
" Prafulla Chandra Ghosh, citizen of"," Kazimierz Makarczyk, citizen of",6890,28702
"Martha Nussbaum, a famous","Bertold Hummel, a famous",55475,40550
Mike Shinoda known for playing the,Thad Jones known for playing the,27374,92359
The official language in Kemi is,The official language in Tamil Nadu is,58953,44883
"Nikolai Myaskovsky, a famous","Hassan ibn Thabit, a famous",40550,40360
" Henrique Maximiano Coelho Neto, citizen of"," Aleksejs Saramotins, citizen of",16327,79258
Jerry Donahue known for playing the,Otis Spann known for playing the,17418,27374
Robert Schumann known for playing the,Ed O'Brien known for playing the,27374,17418
" Abdul Malik Pahlawan, citizen of"," Larbi Benbarek, citizen of",21139,9822
Herbie Nichols known for playing the,Mark O'Connor known for playing the,27374,63137
The official language in Espoo is,The official language in Puerto Rico is,58953,15506
" Lars Paaske, citizen of"," Carlos Duarte Costa, citizen of",35440,16327
Darrell Leonard known for playing the,Harry Nilsson known for playing the,92359,27374
Paul McCartney known for playing the,Rob Barrett known for playing the,27374,17418
" Jeet Ganguly, citizen of"," Erwin Wurm, citizen of",6890,35998
The official language in Namibia is,The official language in Morges is,6498,8753
The official language in Juankoski is,The official language in Djibouti is,58953,8753
The official language in Hawaii is,The official language in Basel is,6498,6063
" Michel Aoun, citizen of"," Randy Bachman, citizen of",40371,7008
" Julieta Venegas, citizen of"," Yves Mirande, citizen of",12550,9822
" Gard Nilssen, citizen of"," Jan Dydak, citizen of",32603,28702
"Ron Grainer, a famous","Elmore Leonard, a famous",40550,81747
The official language in Switzerland is,The official language in Scotland is,6063,6498
" Jean Victor Marie Moreau, citizen of"," Jerzy Topolski, citizen of",9822,28702
The official language in Iran is,The official language in Cuba is,50961,15506
"James Arness, a famous","Edward Braddon, a famous",12360,37038
Jimi Hendrix known for playing the,Jeanne Lamon known for playing the,17418,63137
" Kinji Fukasaku, citizen of"," Juma Ikangaa, citizen of",6457,69894
" Rosario Flores, citizen of"," Fa Ngum, citizen of",18157,96844
"Herb Greene, a famous","Wes Bentley, a famous",29867,12360
The official language in Ranua is,The official language in Yukon is,58953,6498
The official language in Flemish Region is,The official language in British Antarctic Territory is,24113,6498
The official language in California is,The official language in Spain is,6498,15506
The official language in Serbia and Montenegro is,The official language in Nykarleby is,88264,31209
The official language in Huittinen is,The official language in Les Bois is,58953,8753
Pyotr Stolyarsky known for playing the,Tyshawn Sorey known for playing the,63137,27374
The official language in Turkey is,The official language in Argentina is,24666,15506
" Behar Shtylla, citizen of"," Ashim Ahluwalia, citizen of",95733,6890
The official language in North Kosovo is,The official language in Orbe is,88264,8753
"Nolan Gerard Funk, a famous","Habakkuk, a famous",12360,53604
" Hamad bin Khalifa Al Thani, citizen of"," K. R. Gowri Amma, citizen of",43018,6890
Elvis Presley known for playing the,Skylar Grey known for playing the,17418,27374
The official language in Commonwealth of Independent States is,The official language in L'Isle is,8690,8753
"James Elroy Flecker, a famous","Peter Macdissi, a famous",40360,12360
The official language in La Gomera is,The official language in Altai Krai is,15506,8690
"Giannina Braschi, a famous","Moammar Rana, a famous",40360,12360
The official language in Cameroon is,The official language in NATO is,8753,6498
" Jens Evensen, citizen of"," Harashima, citizen of",32603,6457
Speckled Red known for playing the,Eric Clapton known for playing the,27374,17418
" Blendi Nallbani, citizen of"," Ugo Rondinone, citizen of",95733,30221
The official language in Provence is,The official language in Vaasa is,8753,31209
" Nassib Lahoud, citizen of"," Thomas Bo Larsen, citizen of",40371,35440
" Atsunori Inaba, citizen of"," Edita Abdieski, citizen of",6457,30221
Carl Czerny known for playing the,Nick Didkovsky known for playing the,27374,17418
" Bruno Putzulu, citizen of"," Namadi Sambo, citizen of",9822,29258
The official language in Hirvensalmi is,The official language in Quetzaltenango is,58953,15506
" Tomoko Kawase, citizen of"," Abune Paulos, citizen of",6457,60457
The official language in Czech Republic is,The official language in Kolari is,34250,58953
" Albert II of Belgium, citizen of"," Apollo Milton Obote, citizen of",34061,58149
The official language in Lieksa is,The official language in Mistretta is,58953,15155
" Maria Adelaide Amaral, citizen of"," Desmond O'Malley, citizen of",16327,14990
" Mohammad Gharib, citizen of"," Kumiko Ogura, citizen of",10471,6457
"Robert Grudin, a famous","Thomas de Waal, a famous",55475,23672
"Edward Frankland, a famous","Steven Hartley, a famous",8590,12360
Mercer Ellington known for playing the,Geoff Eales known for playing the,92359,27374
The official language in Chhattisgarh is,The official language in Campione d'Italia is,45080,15155
Jimmy Rogers known for playing the,Billy Taylor known for playing the,17418,27374
Alice Coltrane known for playing the,George Enescu known for playing the,27374,63137
" Shardad Rohani, citizen of"," Alan Carvalho, citizen of",10471,16327
"Rannvijay Singh, a famous","Augustin-Jean Fresnel, a famous",12360,83323
Don Fagerquist known for playing the,George Gershwin known for playing the,92359,27374
" Dino Marcan, citizen of"," Eric Frenzel, citizen of",58311,10057
The official language in Suomussalmi is,The official language in Uddevalla Municipality is,58953,31209
John Petrucci known for playing the,Arve Henriksen known for playing the,17418,92359
Jimmy McCracklin known for playing the,Arve Henriksen known for playing the,27374,92359
" Kimio Yanagisawa, citizen of"," Abolfazl Jalili, citizen of",6457,10471
" Alfred Gusenbauer, citizen of"," Sugandha Garg, citizen of",35998,6890
The official language in Ukrainian Soviet Socialist Republic is,The official language in Trinidad and Tobago is,34725,6498
"Mori Arinori, a famous","Adelaide Crapsey, a famous",69050,40360
"Nick Nolte, a famous","Thomas W. Knox, a famous",12360,23672
" Mario Aldo Montano, citizen of"," Mateo Garralda, citizen of",15704,18157
Kathryn Selby known for playing the,Frederick Grinke known for playing the,27374,63137
The official language in New Brunswick is,The official language in Korpo is,6498,58953
"Annie Proulx, a famous","Julius Shulman, a famous",81747,11726
" Rahul Dev Burman, citizen of"," Miguel Barbachano, citizen of",6890,12550
The official language in Zhovti Vody is,The official language in Neklinovsky District is,34725,8690
The official language in Siikainen is,The official language in Newfoundland and Labrador is,58953,6498
The official language in Sonvilier is,The official language in Cadenazzo is,8753,15155
" Alejandro Bustillo, citizen of"," Tupeni Baba, citizen of",32164,86196
"Adolf Dymsza, a famous","Gregory Chamitoff, a famous",12360,47733
"Ellar Coltrane, a famous","Paruyr Sevak, a famous",12360,40360
" Mahmoud Fawzi, citizen of"," Henrik Zetterberg, citizen of",15212,24067
The official language in South Georgia and the South Sandwich Islands is,The official language in Republic of Bashkortostan is,6498,8690
"Jeff Beal, a famous","Edward Frankland, a famous",40550,8590
" Marc Lavoie, citizen of"," Rabah Bitat, citizen of",7008,81341
Scarlet Rivera known for playing the,Kris Allen known for playing the,63137,27374
The official language in Snezhinsk is,The official language in Izabal Department is,8690,15506
" Betiana Blum, citizen of"," Erika Miyoshi, citizen of",32164,6457
"Peter Jason, a famous","Mark Weiss, a famous",12360,29867
" Namadi Sambo, citizen of"," Fred Urquhart, citizen of",29258,7008
" Senkichi Taniguchi, citizen of"," Massimo D'Alema, citizen of",6457,15704
Marin Alsop known for playing the,Nikki Iles known for playing the,63137,27374
The official language in Campione d'Italia is,The official language in Molina de Segura is,15155,15506
"Henry Jackman, a famous","Boethius, a famous",40550,55475
Emanuel Ax known for playing the,Leonard Cohen known for playing the,27374,17418
" Kurt Waldheim, citizen of"," Hans Magnus Ryan, citizen of",35998,32603
The official language in Angola is,The official language in Guam is,43288,6498
Jack Sheldon known for playing the,Jimmy Rogers known for playing the,92359,17418
" Mohammad-Taqi Mesbah-Yazdi, citizen of"," Daniela Iraschko-Stolz, citizen of",10471,35998
"Sumanth, a famous","Edward Gregson, a famous",12360,40550
Marcelo Camelo known for playing the,Erik Truffaz known for playing the,17418,92359
" Johann Wolfgang von Goethe, citizen of"," Priska Doppmann, citizen of",56284,30221
" Habib el-Adly, citizen of"," Haakon V of Norway, citizen of",15212,32603
The official language in Tennessee is,The official language in Portugal is,6498,43288
