clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", diamonds and other",diamonds,gem,"['gem', 'gems']","[16915, 42776]",", drums and other",drums,instrument,"['musical', 'instruments']","[12256, 13225]",diamonds are a type of,drums are a type of
", rubies and other",rubies,gem,"['gem', 'gems']","[16915, 42776]",", new age and other",new age,music,['music'],[3440],rubies are a type of,new age is a type of
", emeralds and other",emeralds,gem,"['gem', 'gems']","[16915, 42776]",", guppy and other",guppy,fish,"['fish', 'fishes']","[6773, 49720]",emeralds are a type of,guppy are a type of
", sapphires and other",sapphires,gem,"['gem', 'gems']","[16915, 42776]",", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",sapphires are a type of,condominiums are a type of
", pearls and other",pearls,gem,"['gem', 'gems']","[16915, 42776]",", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[18098, 9279]",pearls are a type of,blueberries are a type of
", gemstones and other",gemstones,gem,"['gem', 'gems']","[16915, 42776]",", harps and other",harps,instrument,"['musical', 'instruments']","[12256, 13225]",gemstones are a type of,harps are a type of
", amethysts and other",amethysts,gem,"['gem', 'gems']","[16915, 42776]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[10544, 13557]",amethysts are a type of,secretaries of state are a type of
", opals and other",opals,gem,"['gem', 'gems']","[16915, 42776]",", second cousins and other",second cousins,relative,"['relatives', 'family']","[17772, 2021]",opals are a type of,second cousins are a type of
", topazs and other",topazs,gem,"['gem', 'gems']","[16915, 42776]",", South africa and other",South africa,country,"['countries', 'country']","[4343, 2586]",topazs are a type of,South africa is a type of
", garnets and other",garnets,gem,"['gem', 'gems']","[16915, 42776]",", irides and other",irides,flower,"['flowers', 'flowering']","[12405, 37958]",garnets are a type of,irides are a type of
", jades and other",jades,gem,"['gem', 'gems']","[16915, 42776]",", softball and other",softball,sport,['sports'],[9001],jades are a type of,softball is a type of
", quartzs and other",quartzs,gem,"['gem', 'gems']","[16915, 42776]",", turnips and other",turnips,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",quartzs are a type of,turnips are a type of
", turquoises and other",turquoises,gem,"['gem', 'gems']","[16915, 42776]",", french horns and other",french horns,instrument,"['musical', 'instruments']","[12256, 13225]",turquoises are a type of,french horns are a type of
", hours and other",hours,time,"['time', 'units']","[673, 5085]",", roses and other",roses,flower,"['flowers', 'flowering']","[12405, 37958]",hours are a type of,roses are a type of
", secs and other",secs,time,"['time', 'units']","[673, 5085]",", grandmothers and other",grandmothers,relative,"['relatives', 'family']","[17772, 2021]",secs are a type of,grandmothers are a type of
", minutes and other",minutes,time,"['time', 'units']","[673, 5085]",", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",minutes are a type of,centimeters are a type of
", years and other",years,time,"['time', 'units']","[673, 5085]",", cents and other",cents,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",years are a type of,cents are a type of
", days and other",days,time,"['time', 'units']","[673, 5085]",", dance and other",dance,music,['music'],[3440],days are a type of,dance is a type of
", months and other",months,time,"['time', 'units']","[673, 5085]",", coats and other",coats,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",months are a type of,coats are a type of
", decades and other",decades,time,"['time', 'units']","[673, 5085]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",decades are a type of,chickens are a type of
", centuries and other",centuries,time,"['time', 'units']","[673, 5085]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",centuries are a type of,chickens are a type of
", weeks and other",weeks,time,"['time', 'units']","[673, 5085]",", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",weeks are a type of,apples are a type of
", milliseconds and other",milliseconds,time,"['time', 'units']","[673, 5085]",", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",milliseconds are a type of,lawyers are a type of
", millenniums and other",millenniums,time,"['time', 'units']","[673, 5085]",", pansies and other",pansies,flower,"['flowers', 'flowering']","[12405, 37958]",millenniums are a type of,pansies are a type of
", nanoseconds and other",nanoseconds,time,"['time', 'units']","[673, 5085]",", guppy and other",guppy,fish,"['fish', 'fishes']","[6773, 49720]",nanoseconds are a type of,guppy are a type of
", eons and other",eons,time,"['time', 'units']","[673, 5085]",", zebras and other",zebras,animal,['animals'],[5074],eons are a type of,zebras are a type of
", uncles and other",uncles,relative,"['relatives', 'family']","[17772, 2021]",", barges and other",barges,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]",uncles are a type of,barges are a type of
", aunts and other",aunts,relative,"['relatives', 'family']","[17772, 2021]",", gnats and other",gnats,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",aunts are a type of,gnats are a type of
", cousins and other",cousins,relative,"['relatives', 'family']","[17772, 2021]",", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",cousins are a type of,inches are a type of
", mothers and other",mothers,relative,"['relatives', 'family']","[17772, 2021]",", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",mothers are a type of,dollars are a type of
", grandmoms and other",grandmoms,relative,"['relatives', 'family']","[17772, 2021]",", water polo and other",water polo,sport,['sports'],[9001],grandmoms are a type of,water polo is a type of
", grandmothers and other",grandmothers,relative,"['relatives', 'family']","[17772, 2021]",", secs and other",secs,time,"['time', 'units']","[673, 5085]",grandmothers are a type of,secs are a type of
", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[17772, 2021]",", green beans and other",green beans,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",grandfathers are a type of,green beans are a type of
", fathers and other",fathers,relative,"['relatives', 'family']","[17772, 2021]",", houses and other",houses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",fathers are a type of,houses are a type of
", granddads and other",granddads,relative,"['relatives', 'family']","[17772, 2021]",", undershirts and other",undershirts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",granddads are a type of,undershirts are a type of
", sisters and other",sisters,relative,"['relatives', 'family']","[17772, 2021]",", pumps and other",pumps,footwear,['footwear'],[3174],sisters are a type of,pumps are a type of
", brethren and other",brethren,relative,"['relatives', 'family']","[17772, 2021]",", organs and other",organs,instrument,"['musical', 'instruments']","[12256, 13225]",brethren are a type of,organs are a type of
", nieces and other",nieces,relative,"['relatives', 'family']","[17772, 2021]",", rubies and other",rubies,gem,"['gem', 'gems']","[16915, 42776]",nieces are a type of,rubies are a type of
", nephews and other",nephews,relative,"['relatives', 'family']","[17772, 2021]",", reggae and other",reggae,music,['music'],[3440],nephews are a type of,reggae is a type of
", great aunts and other",great aunts,relative,"['relatives', 'family']","[17772, 2021]",", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",great aunts are a type of,brass knuckles are a type of
", grandparents and other",grandparents,relative,"['relatives', 'family']","[17772, 2021]",", speeding and other",speeding,crime,"['crimes', 'crime']","[12137, 6617]",grandparents are a type of,speeding is a type of
", great grandmothers and other",great grandmothers,relative,"['relatives', 'family']","[17772, 2021]",", piranha and other",piranha,fish,"['fish', 'fishes']","[6773, 49720]",great grandmothers are a type of,piranha are a type of
