clean,corrupted,correct_idx
The testing lasted from the year 1759 to the year 17,The testing lasted from the year 1701 to the year 17,59
The effect lasted from the year 1117 to the year 11,The effect lasted from the year 1101 to the year 11,17
The trip lasted from the year 1534 to the year 15,The trip lasted from the year 1501 to the year 15,34
The project lasted from the year 1376 to the year 13,The project lasted from the year 1301 to the year 13,76
The deal lasted from the year 1777 to the year 17,The deal lasted from the year 1701 to the year 17,77
The trial lasted from the year 1316 to the year 13,The trial lasted from the year 1301 to the year 13,16
The program lasted from the year 1309 to the year 13,The program lasted from the year 1301 to the year 13,9
The shift lasted from the year 1220 to the year 12,The shift lasted from the year 1201 to the year 12,20
The contract lasted from the year 1665 to the year 16,The contract lasted from the year 1601 to the year 16,65
The testing lasted from the year 1621 to the year 16,The testing lasted from the year 1601 to the year 16,21
The contract lasted from the year 1334 to the year 13,The contract lasted from the year 1301 to the year 13,34
The deal lasted from the year 1533 to the year 15,The deal lasted from the year 1501 to the year 15,33
The relationship lasted from the year 1243 to the year 12,The relationship lasted from the year 1201 to the year 12,43
The trial lasted from the year 1546 to the year 15,The trial lasted from the year 1501 to the year 15,46
The exchange lasted from the year 1665 to the year 16,The exchange lasted from the year 1601 to the year 16,65
The contact lasted from the year 1285 to the year 12,The contact lasted from the year 1201 to the year 12,85
The testing lasted from the year 1192 to the year 11,The testing lasted from the year 1101 to the year 11,92
The fall lasted from the year 1303 to the year 13,The fall lasted from the year 1301 to the year 13,3
The outcome lasted from the year 1642 to the year 16,The outcome lasted from the year 1601 to the year 16,42
The tour lasted from the year 1742 to the year 17,The tour lasted from the year 1701 to the year 17,42
The therapy lasted from the year 1669 to the year 16,The therapy lasted from the year 1601 to the year 16,69
The practice lasted from the year 1418 to the year 14,The practice lasted from the year 1401 to the year 14,18
The existence lasted from the year 1498 to the year 14,The existence lasted from the year 1401 to the year 14,98
The test lasted from the year 1585 to the year 15,The test lasted from the year 1501 to the year 15,85
The rule lasted from the year 1793 to the year 17,The rule lasted from the year 1701 to the year 17,93
The challenge lasted from the year 1184 to the year 11,The challenge lasted from the year 1101 to the year 11,84
The growth lasted from the year 1668 to the year 16,The growth lasted from the year 1601 to the year 16,68
The project lasted from the year 1466 to the year 14,The project lasted from the year 1401 to the year 14,66
The assessment lasted from the year 1459 to the year 14,The assessment lasted from the year 1401 to the year 14,59
The practice lasted from the year 1795 to the year 17,The practice lasted from the year 1701 to the year 17,95
The construction lasted from the year 1139 to the year 11,The construction lasted from the year 1101 to the year 11,39
The therapy lasted from the year 1307 to the year 13,The therapy lasted from the year 1301 to the year 13,7
The program lasted from the year 1498 to the year 14,The program lasted from the year 1401 to the year 14,98
The increase lasted from the year 1596 to the year 15,The increase lasted from the year 1501 to the year 15,96
The case lasted from the year 1773 to the year 17,The case lasted from the year 1701 to the year 17,73
The rule lasted from the year 1141 to the year 11,The rule lasted from the year 1101 to the year 11,41
The existence lasted from the year 1227 to the year 12,The existence lasted from the year 1201 to the year 12,27
The campaign lasted from the year 1710 to the year 17,The campaign lasted from the year 1701 to the year 17,10
The tour lasted from the year 1312 to the year 13,The tour lasted from the year 1301 to the year 13,12
The growth lasted from the year 1170 to the year 11,The growth lasted from the year 1101 to the year 11,70
The case lasted from the year 1421 to the year 14,The case lasted from the year 1401 to the year 14,21
The tests lasted from the year 1125 to the year 11,The tests lasted from the year 1101 to the year 11,25
The tour lasted from the year 1253 to the year 12,The tour lasted from the year 1201 to the year 12,53
The evaluation lasted from the year 1753 to the year 17,The evaluation lasted from the year 1701 to the year 17,53
The order lasted from the year 1170 to the year 11,The order lasted from the year 1101 to the year 11,70
The challenge lasted from the year 1147 to the year 11,The challenge lasted from the year 1101 to the year 11,47
The trip lasted from the year 1665 to the year 16,The trip lasted from the year 1601 to the year 16,65
The shift lasted from the year 1202 to the year 12,The shift lasted from the year 1201 to the year 12,2
The campaign lasted from the year 1433 to the year 14,The campaign lasted from the year 1401 to the year 14,33
The program lasted from the year 1258 to the year 12,The program lasted from the year 1201 to the year 12,58
The evaluation lasted from the year 1129 to the year 11,The evaluation lasted from the year 1101 to the year 11,29
The increase lasted from the year 1357 to the year 13,The increase lasted from the year 1301 to the year 13,57
The contact lasted from the year 1540 to the year 15,The contact lasted from the year 1501 to the year 15,40
The process lasted from the year 1458 to the year 14,The process lasted from the year 1401 to the year 14,58
The evaluation lasted from the year 1550 to the year 15,The evaluation lasted from the year 1501 to the year 15,50
The construction lasted from the year 1147 to the year 11,The construction lasted from the year 1101 to the year 11,47
The attack lasted from the year 1624 to the year 16,The attack lasted from the year 1601 to the year 16,24
The case lasted from the year 1395 to the year 13,The case lasted from the year 1301 to the year 13,95
The project lasted from the year 1262 to the year 12,The project lasted from the year 1201 to the year 12,62
The existence lasted from the year 1349 to the year 13,The existence lasted from the year 1301 to the year 13,49
The fall lasted from the year 1588 to the year 15,The fall lasted from the year 1501 to the year 15,88
The trip lasted from the year 1609 to the year 16,The trip lasted from the year 1601 to the year 16,9
The rise lasted from the year 1464 to the year 14,The rise lasted from the year 1401 to the year 14,64
The exchange lasted from the year 1347 to the year 13,The exchange lasted from the year 1301 to the year 13,47
The attack lasted from the year 1534 to the year 15,The attack lasted from the year 1501 to the year 15,34
The practice lasted from the year 1379 to the year 13,The practice lasted from the year 1301 to the year 13,79
The fall lasted from the year 1215 to the year 12,The fall lasted from the year 1201 to the year 12,15
The trip lasted from the year 1107 to the year 11,The trip lasted from the year 1101 to the year 11,7
