clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one utetornity. Now there are two utetorn","First, there were two utetornities. Now there is one utetorn",1361,487,utetornity,utetornities,0
"First, there were two utetornities. Now there is one utetorn","First, there was one utetornity. Now there are two utetorn",487,1361,utetornity,utetornities,1
"First, there was one fithory. Now there are two fith","First, there were two fithories. Now there is one fith",2433,679,fithory,fithories,0
"First, there were two fithories. Now there is one fith","First, there was one fithory. Now there are two fith",679,2433,fithory,fithories,1
"First, there was one favioty. Now there are two faviot","First, there were two favioties. Now there is one faviot",550,88,favioty,favioties,0
"First, there were two favioties. Now there is one faviot","First, there was one favioty. Now there are two faviot",88,550,favioty,favioties,1
"First, there was one utmesition. Now there are two utmes","First, there were two utmesitions. Now there is one utmes",5930,680,utmesition,utmesitions,0
"First, there were two utmesitions. Now there is one utmes","First, there was one utmesition. Now there are two utmes",680,5930,utmesition,utmesitions,1
"First, there was one robiu. Now there are two robi","First, there were two robius. Now there is one robi",355,84,robiu,robius,0
"First, there were two robius. Now there is one robi","First, there was one robiu. Now there are two robi",84,355,robiu,robius,1
"First, there was one cunwre. Now there are two cunw","First, there were two cunwres. Now there is one cunw",416,265,cunwre,cunwres,0
"First, there were two cunwres. Now there is one cunw","First, there was one cunwre. Now there are two cunw",265,416,cunwre,cunwres,1
"First, there was one somant. Now there are two som","First, there were two somants. Now there is one som",1783,517,somant,somants,0
"First, there were two somants. Now there is one som","First, there was one somant. Now there are two som",517,1783,somant,somants,1
"First, there was one monio. Now there are two mon","First, there were two monios. Now there is one mon",3530,815,monio,monios,0
"First, there were two monios. Now there is one mon","First, there was one monio. Now there are two mon",815,3530,monio,monios,1
"First, there was one mattext. Now there are two mat","First, there were two mattexts. Now there is one mat",85942,1318,mattext,mattexts,0
"First, there were two mattexts. Now there is one mat","First, there was one mattext. Now there are two mat",1318,85942,mattext,mattexts,1
"First, there was one pran. Now there are two pr","First, there were two prans. Now there is one pr",596,276,pran,prans,0
"First, there were two prans. Now there is one pr","First, there was one pran. Now there are two pr",276,596,pran,prans,1
"First, there was one memion. Now there are two mem","First, there were two memions. Now there is one mem",908,290,memion,memions,0
