,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
69,"Then, Nicholas and Melissa had a long argument, and afterwards Nicholas said to","Then, Nicholas and Melissa had a long argument, and afterwards Paul said to","Then, Nicholas and Melissa had a long argument, and afterwards Melissa said to",52521,34218
455,"Then, Kimberly and Amy had a long argument, and afterwards Amy said to","Then, Kimberly and Amy had a long argument, and afterwards Lisa said to","Then, Kimberly and Amy had a long argument, and afterwards Kimberly said to",102292,27161
352,"Then, Richard and Kimberly were thinking about going to the store. Richard wanted to give a computer to","Then, Richard and Kimberly were thinking about going to the store. Scott wanted to give a computer to","Then, Richard and Kimberly were thinking about going to the store. Kimberly wanted to give a computer to",102292,9135
692,"Then, Travis and Jason went to the school. Jason gave a kiss to","Then, Travis and Jason went to the school. Jesse gave a kiss to","Then, Travis and Jason went to the school. Travis gave a kiss to",52664,23019
788,"Then, Laura and Scott were thinking about going to the hospital. Scott wanted to give a bone to","Then, Laura and Scott were thinking about going to the hospital. Jessica wanted to give a bone to","Then, Laura and Scott were thinking about going to the hospital. Laura wanted to give a bone to",24277,12511
681,"Then, Angela and Aaron were working at the garden. Angela decided to give a basketball to","Then, Angela and Aaron were working at the garden. Vanessa decided to give a basketball to","Then, Angela and Aaron were working at the garden. Aaron decided to give a basketball to",32057,43971
959,"After Heather and Ashley went to the restaurant, Ashley gave a basketball to","After Heather and Ashley went to the restaurant, Katie gave a basketball to","After Heather and Ashley went to the restaurant, Heather gave a basketball to",51593,42702
47,"Then, Jamie and Kenneth had a lot of fun at the office. Jamie gave a basketball to","Then, Jamie and Kenneth had a lot of fun at the office. Samantha gave a basketball to","Then, Jamie and Kenneth had a lot of fun at the office. Kenneth gave a basketball to",40980,40742
707,"Then, Alicia and Lauren were thinking about going to the school. Lauren wanted to give a necklace to","Then, Alicia and Lauren were thinking about going to the school. Amy wanted to give a necklace to","Then, Alicia and Lauren were thinking about going to the school. Alicia wanted to give a necklace to",77804,31868
813,"Then, Jeremy and Timothy had a lot of fun at the station. Jeremy gave a computer to","Then, Jeremy and Timothy had a lot of fun at the station. Kimberly gave a computer to","Then, Jeremy and Timothy had a lot of fun at the station. Timothy gave a computer to",44708,42219
501,"After Allison and Gregory went to the hospital, Allison gave a drink to","After Allison and Gregory went to the hospital, Justin gave a drink to","After Allison and Gregory went to the hospital, Gregory gave a drink to",39706,64426
1,"After Tyler and Megan went to the station, Tyler gave a basketball to","After Tyler and Megan went to the station, Jonathan gave a basketball to","After Tyler and Megan went to the station, Megan gave a basketball to",58914,35975
75,"Then, Stephen and Crystal had a long argument, and afterwards Stephen said to","Then, Stephen and Crystal had a long argument, and afterwards Justin said to","Then, Stephen and Crystal had a long argument, and afterwards Crystal said to",28166,18653
121,"Then, Sara and Jeremy had a long argument, and afterwards Sara said to","Then, Sara and Jeremy had a long argument, and afterwards Brian said to","Then, Sara and Jeremy had a long argument, and afterwards Jeremy said to",42219,34315
700,"Then, Justin and Alexander had a lot of fun at the garden. Justin gave a necklace to","Then, Justin and Alexander had a lot of fun at the garden. David gave a necklace to","Then, Justin and Alexander had a lot of fun at the garden. Alexander gave a necklace to",16188,27031
