clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" diamonds, and other",diamonds,gem,"['gem', 'gems']","[18747, 42158]"," Ireland, and other",Ireland,country,"['countries', 'country']","[5837, 3146]"
" rubies, and other",rubies,gem,"['gem', 'gems']","[18747, 42158]"," pines, and other",pines,tree,['trees'],[12408]
" emeralds, and other",emeralds,gem,"['gem', 'gems']","[18747, 42158]"," angelfish, and other",angelfish,fish,"['fish', 'fishes']","[7640, 94361]"
" sapphires, and other",sapphires,gem,"['gem', 'gems']","[18747, 42158]"," woodpeckers, and other",woodpeckers,bird,"['birds', 'bird']","[19654, 11958]"
" pearls, and other",pearls,gem,"['gem', 'gems']","[18747, 42158]"," track, and other",track,sport,['sports'],[9833]
" gemstones, and other",gemstones,gem,"['gem', 'gems']","[18747, 42158]"," aunts, and other",aunts,relative,"['relatives', 'family']","[28558, 2997]"
" amethysts, and other",amethysts,gem,"['gem', 'gems']","[18747, 42158]"," great uncles, and other",great uncles,relative,"['relatives', 'family']","[28558, 2997]"
" opals, and other",opals,gem,"['gem', 'gems']","[18747, 42158]"," limes, and other",limes,fruit,"['fruits', 'fruit']","[25322, 13779]"
" topazs, and other",topazs,gem,"['gem', 'gems']","[18747, 42158]"," cymbals, and other",cymbals,instrument,"['musical', 'instruments']","[17795, 23316]"
" garnets, and other",garnets,gem,"['gem', 'gems']","[18747, 42158]"," shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"
" jades, and other",jades,gem,"['gem', 'gems']","[18747, 42158]"," nieces, and other",nieces,relative,"['relatives', 'family']","[28558, 2997]"
" quartzs, and other",quartzs,gem,"['gem', 'gems']","[18747, 42158]"," pontoons, and other",pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" turquoises, and other",turquoises,gem,"['gem', 'gems']","[18747, 42158]"," caterpillars, and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[40811, 25989, 22551]"
" hours, and other",hours,time,"['time', 'units']","[882, 8153]"," turtles, and other",turtles,animal,['animals'],[9898]
" secs, and other",secs,time,"['time', 'units']","[882, 8153]"," roses, and other",roses,flower,"['flowers', 'flowering']","[19281, 81239]"
" minutes, and other",minutes,time,"['time', 'units']","[882, 8153]"," celery, and other",celery,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" years, and other",years,time,"['time', 'units']","[882, 8153]"," soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"
" days, and other",days,time,"['time', 'units']","[882, 8153]"," battery, and other",battery,crime,"['crimes', 'crime']","[16660, 9778]"
" months, and other",months,time,"['time', 'units']","[882, 8153]"," alternative, and other",alternative,music,['music'],[4627]
" decades, and other",decades,time,"['time', 'units']","[882, 8153]"," guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" centuries, and other",centuries,time,"['time', 'units']","[882, 8153]"," grapes, and other",grapes,fruit,"['fruits', 'fruit']","[25322, 13779]"
" weeks, and other",weeks,time,"['time', 'units']","[882, 8153]"," punk, and other",punk,music,['music'],[4627]
" milliseconds, and other",milliseconds,time,"['time', 'units']","[882, 8153]"," baseball, and other",baseball,sport,['sports'],[9833]
" millenniums, and other",millenniums,time,"['time', 'units']","[882, 8153]"," tulips, and other",tulips,flower,"['flowers', 'flowering']","[19281, 81239]"
" nanoseconds, and other",nanoseconds,time,"['time', 'units']","[882, 8153]"," sanders, and other",sanders,tool,['tools'],[7375]
" eons, and other",eons,time,"['time', 'units']","[882, 8153]"," minnow, and other",minnow,fish,"['fish', 'fishes']","[7640, 94361]"
" uncles, and other",uncles,relative,"['relatives', 'family']","[28558, 2997]"," hamsters, and other",hamsters,animal,['animals'],[9898]
" aunts, and other",aunts,relative,"['relatives', 'family']","[28558, 2997]"," yachts, and other",yachts,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" cousins, and other",cousins,relative,"['relatives', 'family']","[28558, 2997]"," deer, and other",deer,animal,['animals'],[9898]
" mothers, and other",mothers,relative,"['relatives', 'family']","[28558, 2997]"," trout, and other",trout,fish,"['fish', 'fishes']","[7640, 94361]"
" grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[28558, 2997]"," bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[28558, 2997]"," racquetball, and other",racquetball,sport,['sports'],[9833]
" grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[28558, 2997]"," brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
