clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Afghanistan, whose capital,",Afghanistan,Kabul,87645," Norway, whose capital,",Norway,Oslo,58958
" Albania, whose capital,",Albania,Tirana,83655," Peru, whose capital,",Peru,Lima,63053
" Algeria, whose capital,",Algeria,Algiers,82299," Yemen, whose capital,",Yemen,Sana'a,328
" Andorra, whose capital,",Andorra,Andorra la Vella,1628," Marshall Islands, whose capital,",Marshall Islands,Majuro,31779
" Angola, whose capital,",Angola,Luanda,18866," Romania, whose capital,",Romania,Bucharest,34378
" Antigua and Barbuda, whose capital,",Antigua and Barbuda,Saint John's,14539," Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,13951
" Argentina, whose capital,",Argentina,Buenos Aires,69173," Finland, whose capital,",Finland,Helsinki,77434
" Armenia, whose capital,",Armenia,Yerevan,816," Iceland, whose capital,",Iceland,Reykjavik,49312
" Australia, whose capital,",Australia,Canberra,69890," Thailand, whose capital,",Thailand,Bangkok,60116
" Austria, whose capital,",Austria,Vienna,47387," Kosovo, whose capital,",Kosovo,Pristina,2394
" Azerbaijan, whose capital,",Azerbaijan,Baku,426," Niger, whose capital,",Niger,Niamey,22652
" Bahamas, whose capital,",Bahamas,Nassau,73002," Belarus, whose capital,",Belarus,Minsk,386
" Bahrain, whose capital,",Bahrain,Manama,2418," France, whose capital,",France,Paris,12366
" Bangladesh, whose capital,",Bangladesh,Dhaka,44327," Estonia, whose capital,",Estonia,Tallinn,42202
" Barbados, whose capital,",Barbados,Bridgetown,32437," Andorra, whose capital,",Andorra,Andorra la Vella,1628
" Belarus, whose capital,",Belarus,Minsk,386," Niger, whose capital,",Niger,Niamey,22652
" Belgium, whose capital,",Belgium,Brussels,38269," Jamaica, whose capital,",Jamaica,Kingston,63569
" Belize, whose capital,",Belize,Belmopan,7984," Somalia, whose capital,",Somalia,Mogadishu,61021
" Benin, whose capital,",Benin,Porto Novo,70798," Montenegro, whose capital,",Montenegro,Podgorica,17241
