clean,corrupted,clean_idx,corrupted_idx
The author that the senators liked has had,No author that no senators liked has had,1063,904
The author that the senators liked has had,No author that no senators liked has had,1063,904
No pilot that no consultants praised has shown,The pilot that no consultants praised has shown,904,1063
The pilot that no consultants praised has shown,No pilot that no consultants praised has shown,1063,904
The surgeon that no guards hated has known,No surgeon that no guards hated has known,1063,904
No surgeon that no guards hated has known,The surgeon that no guards hated has known,904,1063
The farmer that the clerks discussed has had,No farmer that no clerks discussed has had,1063,904
No farmer that no clerks discussed has had,The farmer that the clerks discussed has had,904,1063
The manager that the architects loved has completed,No manager that no architects loved has completed,1063,904
No manager that no architects loved has completed,The manager that the architects loved has completed,904,1063
No customer that no managers liked has spent,The customer that no managers liked has spent,904,1063
No customer that no managers liked has spent,The customer that no managers liked has spent,904,1063
The officer that no journalists praised has had,No officer that no journalists praised has had,1063,904
No officer that no journalists praised has had,The officer that no journalists praised has had,904,1063
The teacher that the ministers hated has failed,No teacher that no ministers hated has failed,1063,904
No teacher that no ministers hated has failed,The teacher that the ministers hated has failed,904,1063
No senator that no taxi drivers admired has passed,The senator that the taxi drivers admired has passed,904,1063
The senator that the taxi drivers admired has passed,No senator that no taxi drivers admired has passed,1063,904
The consultant that the secretaries loved has passed up,No consultant that no secretaries loved has passed up,1063,904
No consultant that no secretaries loved has passed up,The consultant that the secretaries loved has passed up,904,1063
No guard that no executives liked has seen,The guard that no executives liked has seen,904,1063
No guard that no executives liked has seen,The guard that no executives liked has seen,904,1063
The clerk that no authors praised has burned,No clerk that no authors praised has burned,1063,904
The clerk that no authors praised has burned,No clerk that no authors praised has burned,1063,904
The architect that no pilots hated has had,No architect that no pilots hated has had,1063,904
The architect that no pilots hated has had,No architect that no pilots hated has had,1063,904
The athlete that the doctors helped has broken,No athlete that no doctors helped has broken,1063,904
No athlete that no doctors helped has broken,The athlete that the doctors helped has broken,904,1063
The dancer that no farmers loved has broken,No dancer that no farmers loved has broken,1063,904
No dancer that no farmers loved has broken,The dancer that no farmers loved has broken,904,1063
The minister that the managers liked has missed,No minister that no managers liked has missed,1063,904
No minister that no managers liked has missed,The minister that the managers liked has missed,904,1063
The taxi driver that the customers praised has crashed,No taxi driver that no customers praised has crashed,1063,904
No taxi driver that no customers praised has crashed,The taxi driver that the customers praised has crashed,904,1063
The secretary that the officers hated has missed,No secretary that no officers hated has missed,1063,904
The secretary that the officers hated has missed,No secretary that no officers hated has missed,1063,904
The executive that the teachers knew has fired,No executive that no teachers knew has fired,1063,904
No executive that no teachers knew has fired,The executive that the teachers knew has fired,904,1063
No authors that no officer loved have read,The authors that the officer loved have read,904,1063
No authors that no officer loved have read,The authors that the officer loved have read,904,1063
The pilots that the teacher liked have landed,No pilots that no teacher liked have landed,1063,904
The pilots that the teacher liked have landed,No pilots that no teacher liked have landed,1063,904
The doctors that the senator praised have failed,No doctors that no senator praised have failed,1063,904
No doctors that no senator praised have failed,The doctors that the senator praised have failed,904,1063
No farmers that no consultant hated have planted,The farmers that no consultant hated have planted,904,1063
No farmers that no consultant hated have planted,The farmers that no consultant hated have planted,904,1063
The managers that the guard respected have had,No managers that no guard respected have had,1063,904
The managers that the guard respected have had,No managers that no guard respected have had,1063,904
The customers that no clerk loved have purchased,No customers that no clerk loved have purchased,1063,904
No customers that no clerk loved have purchased,The customers that no clerk loved have purchased,904,1063
The officers that the architect liked have arrested,No officers that no architect liked have arrested,1063,904
The officers that the architect liked have arrested,No officers that no architect liked have arrested,1063,904
The teachers that the athlete praised have failed,No teachers that no athlete praised have failed,1063,904
No teachers that no athlete praised have failed,The teachers that the athlete praised have failed,904,1063
The senators that no dancer hated have passed,No senators that no dancer hated have passed,1063,904
The senators that no dancer hated have passed,No senators that no dancer hated have passed,1063,904
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,904,1063
No consultants that no minister impressed have missed,The consultants that no minister impressed have missed,904,1063
No guards that no taxi driver loved have caught,The guards that no taxi driver loved have caught,904,1063
No guards that no taxi driver loved have caught,The guards that no taxi driver loved have caught,904,1063
No clerks that no secretary liked have burned,The clerks that the secretary liked have burned,904,1063
The clerks that the secretary liked have burned,No clerks that no secretary liked have burned,1063,904
The architects that the executive praised have passed,No architects that no executive praised have passed,1063,904
The architects that the executive praised have passed,No architects that no executive praised have passed,1063,904
No athletes that no pilot hated have broken,The athletes that no pilot hated have broken,904,1063
No athletes that no pilot hated have broken,The athletes that no pilot hated have broken,904,1063
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,1063,904
The journalists that the surgeon contacted have broken,No journalists that no surgeon contacted have broken,1063,904
No ministers that no farmer loved have advocated,The ministers that the farmer loved have advocated,904,1063
No ministers that no farmer loved have advocated,The ministers that the farmer loved have advocated,904,1063
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,904,1063
No taxi drivers that no manager liked have crashed,The taxi drivers that the manager liked have crashed,904,1063
The secretaries that no customer praised have missed,No secretaries that no customer praised have missed,1063,904
No secretaries that no customer praised have missed,The secretaries that no customer praised have missed,904,1063
No executives that no officer hated have refused,The executives that the officer hated have refused,904,1063
No executives that no officer hated have refused,The executives that the officer hated have refused,904,1063
