clean,corrupted,clean_idx,corrupted_idx
The author that no senators liked has,No author that no senators liked has,1239,1683
The author that no senators liked has,No author that no senators liked has,1239,1683
No pilot that no consultants met has,The pilot that no consultants met has,1683,1239
The pilot that no consultants met has,No pilot that no consultants met has,1239,1683
The doctor that the guards hated has,No doctor that no guards hated has,1239,1683
No doctor that no guards hated has,The doctor that the guards hated has,1683,1239
No farmer that no clerks discussed has,The farmer that no clerks discussed has,1683,1239
The farmer that no clerks discussed has,No farmer that no clerks discussed has,1239,1683
No manager that no architects loved has,The manager that no architects loved has,1683,1239
No manager that no architects loved has,The manager that no architects loved has,1683,1239
The customer that no athletes liked has,No customer that no athletes liked has,1239,1683
The customer that no athletes liked has,No customer that no athletes liked has,1239,1683
The officer that no actors met has,No officer that no actors met has,1239,1683
The officer that no actors met has,No officer that no actors met has,1239,1683
No teacher that no ministers hated has,The teacher that no ministers hated has,1683,1239
The teacher that no ministers hated has,No teacher that no ministers hated has,1239,1683
The senator that no taxi drivers admired has,No senator that no taxi drivers admired has,1239,1683
No senator that no taxi drivers admired has,The senator that no taxi drivers admired has,1683,1239
No consultant that no secretaries loved has,The consultant that the secretaries loved has,1683,1239
The consultant that the secretaries loved has,No consultant that no secretaries loved has,1239,1683
No guard that no executives liked has,The guard that the executives liked has,1683,1239
No guard that no executives liked has,The guard that the executives liked has,1683,1239
No clerk that no authors met has,The clerk that no authors met has,1683,1239
The clerk that no authors met has,No clerk that no authors met has,1239,1683
The architect that the pilots hated has,No architect that no pilots hated has,1239,1683
No architect that no pilots hated has,The architect that the pilots hated has,1683,1239
The athlete that the doctors helped has,No athlete that no doctors helped has,1239,1683
The athlete that the doctors helped has,No athlete that no doctors helped has,1239,1683
The actor that no farmers loved has,No actor that no farmers loved has,1239,1683
No actor that no farmers loved has,The actor that no farmers loved has,1683,1239
The minister that no managers liked has,No minister that no managers liked has,1239,1683
The minister that no managers liked has,No minister that no managers liked has,1239,1683
The taxi driver that no customers met has,No taxi driver that no customers met has,1239,1683
The taxi driver that no customers met has,No taxi driver that no customers met has,1239,1683
No secretary that no officers hated has,The secretary that no officers hated has,1683,1239
No secretary that no officers hated has,The secretary that no officers hated has,1683,1239
The executive that no teachers discussed has,No executive that no teachers discussed has,1239,1683
The executive that no teachers discussed has,No executive that no teachers discussed has,1239,1683
No authors that no officer loved have,The authors that the officer loved have,1683,1239
No authors that no officer loved have,The authors that the officer loved have,1683,1239
No pilots that no teacher liked have,The pilots that the teacher liked have,1683,1239
The pilots that the teacher liked have,No pilots that no teacher liked have,1239,1683
The doctors that no senator met have,No doctors that no senator met have,1239,1683
No doctors that no senator met have,The doctors that no senator met have,1683,1239
No farmers that no consultant hated have,The farmers that the consultant hated have,1683,1239
No farmers that no consultant hated have,The farmers that the consultant hated have,1683,1239
No managers that no guard respected have,The managers that the guard respected have,1683,1239
The managers that the guard respected have,No managers that no guard respected have,1239,1683
The customers that the clerk loved have,No customers that no clerk loved have,1239,1683
No customers that no clerk loved have,The customers that the clerk loved have,1683,1239
The officers that no architect liked have,No officers that no architect liked have,1239,1683
The officers that no architect liked have,No officers that no architect liked have,1239,1683
No teachers that no athlete met have,The teachers that no athlete met have,1683,1239
No teachers that no athlete met have,The teachers that no athlete met have,1683,1239
No senators that no actor hated have,The senators that no actor hated have,1683,1239
No senators that no actor hated have,The senators that no actor hated have,1683,1239
The consultants that no minister impressed have,No consultants that no minister impressed have,1239,1683
No consultants that no minister impressed have,The consultants that no minister impressed have,1683,1239
No guards that no taxi driver loved have,The guards that the taxi driver loved have,1683,1239
No guards that no taxi driver loved have,The guards that the taxi driver loved have,1683,1239
The clerks that no secretary liked have,No clerks that no secretary liked have,1239,1683
No clerks that no secretary liked have,The clerks that no secretary liked have,1683,1239
The architects that no executive met have,No architects that no executive met have,1239,1683
No architects that no executive met have,The architects that no executive met have,1683,1239
No athletes that no pilot hated have,The athletes that no pilot hated have,1683,1239
The athletes that no pilot hated have,No athletes that no pilot hated have,1239,1683
No journalists that no doctor contacted have,The journalists that no doctor contacted have,1683,1239
The journalists that no doctor contacted have,No journalists that no doctor contacted have,1239,1683
The ministers that the farmer loved have,No ministers that no farmer loved have,1239,1683
The ministers that the farmer loved have,No ministers that no farmer loved have,1239,1683
The taxi drivers that the manager liked have,No taxi drivers that no manager liked have,1239,1683
No taxi drivers that no manager liked have,The taxi drivers that the manager liked have,1683,1239
No secretaries that no customer met have,The secretaries that no customer met have,1683,1239
No secretaries that no customer met have,The secretaries that no customer met have,1683,1239
The executives that no officer hated have,No executives that no officer hated have,1239,1683
No executives that no officer hated have,The executives that no officer hated have,1683,1239
