clean,corrupted,clean_idx,corrupted_idx
The author that liked no senators has had,No author that liked no senators has had,1009,1089
No author that liked no senators has had,The author that liked no senators has had,1089,1009
No pilot that praised no consultants has shown,The pilot that praised the consultants has shown,1089,1009
No pilot that praised no consultants has shown,The pilot that praised the consultants has shown,1089,1009
The surgeon that hated no guards has known,No surgeon that hated no guards has known,1009,1089
No surgeon that hated no guards has known,The surgeon that hated no guards has known,1089,1009
No farmer that discussed no clerks has had,The farmer that discussed no clerks has had,1089,1009
The farmer that discussed no clerks has had,No farmer that discussed no clerks has had,1009,1089
No manager that loved no architects has completed,The manager that loved the architects has completed,1089,1009
No manager that loved no architects has completed,The manager that loved the architects has completed,1089,1009
The customer that liked no managers has spent,No customer that liked no managers has spent,1009,1089
The customer that liked no managers has spent,No customer that liked no managers has spent,1009,1089
The officer that praised the journalists has had,No officer that praised no journalists has had,1009,1089
No officer that praised no journalists has had,The officer that praised the journalists has had,1089,1009
No teacher that hated no ministers has failed,The teacher that hated the ministers has failed,1089,1009
The teacher that hated the ministers has failed,No teacher that hated no ministers has failed,1009,1089
The senator that admired the taxi drivers has passed,No senator that admired no taxi drivers has passed,1009,1089
The senator that admired the taxi drivers has passed,No senator that admired no taxi drivers has passed,1009,1089
The consultant that loved the secretaries has passed up,No consultant that loved no secretaries has passed up,1009,1089
No consultant that loved no secretaries has passed up,The consultant that loved the secretaries has passed up,1089,1009
No guard that liked no executives has seen,The guard that liked no executives has seen,1089,1009
The guard that liked no executives has seen,No guard that liked no executives has seen,1009,1089
No chef that praised no authors has burned,The chef that praised no authors has burned,1089,1009
No chef that praised no authors has burned,The chef that praised no authors has burned,1089,1009
The architect that hated the pilots has had,No architect that hated no pilots has had,1009,1089
No architect that hated no pilots has had,The architect that hated the pilots has had,1089,1009
The athlete that helped no doctors has broken,No athlete that helped no doctors has broken,1009,1089
No athlete that helped no doctors has broken,The athlete that helped no doctors has broken,1089,1009
No dancer that loved no farmers has broken,The dancer that loved no farmers has broken,1089,1009
The dancer that loved no farmers has broken,No dancer that loved no farmers has broken,1009,1089
No minister that liked no managers has missed,The minister that liked the managers has missed,1089,1009
The minister that liked the managers has missed,No minister that liked no managers has missed,1009,1089
No taxi driver that praised no customers has crashed,The taxi driver that praised the customers has crashed,1089,1009
The taxi driver that praised the customers has crashed,No taxi driver that praised no customers has crashed,1009,1089
The assistant that hated no officers has missed,No assistant that hated no officers has missed,1009,1089
The assistant that hated no officers has missed,No assistant that hated no officers has missed,1009,1089
No executive that knew no teachers has fired,The executive that knew the teachers has fired,1089,1009
No executive that knew no teachers has fired,The executive that knew the teachers has fired,1089,1009
The authors that loved no officer have read,No authors that loved no officer have read,1009,1089
No authors that loved no officer have read,The authors that loved no officer have read,1089,1009
No pilots that liked no teacher have landed,The pilots that liked the teacher have landed,1089,1009
No pilots that liked no teacher have landed,The pilots that liked the teacher have landed,1089,1009
The doctors that praised no senator have failed,No doctors that praised no senator have failed,1009,1089
No doctors that praised no senator have failed,The doctors that praised no senator have failed,1089,1009
No farmers that hated no consultant have planted,The farmers that hated the consultant have planted,1089,1009
No farmers that hated no consultant have planted,The farmers that hated the consultant have planted,1089,1009
No managers that respected no guard have had,The managers that respected no guard have had,1089,1009
The managers that respected no guard have had,No managers that respected no guard have had,1009,1089
No customers that loved no chef have purchased,The customers that loved no chef have purchased,1089,1009
